table_id,row_id,_b_debt_level_b_full_path,_b_debt_level_b_level_1,_b_debt_level_b_level_2,_b_debt_level_b_level_3,_b_debt_level_b_hierarchy_depth,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
11690,r011,"Cumulative debt -> $50,001&#8211;$60,000",Cumulative debt,"$50,001&#8211;$60,000",,2,"['471', '1.7']","['486', '2.0']","['804', '2.4']","['147', '0.8']",83,2.6,"['D', 'D']","['D', 'D']","['96', '3.7']","['532', '2.4']","['28', '2.2']","['7', '2.1']","['4', '2.4']"
11690,r012,"Cumulative debt -> $60,001&#8211;$70,000",Cumulative debt,"$60,001&#8211;$70,000",,2,"['391', '1.4']","['450', '1.8']","['740', '2.2']","['91', '0.5']",83,2.6,"['5', '5.3']","['34', '0.9']","['99', '3.8']","['488', '2.2']","['25', '1.9']","['5', '1.5']","['1', '0.6']"
11690,r013,"Cumulative debt -> $70,001&#8211;$80,000",Cumulative debt,"$70,001&#8211;$80,000",,2,"['327', '1.2']","['417', '1.7']","['667', '2.0']","['73', '0.4']",74,2.3,"['D', 'D']","['D', 'D']","['88', '3.4']","['446', '2.0']","['24', '1.9']","['2', '0.6']","['4', '2.4']"
11690,r014,"Cumulative debt -> $80,001&#8211;$90,000",Cumulative debt,"$80,001&#8211;$90,000",,2,"['338', '1.2']","['364', '1.5']","['653', '1.9']","['47', '0.3']",64,2.0,"['0', '0.0']","['32', '0.9']","['83', '3.2']","['450', '2.0']","['18', '1.4']","['4', '1.2']","['2', '1.2']"
11690,r015,"Cumulative debt -> $90,001&#8211;$100,000",Cumulative debt,"$90,001&#8211;$100,000",,2,"['381', '1.4']","['467', '1.9']","['772', '2.3']","['67', '0.4']",78,2.4,"['D', 'D']","['D', 'D']","['111', '4.3']","['493', '2.2']","['35', '2.7']","['10', '3.0']","['1', '0.6']"
11690,r016,"Cumulative debt -> $100,001&#8211;$120,000",Cumulative debt,"$100,001&#8211;$120,000",,2,"['351', '1.3']","['542', '2.2']","['796', '2.4']","['93', '0.5']",94,2.9,"['D', 'D']","['D', 'D']","['169', '6.5']","['453', '2.0']","['21', '1.6']","['10', '3.0']","['5', '3.0']"
11690,r017,"Cumulative debt -> $120,001&#8211;$140,000",Cumulative debt,"$120,001&#8211;$140,000",,2,"['273', '1.0']","['402', '1.6']","['619', '1.8']","['53', '0.3']",94,2.9,"['D', 'D']","['D', 'D']","['113', '4.4']","['347', '1.6']","['29', '2.3']","['5', '1.5']","['3', '1.8']"
11690,r018,"Cumulative debt -> $140,001&#8211;$160,000",Cumulative debt,"$140,001&#8211;$160,000",,2,"['218', '0.8']","['322', '1.3']","['484', '1.4']","['57', '0.3']",68,2.1,"['D', 'D']","['D', 'D']","['118', '4.6']","['257', '1.2']","['18', '1.4']","['3', '0.9']","['3', '1.8']"
11690,r019,"Cumulative debt -> $160,001 or more",Cumulative debt,"$160,001 or more",,2,"['729', '2.7']","['1,214', '4.9']","['1,822', '5.4']","['104', '0.6']",218,6.7,"['10', '10.6']","['68', '1.8']","['521', '20.1']","['892', '4.0']","['82', '6.4']","['20', '6.1']","['11', '6.6']"
11690,r020,Cumulative debt -> Graduate debt,Cumulative debt,Graduate debt,,2,"['', '']","['', '']","['', '']","['', '']",,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
