table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_hierarchy_depth,field_total_r_d_capital_expenditures_,field_type_of_expenditure_land_acquisition,field_type_of_expenditure_buildings_and_land_improvement,field_type_of_expenditure_equipment,field_type_of_expenditure_capitalized_software,field_type_of_expenditure_all_other_capital_expenditures
12362,r001,All organizations ,All organizations ,,1,"['971,991', '  ']","['7,041', '  ']","['342,648', '  ']","['422,556', '  ']","['26,689', '  ']","['173,057', '  ']"
12362,r002,All organizations  -> Healthcare,All organizations ,Healthcare,2,"['446,644', '  ']","['0', '  ']","['196,398', '  ']","['207,442', '  ']","['5,030', '  ']","['37,775', '  ']"
12362,r003,All organizations  -> Science and technology,All organizations ,Science and technology,2,"['487,135', '  ']","['6,734', '  ']","['143,880', '  ']","['189,573', '  ']","['12,319', '  ']","['134,628', '  ']"
12362,r004,All organizations  -> Other nonprofit organizations ,All organizations ,Other nonprofit organizations ,2,"['38,213', '  ']","['307', '  ']","['2,370', '  ']","['25,541', '  ']","['9,340', '  ']","['654', '  ']"
