table_id,row_id,ethnicity_race_and_occupation_full_path,ethnicity_race_and_occupation_level_1,ethnicity_race_and_occupation_level_2,ethnicity_race_and_occupation_level_3,ethnicity_race_and_occupation_level_4,ethnicity_race_and_occupation_level_5,ethnicity_race_and_occupation_level_6,ethnicity_race_and_occupation_hierarchy_depth,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_female,field_bachelor_s_male,field_master_s_female,field_master_s_male,field_doctorate_female,field_doctorate_male
3314,r001,All ethnicities and races,All ethnicities and races,,,,,,1,13720000,14907000,7460000,8581000,4537000,4087000,742000,1019000
3314,r002,All ethnicities and races -> S&E occupations<sup>b</sup>,All ethnicities and races,S&E occupations<sup>b</sup>,,,,,2,2193000,5274000,1034000,3142000,757000,1529000,365000,573000
3314,r003,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations,,,,3,1883000,3662000,870000,2147000,631000,1036000,345000,454000
3314,r004,"All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",,,4,337000,361000,129000,148000,83000,69000,118000,137000
3314,r005,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,,,4,820000,2589000,522000,1755000,269000,745000,24000,82000
3314,r006,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,,,4,155000,210000,46000,80000,71000,84000,36000,46000
3314,r007,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,,,4,142000,267000,78000,112000,37000,60000,28000,94000
3314,r008,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations,Psychologist,,,4,220000,56000,44000,6000,85000,16000,70000,29000
3314,r009,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations,Social scientist,,,4,208000,179000,51000,46000,86000,62000,69000,66000
3314,r010,All ethnicities and races -> S&E occupations<sup>b</sup> -> Engineering occupations,All ethnicities and races,S&E occupations<sup>b</sup>,Engineering occupations,,,,3,310000,1612000,163000,995000,126000,493000,20000,119000
3314,r011,All ethnicities and races -> S&E-related occupations<sup>c</sup>,All ethnicities and races,S&E-related occupations<sup>c</sup>,,,,,2,5109000,3785000,2845000,1949000,1469000,864000,188000,199000
3314,r012,All ethnicities and races -> Non-S&E occupations<sup>d</sup>,All ethnicities and races,Non-S&E occupations<sup>d</sup>,,,,,2,6419000,5848000,3581000,3490000,2311000,1695000,188000,248000
3314,r013,All ethnicities and races -> Hispanic or Latino<sup>e</sup>,All ethnicities and races,Hispanic or Latino<sup>e</sup>,,,,,2,1376000,1270000,836000,831000,375000,286000,52000,63000
3314,r014,All ethnicities and races -> Hispanic or Latino<sup>e</sup> -> S&E occupations<sup>b</sup>,All ethnicities and races,Hispanic or Latino<sup>e</sup>,S&E occupations<sup>b</sup>,,,,3,182000,382000,99000,273000,55000,81000,24000,25000
3314,r015,All ethnicities and races -> Hispanic or Latino<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations,All ethnicities and races,Hispanic or Latino<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,,,4,151000,255000,79000,183000,45000,49000,23000,20000
3314,r016,"All ethnicities and races -> Hispanic or Latino<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All ethnicities and races,Hispanic or Latino<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",,5,33000,30000,17000,19000,9000,5000,7000,5000
