table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10289,r001,Alabama,Alabama,,,1,3966904,1969225,0,1444178,499203,40455,13844
10289,r002,Alabama -> Departments,Alabama,Departments,,2,,,,,,,
10289,r003,Alabama -> Departments -> Department of Agriculture,Alabama,Departments,Department of Agriculture,3,43274,8339,0,455,33895,0,585
10289,r004,Alabama -> Departments -> Department of Commerce,Alabama,Departments,Department of Commerce,3,4856,1255,0,0.05,3563,0,0
10289,r005,Alabama -> Departments -> Department of Defense,Alabama,Departments,Department of Defense,3,3176525,1939297,0,1197377,25948,13668,235
10289,r006,Alabama -> Departments -> Department of Education,Alabama,Departments,Department of Education,3,691,0,0,0,691,0,0
10289,r007,Alabama -> Departments -> Department of Energy,Alabama,Departments,Department of Energy,3,19572,0,0,7831,11741,0,0
10289,r008,Alabama -> Departments -> Department of Health and Human Services,Alabama,Departments,Department of Health and Human Services,3,394510,154,0,6758,355859,23413,8326
10289,r009,Alabama -> Departments -> Department of Homeland Security,Alabama,Departments,Department of Homeland Security,3,3552,0,0,3552,0,0,0
10289,r010,Alabama -> Departments -> Department of the Interior,Alabama,Departments,Department of the Interior,3,3404,2156,0,0,952,0,297
10289,r011,Alabama -> Departments -> Department of Justice,Alabama,Departments,Department of Justice,3,1330,0,0,0,1330,0,0
10289,r012,Alabama -> Departments -> Department of Labor,Alabama,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r013,Alabama -> Departments -> Department of Transportation,Alabama,Departments,Department of Transportation,3,8617,110,0,0,4107,0,4400
10289,r014,Alabama -> Departments -> Department of the Treasury,Alabama,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r015,Alabama -> Departments -> Department of Veterans Affairs,Alabama,Departments,Department of Veterans Affairs,3,13224,13224,0,0,0,0,0
10289,r016,Alabama -> Other agencies,Alabama,Other agencies,,2,,,,,,,
10289,r017,Alabama -> Other agencies -> Consumer Product Safety Commission,Alabama,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r018,Alabama -> Other agencies -> Environmental Protection Agency,Alabama,Other agencies,Environmental Protection Agency,3,1485,0,0,1374,82,0.05,0
10289,r019,Alabama -> Other agencies -> National Aeronautics and Space Administration,Alabama,Other agencies,National Aeronautics and Space Administration,3,248161,4688,0,225992,15227,2255,0
10289,r020,Alabama -> Other agencies -> National Science Foundation,Alabama,Other agencies,National Science Foundation,3,46386,0,0,512,44784,1090,0
10289,r021,Alabama -> Other agencies -> Nuclear Regulatory Commission,Alabama,Other agencies,Nuclear Regulatory Commission,3,1000,0,0,0,1000,0,0
10289,r022,Alabama -> Other agencies -> Postal Service,Alabama,Other agencies,Postal Service,3,274,0,0,274,0,0,0
10289,r023,Alabama -> Other agencies -> Social Security Administration,Alabama,Other agencies,Social Security Administration,3,0.05,0,0,0,0.05,0,0
10289,r024,Alaska,Alaska,,,1,322626,108294,0,76522,115689,13675,8446
10289,r025,Alaska -> Departments,Alaska,Departments,,2,,,,,,,
10289,r026,Alaska -> Departments -> Department of Agriculture,Alaska,Departments,Department of Agriculture,3,13789,8530,0,0,3171,0.05,2048
10289,r027,Alaska -> Departments -> Department of Commerce,Alaska,Departments,Department of Commerce,3,3917,1309,0,76,2109,267,155
10289,r028,Alaska -> Departments -> Department of Defense,Alaska,Departments,Department of Defense,3,120996,45120,0,64026,9159,2691,0
10289,r029,Alaska -> Departments -> Department of Education,Alaska,Departments,Department of Education,3,3800,0,0,0,3800,0,0
10289,r030,Alaska -> Departments -> Department of Energy,Alaska,Departments,Department of Energy,3,12431,0,0,0.05,12171,0,240
10289,r031,Alaska -> Departments -> Department of Health and Human Services,Alaska,Departments,Department of Health and Human Services,3,26400,253,0,2712,12978,8028,2429
10289,r032,Alaska -> Departments -> Department of Homeland Security,Alaska,Departments,Department of Homeland Security,3,4301,0,0,4301,0,0,0
10289,r033,Alaska -> Departments -> Department of the Interior,Alaska,Departments,Department of the Interior,3,59818,53077,0,1267,2797,363,2314
10289,r034,Alaska -> Departments -> Department of Labor,Alaska,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r035,Alaska -> Departments -> Department of Transportation,Alaska,Departments,Department of Transportation,3,4208,0,0,268,2680,0,1260
10289,r036,Alaska -> Departments -> Department of the Treasury,Alaska,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
