table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019,field_2020_all_physical_sciences,field_2020_astronomy_and_astrophysics,field_2020_chemistry,field_2020_materials_science,field_2020_physics,field_2020_physical_sciences_nec
5430,r001,All institutions,All institutions,,1,-,"['3,384,673', '']","['3,472,447', '']","['3,691,358', '']","['3,789,237', '']","['542,725', '']","['1,166,743', '']","['156,894', '']","['1,736,916', '']","['185,959', '']"
5430,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['177,702', '']","['229,887', '']","['306,572', '']","['372,067', '']","['91,890', '']","['24,462', '']","['3,731', '']","['222,997', '']","['28,987', '']"
5430,r003,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,2,"['159,408', '']","['155,495', '']","['156,658', '']","['178,896', '']","['47,213', '']","['26,664', '']","['12,299', '']","['92,720', '']","['0', '']"
5430,r004,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,3,"['67,778', '']","['78,424', '']","['99,527', '']","['106,414', '']","['28,088', '']","['6,537', '']","['0', '']","['64,624', '']","['7,165', '']"
5430,r005,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,4,"['102,420', '']","['96,347', '']","['94,635', '']","['105,097', '']","['31,303', '']","['19,258', '']","['2,454', '']","['38,758', '']","['13,324', '']"
5430,r006,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,5,"['138,056', '']","['111,792', '']","['95,267', '']","['100,092', '']","['39', '']","['7,154', '']","['0', '']","['92,899', '']","['0', '']"
5430,r007,All institutions -> Cornell U.,All institutions,Cornell U.,2,6,"['83,621', '']","['86,823', '']","['95,625', '']","['96,374', '']","['7,341', '']","['21,016', '']","['1,529', '']","['37,180', '']","['29,308', '']"
5430,r008,All institutions -> U. Rochester,All institutions,U. Rochester,2,7,"['84,330', '']","['88,080', '']","['106,520', '']","['94,572', '']","['0', '']","['4,136', '']","['0', '']","['90,436', '']","['0', '']"
5430,r009,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,8,"['90,916', '']","['81,410', '']","['86,349', '']","['84,023', '']","['45,722', '']","['17,414', '']","['0', '']","['17,480', '']","['3,407', '']"
5430,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['na', '']","['na', '']","['82,395', '']","['81,584', '']","['34,719', '']","['6,777', '']","['175', '']","['29,752', '']","['10,161', '']"
5430,r011,All institutions -> U. Arizona,All institutions,U. Arizona,2,10,"['66,693', '']","['68,086', '']","['74,823', '']","['77,135', '']","['62,252', '']","['8,089', '']","['1,330', '']","['5,464', '']","['0', '']"
5430,r012,All institutions -> Stanford U.,All institutions,Stanford U.,2,11,"['70,448', '']","['63,318', '']","['71,817', '']","['68,199', '']","['3,331', '']","['22,802', '']","['6,610', '']","['32,816', '']","['2,640', '']"
5430,r013,All institutions -> Princeton U.,All institutions,Princeton U.,2,12,"['44,946', '']","['53,677', '']","['54,879', '']","['60,336', '']","['17,917', '']","['13,611', '']","['0', '']","['28,224', '']","['584', '']"
5430,r014,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,13,"['51,405', '']","['51,870', '']","['52,807', '']","['58,512', '']","['2,264', '']","['19,249', '']","['0', '']","['17,822', '']","['19,177', '']"
5430,r015,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,14,"['48,840', '']","['48,196', '']","['53,535', '']","['56,570', '']","['4,486', '']","['8,614', '']","['24,832', '']","['18,638', '']","['0', '']"
5430,r016,All institutions -> Harvard U.,All institutions,Harvard U.,2,15,"['52,122', '']","['52,414', '']","['53,614', '']","['55,363', '']","['5,805', '']","['19,149', '']","['0', '']","['29,457', '']","['952', '']"
5430,r017,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,16,"['51,848', '']","['53,057', '']","['56,943', '']","['54,776', '']","['10,869', '']","['10,176', '']","['16,762', '']","['16,969', '']","['0', '']"
5430,r018,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,17,"['47,257', '']","['45,871', '']","['49,064', '']","['52,913', '']","['8,434', '']","['21,802', '']","['1,365', '']","['17,789', '']","['3,523', '']"
5430,r019,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,18,"['45,778', '']","['47,691', '']","['48,539', '']","['49,164', '']","['7,765', '']","['21,367', '']","['0', '']","['20,032', '']","['0', '']"
5430,r020,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,19,"['46,872', '']","['43,134', '']","['47,019', '']","['49,002', '']","['0', '']","['16,704', '']","['0', '']","['32,298', '']","['0', '']"
