table_id,row_id,rank,baccalaureate_institution_,aian_doctorate_recipients,institutional_control,2018_carnegie_classification,haiane_status
7146,r001,na,All American Indian or Alaska Native doctorate recipients,1269,na,na,na
7146,r002,na,From U.S. baccalaureate-origin institutions,1210,na,na,na
7146,r003,na,From foreign baccalaureate-origin institutions,22,na,na,na
7146,r004,na,From unreported baccalaureate-origin institutions,37,na,na,na
7146,r005,1,"U. Oklahoma, Norman",46,Public,R1: doctoral universities,No
7146,r006,2,"U. New Mexico, Albuquerque",36,Public,R1: doctoral universities,No
7146,r007,3,"Oklahoma State U., Stillwater",32,Public,R1: doctoral universities,No
7146,r008,4,Northeastern State U.,27,Public,M1: master's institutions - larger programs,Yes
7146,r009,5,Northern Arizona U.,21,Public,R2: doctoral universities,No
7146,r010,5,U. Arizona,21,Public,R1: doctoral universities,No
7146,r011,7,U. North Dakota,20,Public,R2: doctoral universities,No
7146,r012,8,Arizona State U.,19,Public,R1: doctoral universities,No
7146,r013,9,"U. Montana, Missoula",17,Public,R2: doctoral universities,No
7146,r014,10,"U. Michigan, Ann Arbor",16,Public,R1: doctoral universities,No
7146,r015,11,Fort Lewis C.,12,Public,Baccalaureate colleges: arts and sciences focus,Yes
7146,r016,11,"U. Alaska, Fairbanks",12,Public,R2: doctoral universities,Yes
7146,r017,13,"Montana State U., Bozeman",11,Public,R1: doctoral universities,No
7146,r018,13,Stanford U.,11,Private,R1: doctoral universities,No
7146,r019,13,"U. North Carolina, Chapel Hill",11,Public,R1: doctoral universities,No
7146,r020,16,"Brigham Young U., Provo",10,Private,R2: doctoral universities,No
7146,r021,16,"New Mexico State U., Las Cruces",10,Public,R2: doctoral universities,No
7146,r022,16,"U. California, Davis",10,Public,R1: doctoral universities,No
7146,r023,16,U. Tulsa,10,Private,R2: doctoral universities,No
7146,r024,16,U. Wisconsin-Madison,10,Public,R1: doctoral universities,No
7146,r025,21,Dartmouth C.,9,Private,R1: doctoral universities,No
7146,r026,21,"U. Arkansas, Fayetteville",9,Public,R1: doctoral universities,No
7146,r027,21,"U. California, Los Angeles",9,Public,R1: doctoral universities,No
7146,r028,21,U. Central Oklahoma,9,Public,M1: master's institutions - larger programs,No
7146,r029,21,U. Kansas,9,Public,R1: doctoral universities,No
7146,r030,21,U. Oregon,9,Public,R1: doctoral universities,No
7146,r031,21,"U. Washington, Seattle",9,Public,R1: doctoral universities,No
7146,r032,28,"Colorado State U., Fort Collins",7,Public,R1: doctoral universities,No
7146,r033,28,Haskell Indian Nations U.,7,Public,Tribal colleges,No
7146,r034,28,North Carolina State U.,7,Public,R1: doctoral universities,No
7146,r035,28,"Oregon State U., Corvallis",7,Public,R1: doctoral universities,No
7146,r036,28,"U. California, Berkeley",7,Public,R1: doctoral universities,No
7146,r037,33,Cornell U.,6,Private,R1: doctoral universities,No
7146,r038,33,"Indiana U., Bloomington",6,Public,R1: doctoral universities,No
7146,r039,33,Metropolitan State U. Denver,6,Public,M1: master's institutions - larger programs,No
7146,r040,33,"Missouri State U., Springfield",6,Public,Doctoral/professional universities,No
7146,r041,33,Seattle Pacific U.,6,Private,Doctoral/professional universities,No
7146,r042,33,Southeastern Oklahoma State U.,6,Public,M1: master's institutions - larger programs,Yes
7146,r043,33,"Texas A&M U., College Station and Health Science Center",6,Public,R1: doctoral universities,No
7146,r044,33,"U. California, Santa Barbara",6,Public,R1: doctoral universities,No
7146,r045,33,"U. California, Santa Cruz",6,Public,R1: doctoral universities,No
7146,r046,33,"U. North Carolina, Pembroke",6,Public,M1: master's institutions - larger programs,Yes
7146,r047,33,"U. Texas, Austin",6,Public,R1: doctoral universities,No
7146,r048,44,Central Washington U.,5,Public,M1: master's institutions - larger programs,No
7146,r049,44,Columbia U. in the City of New York,5,Private,R1: doctoral universities,No
7146,r050,44,East Central U.,5,Public,M1: master's institutions - larger programs,Yes
7146,r051,44,Michigan State U.,5,Public,R1: doctoral universities,No
7146,r052,44,South Dakota State U.,5,Public,R2: doctoral universities,No
7146,r053,44,"U. Minnesota, Twin Cities",5,Public,R1: doctoral universities,No
7146,r054,44,"U. Nevada, Las Vegas",5,Public,R1: doctoral universities,No
7146,r055,44,U. South Dakota,5,Public,R2: doctoral universities,No
7146,r056,44,Washington State U.,5,Public,R1: doctoral universities,No
7146,r057,44,Yale U.,5,Private,R1: doctoral universities,No
