table_id,row_id,_b_source_of_foreign_funds_highest_degree_granted_and_institutional_control_b_full_path,_b_source_of_foreign_funds_highest_degree_granted_and_institutional_control_b_level_1,_b_source_of_foreign_funds_highest_degree_granted_and_institutional_control_b_level_2,_b_source_of_foreign_funds_highest_degree_granted_and_institutional_control_b_level_3,_b_source_of_foreign_funds_highest_degree_granted_and_institutional_control_b_level_4,_b_source_of_foreign_funds_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
12662,r001,All institutions,All institutions,,,,1,,,,,,,,,,,,,,
12662,r002,All institutions -> All foreign funds,All institutions,All foreign funds,,,2,642858,719255,797787,979476,1003537,1065671,1184867,1220885,1254464,1273247,1308620,1344876,1479456,1619058
12662,r003,All institutions -> All foreign funds -> Foreign government,All institutions,All foreign funds,Foreign government,,3,na,na,na,na,na,na,170707,177628,254879,279743,303279,294477,302196,315926
12662,r004,All institutions -> All foreign funds -> Business,All institutions,All foreign funds,Business,,3,na,na,na,na,na,na,489011,511639,543810,571151,622596,652999,715366,756578
12662,r005,All institutions -> All foreign funds -> Nonprofit organizations,All institutions,All foreign funds,Nonprofit organizations,,3,na,na,na,na,na,na,302815,320921,275125,276290,251276,265515,338493,402698
12662,r006,All institutions -> All foreign funds -> Higher education institutions,All institutions,All foreign funds,Higher education institutions,,3,na,na,na,na,na,na,114511,112178,116147,110672,108794,107804,96078,97835
12662,r007,All institutions -> All foreign funds -> All other sources,All institutions,All foreign funds,All other sources,,3,na,na,na,na,na,na,107823,98519,64503,35391,22675,24081,27323,46021
12662,r008,All institutions -> Doctorate,All institutions,Doctorate,,,2,,,,,,,,,,,,,,
12662,r009,All institutions -> Doctorate -> All foreign funds,All institutions,Doctorate,All foreign funds,,3,640490,715437,795057,975436,999123,1060276,1171157,1216291,1247904,1268633,1302997,1339869,1474873,1615222
12662,r010,All institutions -> Doctorate -> All foreign funds -> Foreign government,All institutions,Doctorate,All foreign funds,Foreign government,4,na,na,na,na,na,na,168903,177238,254328,279313,303055,294354,301172,314605
12662,r011,All institutions -> Doctorate -> All foreign funds -> Business,All institutions,Doctorate,All foreign funds,Business,4,na,na,na,na,na,na,479482,509144,540437,569428,620022,650316,714473,756218
12662,r012,All institutions -> Doctorate -> All foreign funds -> Nonprofit organizations,All institutions,Doctorate,All foreign funds,Nonprofit organizations,4,na,na,na,na,na,na,302156,320365,274462,275364,249678,264105,336871,400986
12662,r013,All institutions -> Doctorate -> All foreign funds -> Higher education institutions,All institutions,Doctorate,All foreign funds,Higher education institutions,4,na,na,na,na,na,na,114023,111836,115290,109704,108075,107594,95868,97667
12662,r014,All institutions -> Doctorate -> All foreign funds -> All other sources,All institutions,Doctorate,All foreign funds,All other sources,4,na,na,na,na,na,na,106593,97708,63387,34824,22167,23500,26489,45746
12662,r015,All institutions -> Nondoctorate,All institutions,Nondoctorate,,,2,,,,,,,,,,,,,,
12662,r016,All institutions -> Nondoctorate -> All foreign funds,All institutions,Nondoctorate,All foreign funds,,3,2368,3818,2730,4040,4414,5395,13710,4594,6560,4614,5623,5007,4583,3836
12662,r017,All institutions -> Nondoctorate -> All foreign funds -> Foreign government,All institutions,Nondoctorate,All foreign funds,Foreign government,4,na,na,na,na,na,na,1804,390,551,430,224,123,1024,1321
12662,r018,All institutions -> Nondoctorate -> All foreign funds -> Business,All institutions,Nondoctorate,All foreign funds,Business,4,na,na,na,na,na,na,9529,2495,3373,1723,2574,2683,893,360
12662,r019,All institutions -> Nondoctorate -> All foreign funds -> Nonprofit organizations,All institutions,Nondoctorate,All foreign funds,Nonprofit organizations,4,na,na,na,na,na,na,659,556,663,926,1598,1410,1622,1712
12662,r020,All institutions -> Nondoctorate -> All foreign funds -> Higher education institutions,All institutions,Nondoctorate,All foreign funds,Higher education institutions,4,na,na,na,na,na,na,488,342,857,968,719,210,210,168
12662,r021,All institutions -> Nondoctorate -> All foreign funds -> All other sources,All institutions,Nondoctorate,All foreign funds,All other sources,4,na,na,na,na,na,na,1230,811,1116,567,508,581,834,275
12662,r022,All institutions -> Public,All institutions,Public,,,2,,,,,,,,,,,,,,
12662,r023,All institutions -> Public -> All foreign funds,All institutions,Public,All foreign funds,,3,381519,418115,437190,493577,518759,528668,546467,565881,594110,597565,625204,649479,713494,782433
12662,r024,All institutions -> Public -> All foreign funds -> Foreign government,All institutions,Public,All foreign funds,Foreign government,4,na,na,na,na,na,na,57063,51385,116776,89490,77922,64982,65507,70808
12662,r025,All institutions -> Public -> All foreign funds -> Business,All institutions,Public,All foreign funds,Business,4,na,na,na,na,na,na,265472,263530,277907,308199,355645,380285,431565,458575
12662,r026,All institutions -> Public -> All foreign funds -> Nonprofit organizations,All institutions,Public,All foreign funds,Nonprofit organizations,4,na,na,na,na,na,na,153363,174841,120179,121210,113522,126342,141038,158942
12662,r027,All institutions -> Public -> All foreign funds -> Higher education institutions,All institutions,Public,All foreign funds,Higher education institutions,4,na,na,na,na,na,na,51123,56551,60238,60971,64300,65226,61127,60035
12662,r028,All institutions -> Public -> All foreign funds -> All other sources,All institutions,Public,All foreign funds,All other sources,4,na,na,na,na,na,na,19446,19574,19010,17695,13815,12644,14257,34073
12662,r029,All institutions -> Private,All institutions,Private,,,2,,,,,,,,,,,,,,
12662,r030,All institutions -> Private -> All foreign funds,All institutions,Private,All foreign funds,,3,261339,301140,360597,485899,484778,537003,638400,655004,660354,675682,683416,695397,765962,836625
12662,r031,All institutions -> Private -> All foreign funds -> Foreign government,All institutions,Private,All foreign funds,Foreign government,4,na,na,na,na,na,na,113644,126243,138103,190253,225357,229495,236689,245118
12662,r032,All institutions -> Private -> All foreign funds -> Business,All institutions,Private,All foreign funds,Business,4,na,na,na,na,na,na,223539,248109,265903,262952,266951,272714,283801,298003
12662,r033,All institutions -> Private -> All foreign funds -> Nonprofit organizations,All institutions,Private,All foreign funds,Nonprofit organizations,4,na,na,na,na,na,na,149452,146080,154946,155080,137754,139173,197455,243756
12662,r034,All institutions -> Private -> All foreign funds -> Higher education institutions,All institutions,Private,All foreign funds,Higher education institutions,4,na,na,na,na,na,na,63388,55627,55909,49701,44494,42578,34951,37800
12662,r035,All institutions -> Private -> All foreign funds -> All other sources,All institutions,Private,All foreign funds,All other sources,4,na,na,na,na,na,na,88377,78945,45493,17696,8860,11437,13066,11948
