table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_the_center_of_the_earth_is_very_hot_true_,field_the_continents_have_been_moving_their_location_for_millions_of_years_and_will_continue_to_move_true_,field_does_the_earth_go_around_the_sun_or_does_the_sun_go_around_the_earth_earth_around_sun_,field_all_radioactivity_is_man_made_false_,field_it_is_the_father_s_gene_that_decides_whether_the_baby_is_a_boy_or_a_girl_true_,field_how_long_does_it_take_for_the_earth_to_go_around_the_sun_one_day_one_month_or_one_year_one_year_a,field_antibiotics_kill_viruses_as_well_as_bacteria_false_,field_human_beings_as_we_know_them_today_developed_from_earlier_species_of_animals_true_b_,field_electrons_are_smaller_than_atoms_true_,field_lasers_work_by_focusing_sound_waves_false_,field_the_universe_began_with_a_huge_explosion_true_c_
2282,r001,"All adults (<i>n</i> = 1,175)","All adults (<i>n</i> = 1,175)",,1,86,79,72,68,59,54,50,49,46,44,38
2282,r002,Sex,Sex,,1,,,,,,,,,,,
2282,r003,Sex -> Male (<i>n</i> = 485),Sex,Male (<i>n</i> = 485),2,89,82,80,74,49,63,44,52,50,58,42
2282,r004,Sex -> Female (<i>n</i> = 690),Sex,Female (<i>n</i> = 690),2,84,77,66,63,67,48,54,47,42,34,34
2282,r005,Formal education,Formal education,,1,,,,,,,,,,,
2282,r006,Formal education -> Less than high school diploma (<i>n</i> = 137),Formal education,Less than high school diploma (<i>n</i> = 137),2,74,59,56,49,35,31,16,34,24,29,37
2282,r007,Formal education -> High school diploma (<i>n</i> = 362),Formal education,High school diploma (<i>n</i> = 362),2,83,78,67,64,51,46,40,41,35,39,31
2282,r008,Formal education -> Some college (<i>n</i> = 330),Formal education,Some college (<i>n</i> = 330),2,90,85,73,67,60,58,48,52,48,41,32
2282,r009,Formal education -> Bachelor's degree (<i>n</i> = 232),Formal education,Bachelor's degree (<i>n</i> = 232),2,89,84,81,79,74,68,71,61,62,54,48
2282,r010,Formal education -> Graduate or professional degree (<i>n</i> = 114),Formal education,Graduate or professional degree (<i>n</i> = 114),2,93,85,88,86,85,69,88,53,67,67,51
2282,r011,"Science and mathematics education<sup>d</sup><sup>,e</sup>","Science and mathematics education<sup>d</sup><sup>,e</sup>",,1,,,,,,,,,,,
2282,r012,"Science and mathematics education<sup>d</sup><sup>,e</sup> -> Low (<i>n</i> = 598)","Science and mathematics education<sup>d</sup><sup>,e</sup>",Low (<i>n</i> = 598),2,82,74,64,61,51,44,39,44,34,37,32
2282,r013,"Science and mathematics education<sup>d</sup><sup>,e</sup> -> Middle (<i>n</i> = 237)","Science and mathematics education<sup>d</sup><sup>,e</sup>",Middle (<i>n</i> = 237),2,90,83,74,72,65,59,56,51,52,47,38
2282,r014,"Science and mathematics education<sup>d</sup><sup>,e</sup> -> High (<i>n</i> = 252)","Science and mathematics education<sup>d</sup><sup>,e</sup>",High (<i>n</i> = 252),2,94,92,91,84,75,76,77,61,69,61,49
2282,r015,Family income (quartile)<sup>e</sup>,Family income (quartile)<sup>e</sup>,,1,,,,,,,,,,,
2282,r016,Family income (quartile)<sup>e</sup> -> Bottom (<i>n</i> = 277),Family income (quartile)<sup>e</sup>,Bottom (<i>n</i> = 277),2,82,76,63,59,47,43,41,55,42,44,35
2282,r017,Family income (quartile)<sup>e</sup> -> Third (<i>n</i> = 223),Family income (quartile)<sup>e</sup>,Third (<i>n</i> = 223),2,87,82,73,64,58,58,39,43,42,36,33
