table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_domestic_r_d_,field_software_products_and_embedded_software_r_d_total_companiesb_number_,field_software_products_and_embedded_software_r_d_total_,field_software_products_and_embedded_software_r_d_total_amount,field_software_products_and_embedded_software_r_d_total_,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_amount,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_amount,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_amount,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_
1385,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",31784,374685,,13408,i ,120824,i ,12851,i ,111933,i ,1488,i ,8890,,780,i ,4481,i 
1385,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,19522,250553,,5967,i ,35984,i ,5767,i ,31527,i ,509,i ,4457,,124,,3057,i 
1385,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,1185,4828,,29,i ,16,,12,,11,,18,i ,4,,0,,0,
1385,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,2907,73575,,286,i ,575,i ,224,i ,430,i ,116,i ,145,i ,4,,1,i 
1385,r005,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,346,2545,,30,i ,41,,30,i ,41,,0,,0,,0,,0,
1385,r006,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,1089,64628,,149,,302,i ,88,,165,,,,137,i ,4,,1,i 
1385,r007,All industries -> Manufacturing industries -> Chemicals -> Other chemicals ,All industries,Manufacturing industries,Chemicals,Other chemicals ,,4,other 325,1473,6402,,106,i ,232,i ,105,i ,224,i ,,,8,,0,,0,
1385,r008,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,1238,3752,,124,i ,91,,123,i ,91,,,,0.05,,,,0.05,
1385,r009,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,416,1289,,22,i ,17,i ,22,i ,17,i ,0,,0,,0,,0,
1385,r010,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,2406,2239,,435,i ,167,i ,434,i ,167,i ,,,0.05,i ,0,,0,
1385,r011,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,2780,12585,,1183,i ,1290,,1179,i ,1245,,17,,44,,,,,
1385,r012,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,198,1565,,69,i ,187,,69,i ,185,,,,2,,,,2,
1385,r013,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,50,3411,,25,i ,222,,22,i ,212,i ,3,,9,,,,0.05,
1385,r014,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,128,1959,,43,i ,217,,43,i ,216,,,,1,,0,,0,
