table_id,row_id,wipo_technical_field,1998_2020,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5887,r001,Pharmaceuticals,17428,643,717,661,627,625,555,472,398,502,451,419,448,674,634,809,885,1001,1051,1083,1182,1108,1221,1262
5887,r002,Biotechnology,17280,816,886,728,788,699,623,568,474,656,589,537,577,703,640,702,733,836,810,923,959,950,1027,1055
5887,r003,Medical technology,10152,250,292,238,235,244,311,241,209,228,198,214,225,360,383,467,575,644,666,708,780,793,943,949
5887,r004,Measurement,7786,191,227,219,230,220,257,294,247,283,266,282,283,346,373,391,399,389,413,436,451,469,564,555
5887,r005,Organic fine chemistry,6442,224,215,229,231,266,223,188,185,221,176,163,184,249,207,283,310,360,381,434,435,430,419,429
5887,r006,Computer technology,5646,123,100,90,116,119,119,138,120,178,164,165,178,267,280,325,343,371,355,393,378,382,474,468
5887,r007,Analysis of biological materials,5033,181,161,134,165,142,141,137,124,146,152,176,168,259,245,235,281,294,274,292,343,325,331,326
5887,r008,"Electrical machinery, apparatus, energy",3809,88,101,82,82,89,100,113,99,123,99,93,97,166,132,155,177,218,233,263,299,296,338,366
5887,r009,Optics,3461,102,108,128,104,143,137,152,146,151,141,136,136,155,127,166,156,176,181,178,176,154,195,213
5887,r010,Semiconductors,3429,71,80,81,100,108,140,99,98,100,95,80,110,162,164,170,201,225,229,238,236,209,225,208
5887,r011,Chemical engineering,2786,80,87,80,78,70,99,86,81,80,74,72,71,118,106,121,146,154,171,177,209,193,204,227
5887,r012,"Microstructural technology, nanotechnology",2460,38,37,47,50,65,78,91,89,108,109,104,104,140,157,144,186,181,182,144,123,92,93,96
5887,r013,Basic materials chemistry,2064,57,68,62,72,51,70,59,54,61,45,46,53,72,84,97,137,117,124,139,134,162,163,138
5887,r014,"Macromolecular chemistry, polymers",1868,51,74,61,67,73,83,52,46,64,53,37,51,86,71,73,105,95,97,116,128,123,128,133
5887,r015,Other special machines,1840,66,66,65,75,81,80,57,55,54,57,45,56,73,71,77,88,85,88,98,100,114,143,145
5887,r016,"Materials, metallurgy",1780,67,60,60,63,63,61,51,48,54,53,40,61,74,74,80,99,85,101,111,111,105,128,129
5887,r017,Digital communication,1728,14,11,26,28,27,23,33,35,64,61,55,62,87,114,118,90,127,119,112,116,112,160,133
5887,r018,"Surface technology, coating",1549,39,52,63,58,57,58,50,45,40,48,43,37,66,61,75,80,80,81,88,103,108,110,106
5887,r019,Telecommunications,1536,33,30,26,36,49,42,59,42,55,54,49,56,62,62,84,70,77,85,86,96,107,139,135
5887,r020,Audio-visual technology,1250,51,43,33,45,37,41,38,35,53,39,37,38,44,40,67,70,54,74,77,88,74,93,81
5887,r021,Environmental technology,1123,41,37,41,36,46,35,38,25,43,33,25,43,41,46,44,58,72,58,56,77,65,81,79
5887,r022,Basic communication processes,1049,23,20,20,15,20,24,44,47,44,48,51,53,48,65,51,61,57,54,63,53,62,60,66
5887,r023,"Engines, pumps, turbines",866,20,27,23,27,25,31,23,24,30,27,30,34,42,37,44,42,48,44,64,49,60,59,55
5887,r024,Control,853,25,18,20,19,23,24,19,18,31,25,15,21,32,31,37,47,46,41,55,69,69,88,80
5887,r025,Food chemistry,728,44,49,43,33,27,26,18,17,26,17,11,19,25,21,34,35,35,40,41,39,41,44,43
5887,r026,Transport,569,7,22,17,18,16,14,21,20,19,17,14,11,25,28,24,33,33,33,29,30,48,42,48
5887,r027,Civil engineering,535,17,21,22,15,19,15,20,18,10,15,10,12,18,24,19,29,26,33,35,31,38,48,42
5887,r028,Mechanical elements,507,15,15,18,18,19,17,19,13,18,18,11,10,16,20,23,30,28,26,26,39,30,41,36
5887,r029,Textile and paper machines,497,20,15,15,16,20,14,21,12,19,19,14,12,20,21,22,33,25,24,34,25,29,33,34
5887,r030,Machine tools,466,21,24,13,17,19,19,22,14,18,19,14,20,18,23,21,24,30,20,18,22,19,26,26
5887,r031,Thermal processes and apparatus,345,13,11,7,11,10,15,14,10,11,10,8,8,12,10,9,17,19,16,20,19,28,33,35
5887,r032,Other consumer goods,333,13,13,12,6,9,7,9,5,5,13,4,5,12,15,16,18,17,18,26,30,19,26,34
5887,r033,IT methods for management,312,8,5,5,6,2,4,4,9,12,11,14,12,17,24,17,24,32,14,16,15,18,22,23
5887,r034,Handling,297,9,7,3,6,7,5,5,5,4,6,4,1,9,8,14,16,18,20,21,25,26,39,39
5887,r035,"Furniture, games",223,7,5,7,5,4,6,7,5,5,8,4,5,6,6,15,12,14,11,16,16,17,23,21
5887,r036,Unclassified,134,0,1,3,3,1,1,0,4,0,3,0,5,7,7,6,8,8,9,10,13,8,18,22
