table_id,row_id,_b_field_of_study_b_full_path,_b_field_of_study_b_level_1,_b_field_of_study_b_level_2,_b_field_of_study_b_level_3,_b_field_of_study_b_level_4,_b_field_of_study_b_level_5,_b_field_of_study_b_hierarchy_depth,field_totala,field_male,field_female,field__female
4653,r001,All fields,All fields,,,,,1,55283,29886,25392,45.9
4653,r002,All fields -> Life sciences,All fields,Life sciences,,,,2,12561,5553,7007,55.8
4653,r003,All fields -> Life sciences -> Agricultural sciences and natural resources ,All fields,Life sciences,Agricultural sciences and natural resources ,,,3,1472,746,725,49.3
4653,r004,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,,4,920,470,450,48.9
4653,r005,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agricultural economics,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,Agricultural economics,5,137,84,53,38.7
4653,r006,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",5,363,196,167,46.0
4653,r007,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal nutrition, poultry science",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal nutrition, poultry science",5,75,39,36,48.0
4653,r008,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal sciences, other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal sciences, other",5,139,54,85,61.2
4653,r009,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Food science, food technology-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Food science, food technology-other",5,143,67,76,53.1
4653,r010,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Soil chemistry and microbiology, soil sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Soil chemistry and microbiology, soil sciences-other",5,63,30,33,52.4
4653,r011,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,,4,476,238,237,49.8
4653,r012,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Environmental science,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Environmental science,5,201,87,114,56.7
4653,r013,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Fishing and fisheries sciences and management,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Fishing and fisheries sciences and management,5,49,28,21,42.9
4653,r014,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Forest biology, forest management, forestry sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,"Forest biology, forest management, forestry sciences-other",5,92,60,31,33.7
4653,r015,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Natural resources policy and environmental economics,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Natural resources policy and environmental economics,5,66,26,40,60.6
4653,r016,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Natural resources and conservation, wildlife and range management",All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,"Natural resources and conservation, wildlife and range management",5,68,37,31,45.6
4653,r017,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences and natural resources, aggregated",All fields,Life sciences,Agricultural sciences and natural resources ,"Agricultural sciences and natural resources, aggregated",,4,76,38,38,50.0
4653,r018,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,,,3,8418,3892,4526,53.8
4653,r019,"All fields -> Life sciences -> Biological and biomedical sciences -> Anatomy, developmental biology",All fields,Life sciences,Biological and biomedical sciences,"Anatomy, developmental biology",,4,141,70,71,50.4
4653,r020,"All fields -> Life sciences -> Biological and biomedical sciences -> Bacteriology, parasitology, and virology",All fields,Life sciences,Biological and biomedical sciences,"Bacteriology, parasitology, and virology",,4,136,65,71,52.2
4653,r021,All fields -> Life sciences -> Biological and biomedical sciences -> Biochemistry (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),,4,687,352,335,48.8
4653,r022,All fields -> Life sciences -> Biological and biomedical sciences -> Bioinformatics,All fields,Life sciences,Biological and biomedical sciences,Bioinformatics,,4,223,149,74,33.2
4653,r023,All fields -> Life sciences -> Biological and biomedical sciences -> Biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,Biomedical sciences,,4,409,168,241,58.9
4653,r024,All fields -> Life sciences -> Biological and biomedical sciences -> Biometrics and biostatistics,All fields,Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,,4,241,114,127,52.7
4653,r025,All fields -> Life sciences -> Biological and biomedical sciences -> Biophysics (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biophysics (biological sciences),,4,174,113,61,35.1
4653,r026,"All fields -> Life sciences -> Biological and biomedical sciences -> Botany, plant pathology, plant physiology",All fields,Life sciences,Biological and biomedical sciences,"Botany, plant pathology, plant physiology",,4,152,73,79,52.0
4653,r027,All fields -> Life sciences -> Biological and biomedical sciences -> Cancer biology,All fields,Life sciences,Biological and biomedical sciences,Cancer biology,,4,305,138,167,54.8
4653,r028,"All fields -> Life sciences -> Biological and biomedical sciences -> Cell, cellular biology, and histology",All fields,Life sciences,Biological and biomedical sciences,"Cell, cellular biology, and histology",,4,168,81,87,51.8
4653,r029,All fields -> Life sciences -> Biological and biomedical sciences -> Computational biology,All fields,Life sciences,Biological and biomedical sciences,Computational biology,,4,137,76,61,44.5
4653,r030,All fields -> Life sciences -> Biological and biomedical sciences -> Ecology,All fields,Life sciences,Biological and biomedical sciences,Ecology,,4,388,175,213,54.9
