table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_level_5,sex_and_field_level_6,sex_and_field_level_7,sex_and_field_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
3268,r001,Both sexes,Both sexes,,,,,,,1,,,,,,,,,,,
3268,r002,Both sexes -> All fields,Both sexes,All fields,,,,,,2,61716,61730,57405,59847,62181,64887,67591,69115,69836,71142,72332
3268,r003,Both sexes -> All fields -> S&E,Both sexes,All fields,S&E,,,,,3,33359,33284,32649,34205,35359,36928,38939,39178,39053,39528,40057
3268,r004,Both sexes -> All fields -> S&E -> Science,Both sexes,All fields,S&E,Science,,,,4,25249,25369,24837,25727,26486,27439,28804,28772,28695,28981,29106
3268,r005,Both sexes -> All fields -> S&E -> Science -> Agricultural sciences,Both sexes,All fields,S&E,Science,Agricultural sciences,,,5,1080,1143,982,1053,1144,1218,1228,1381,1343,1364,1345
3268,r006,Both sexes -> All fields -> S&E -> Science -> Biological sciences,Both sexes,All fields,S&E,Science,Biological sciences,,,5,7319,7429,7571,7596,7817,7825,8207,7890,7858,8003,8096
3268,r007,Both sexes -> All fields -> S&E -> Science -> Computer sciences,Both sexes,All fields,S&E,Science,Computer sciences,,,5,1696,1574,1561,1562,1690,1809,1935,1951,1936,1934,1974
3268,r008,"Both sexes -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences",Both sexes,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",,,5,683,724,713,687,737,794,861,827,912,890,933
3268,r009,"Both sexes -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",Both sexes,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,,6,106,110,100,120,125,137,126,146,142,153,174
3268,r010,"Both sexes -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Earth sciences",Both sexes,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Earth sciences,,6,469,503,496,467,497,530,606,575,631,629,648
3268,r011,"Both sexes -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",Both sexes,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,,6,108,111,117,100,115,127,129,106,139,108,111
3268,r012,Both sexes -> All fields -> S&E -> Science -> Mathematics and statistics,Both sexes,All fields,S&E,Science,Mathematics and statistics,,,5,1362,1536,1594,1590,1670,1824,1864,1802,1855,1925,2013
3268,r013,Both sexes -> All fields -> S&E -> Science -> Physical sciences,Both sexes,All fields,S&E,Science,Physical sciences,,,5,4205,4416,4326,4560,4589,4703,4947,4971,5078,5086,5204
3268,r014,Both sexes -> All fields -> S&E -> Science -> Physical sciences -> Astronomy,Both sexes,All fields,S&E,Science,Physical sciences,Astronomy,,6,163,143,160,166,170,174,179,153,169,196,211
3268,r015,Both sexes -> All fields -> S&E -> Science -> Physical sciences -> Chemistry,Both sexes,All fields,S&E,Science,Physical sciences,Chemistry,,6,2495,2652,2564,2685,2630,2730,2921,2906,3002,2990,3059
3268,r016,Both sexes -> All fields -> S&E -> Science -> Physical sciences -> Physics,Both sexes,All fields,S&E,Science,Physical sciences,Physics,,6,1507,1580,1570,1670,1752,1740,1768,1840,1833,1826,1879
3268,r017,Both sexes -> All fields -> S&E -> Science -> Physical sciences -> Other,Both sexes,All fields,S&E,Science,Physical sciences,Other,,6,40,41,32,39,37,59,79,72,74,74,55
3268,r018,Both sexes -> All fields -> S&E -> Science -> Psychology,Both sexes,All fields,S&E,Science,Psychology,,,5,4600,4046,3606,3952,3867,4280,4574,4533,4526,4486,4325
3268,r019,Both sexes -> All fields -> S&E -> Science -> Social sciences,Both sexes,All fields,S&E,Science,Social sciences,,,5,4304,4501,4484,4727,4972,4986,5188,5417,5187,5293,5216
3268,r020,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Anthropology,Both sexes,All fields,S&E,Science,Social sciences,Anthropology,,6,491,527,534,596,585,595,606,577,591,581,573
3268,r021,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Area and ethnic studies,Both sexes,All fields,S&E,Science,Social sciences,Area and ethnic studies,,6,246,226,237,257,274,272,316,309,302,323,316
3268,r022,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Economics,Both sexes,All fields,S&E,Science,Social sciences,Economics,,6,1172,1172,1120,1152,1271,1227,1212,1283,1298,1325,1326
3268,r023,Both sexes -> All fields -> S&E -> Science -> Social sciences -> History of science,Both sexes,All fields,S&E,Science,Social sciences,History of science,,6,34,19,31,27,24,29,41,31,31,30,27
3268,r024,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Linguistics,Both sexes,All fields,S&E,Science,Social sciences,Linguistics,,6,215,240,203,235,249,237,240,266,259,229,258
3268,r025,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Political science and public administration,Both sexes,All fields,S&E,Science,Social sciences,Political science and public administration,,6,1104,1244,1312,1314,1402,1507,1537,1622,1518,1557,1489
3268,r026,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Sociology,Both sexes,All fields,S&E,Science,Social sciences,Sociology,,6,594,635,612,671,635,626,692,733,658,697,707
3268,r027,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Other ,Both sexes,All fields,S&E,Science,Social sciences,Other ,,6,448,438,435,475,532,493,544,596,530,551,520
3268,r028,Both sexes -> All fields -> S&E -> Engineering,Both sexes,All fields,S&E,Engineering,,,,4,8110,7915,7812,8478,8873,9489,10135,10406,10358,10547,10951
3268,r029,Both sexes -> All fields -> S&E -> Engineering -> Aerospace engineering,Both sexes,All fields,S&E,Engineering,Aerospace engineering,,,5,232,257,228,237,275,310,336,310,332,342,347
3268,r030,Both sexes -> All fields -> S&E -> Engineering -> Chemical engineering,Both sexes,All fields,S&E,Engineering,Chemical engineering,,,5,950,886,929,951,969,1001,1169,1197,1181,1169,1211
3268,r031,Both sexes -> All fields -> S&E -> Engineering -> Civil engineering,Both sexes,All fields,S&E,Engineering,Civil engineering,,,5,909,902,851,894,922,1036,1154,1230,1166,1246,1232
