table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_female,field_male,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability
7766,r001,All degrees,All degrees,,,,1,51764000,26493000,25271000,5307000,126000,5475000,4109000,136000,35373000,1238000,45426000,6338000
7766,r002,All degrees -> S&E occupations,All degrees,S&E occupations,,,2,7894000,2300000,5594000,692000,10000,1665000,399000,16000,4943000,169000,7006000,888000
7766,r003,"All degrees -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,S&E occupations,"Biological, agricultural, and other life scientists",,3,794000,367000,427000,72000,2000,167000,32000,1000,501000,19000,708000,86000
7766,r004,All degrees -> S&E occupations -> Computer and mathematical scientists,All degrees,S&E occupations,Computer and mathematical scientists,,3,4031000,1053000,2979000,328000,5000,1064000,242000,6000,2296000,89000,3558000,473000
7766,r005,All degrees -> S&E occupations -> Physical and related scientists,All degrees,S&E occupations,Physical and related scientists,,3,408000,135000,273000,32000,1000,61000,16000,S,288000,9000,358000,50000
7766,r006,All degrees -> S&E occupations -> Social and related scientists,All degrees,S&E occupations,Social and related scientists,,3,712000,433000,279000,81000,1000,57000,44000,S,513000,16000,623000,89000
7766,r007,All degrees -> S&E occupations -> Engineers,All degrees,S&E occupations,Engineers,,3,1949000,312000,1636000,178000,2000,316000,65000,7000,1345000,36000,1758000,191000
7766,r008,All degrees -> S&E-related occupations,All degrees,S&E-related occupations,,,2,9522000,5494000,4028000,843000,22000,1264000,756000,36000,6412000,189000,8534000,987000
7766,r009,All degrees -> Non-S&E occupations,All degrees,Non-S&E occupations,,,2,34349000,18699000,15649000,3772000,94000,2546000,2955000,83000,24018000,880000,29886000,4462000
7766,r010,All degrees -> Bachelor's,All degrees,Bachelor's,,,2,31688000,15827000,15861000,3497000,64000,2882000,2410000,97000,21895000,845000,27506000,4182000
7766,r011,All degrees -> Bachelor's -> S&E occupations,All degrees,Bachelor's,S&E occupations,,3,4438000,1099000,3339000,438000,8000,683000,238000,11000,2947000,114000,3885000,553000
7766,r012,"All degrees -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",4,295000,140000,155000,36000,S,34000,16000,1000,201000,6000,254000,41000
7766,r013,All degrees -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,All degrees,Bachelor's,S&E occupations,Computer and mathematical scientists,4,2574000,612000,1961000,237000,4000,492000,166000,4000,1599000,71000,2246000,328000
7766,r014,All degrees -> Bachelor's -> S&E occupations -> Physical and related scientists,All degrees,Bachelor's,S&E occupations,Physical and related scientists,4,177000,62000,116000,17000,0.05,17000,7000,0.05,129000,6000,152000,25000
7766,r015,All degrees -> Bachelor's -> S&E occupations -> Social and related scientists,All degrees,Bachelor's,S&E occupations,Social and related scientists,4,170000,106000,64000,23000,,15000,7000,,118000,S,152000,18000
7766,r016,All degrees -> Bachelor's -> S&E occupations -> Engineers,All degrees,Bachelor's,S&E occupations,Engineers,4,1222000,179000,1043000,125000,2000,125000,42000,5000,899000,24000,1081000,141000
7766,r017,All degrees -> Bachelor's -> S&E-related occupations,All degrees,Bachelor's,S&E-related occupations,,3,5031000,3044000,1988000,498000,12000,646000,378000,27000,3372000,98000,4435000,597000
7766,r018,All degrees -> Bachelor's -> Non-S&E occupations,All degrees,Bachelor's,Non-S&E occupations,,3,22219000,11685000,10534000,2561000,45000,1553000,1794000,58000,15576000,632000,19186000,3032000
7766,r019,All degrees -> Master's,All degrees,Master's,,,2,14688000,8314000,6375000,1337000,50000,1828000,1337000,34000,9797000,305000,13079000,1609000
7766,r020,All degrees -> Master's -> S&E occupations,All degrees,Master's,S&E occupations,,3,2411000,816000,1595000,183000,1000,706000,130000,5000,1344000,41000,2166000,245000
7766,r021,"All degrees -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,Master's,S&E occupations,"Biological, agricultural, and other life scientists",4,188000,100000,88000,14000,,34000,7000,,123000,S,166000,22000
7766,r022,All degrees -> Master's -> S&E occupations -> Computer and mathematical scientists,All degrees,Master's,S&E occupations,Computer and mathematical scientists,4,1251000,384000,867000,84000,,492000,73000,S,584000,16000,1120000,131000
7766,r023,All degrees -> Master's -> S&E occupations -> Physical and related scientists,All degrees,Master's,S&E occupations,Physical and related scientists,4,105000,43000,61000,10000,,16000,5000,,71000,2000,90000,15000
7766,r024,All degrees -> Master's -> S&E occupations -> Social and related scientists,All degrees,Master's,S&E occupations,Social and related scientists,4,283000,180000,102000,32000,,21000,23000,S,200000,5000,248000,35000
7766,r025,All degrees -> Master's -> S&E occupations -> Engineers,All degrees,Master's,S&E occupations,Engineers,4,584000,108000,476000,42000,0.05,143000,21000,S,367000,9000,543000,41000
7766,r026,All degrees -> Master's -> S&E-related occupations,All degrees,Master's,S&E-related occupations,,3,2578000,1580000,998000,181000,4000,314000,242000,6000,1775000,56000,2326000,252000
