table_id,row_id,sex_occupation_and_job_satisfaction_full_path,sex_occupation_and_job_satisfaction_level_1,sex_occupation_and_job_satisfaction_level_2,sex_occupation_and_job_satisfaction_level_3,sex_occupation_and_job_satisfaction_level_4,sex_occupation_and_job_satisfaction_level_5,sex_occupation_and_job_satisfaction_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
5586,r001,All sexes,All sexes,,,,,1,50524000,2529000,22018000,3731000,7052000,15194000
5586,r002,All sexes -> Very satisfied,All sexes,Very satisfied,,,,2,22664000,1113000,9721000,1689000,3282000,6861000
5586,r003,All sexes -> Somewhat satisfied,All sexes,Somewhat satisfied,,,,2,22697000,1192000,9918000,1655000,3263000,6670000
5586,r004,All sexes -> Somewhat dissatisfied,All sexes,Somewhat dissatisfied,,,,2,3910000,188000,1799000,343000,379000,1201000
5586,r005,All sexes -> Very dissatisfied,All sexes,Very dissatisfied,,,,2,1253000,36000,581000,45000,129000,462000
5586,r006,All sexes -> S&E occupations,All sexes,S&E occupations,,,,2,7466000,1995000,1653000,1688000,427000,1703000
5586,r007,All sexes -> S&E occupations -> Very satisfied,All sexes,S&E occupations,Very satisfied,,,3,3385000,908000,714000,766000,212000,785000
5586,r008,All sexes -> S&E occupations -> Somewhat satisfied,All sexes,S&E occupations,Somewhat satisfied,,,3,3405000,921000,786000,771000,175000,753000
5586,r009,All sexes -> S&E occupations -> Somewhat dissatisfied,All sexes,S&E occupations,Somewhat dissatisfied,,,3,556000,145000,119000,129000,35000,129000
5586,r010,All sexes -> S&E occupations -> Very dissatisfied,All sexes,S&E occupations,Very dissatisfied,,,3,119000,22000,34000,22000,5000,37000
5586,r011,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",,,3,698000,9000,104000,408000,70000,108000
5586,r012,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,,4,312000,3000,44000,171000,41000,53000
5586,r013,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,,4,313000,4000,49000,196000,24000,40000
5586,r014,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,,4,58000,,9000,35000,4000,9000
5586,r015,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,,4,16000,,S,6000,0.05,7000
5586,r016,All sexes -> S&E occupations -> Computer and mathematical scientists,All sexes,S&E occupations,Computer and mathematical scientists,,,3,3774000,1856000,775000,469000,116000,558000
5586,r017,All sexes -> S&E occupations -> Computer and mathematical scientists -> Very satisfied,All sexes,S&E occupations,Computer and mathematical scientists,Very satisfied,,4,1655000,840000,321000,206000,52000,236000
5586,r018,All sexes -> S&E occupations -> Computer and mathematical scientists -> Somewhat satisfied,All sexes,S&E occupations,Computer and mathematical scientists,Somewhat satisfied,,4,1764000,864000,369000,219000,52000,259000
5586,r019,All sexes -> S&E occupations -> Computer and mathematical scientists -> Somewhat dissatisfied,All sexes,S&E occupations,Computer and mathematical scientists,Somewhat dissatisfied,,4,299000,133000,63000,38000,11000,53000
5586,r020,All sexes -> S&E occupations -> Computer and mathematical scientists -> Very dissatisfied,All sexes,S&E occupations,Computer and mathematical scientists,Very dissatisfied,,4,57000,19000,21000,6000,S,10000
5586,r021,All sexes -> S&E occupations -> Physical and related scientists,All sexes,S&E occupations,Physical and related scientists,,,3,409000,11000,77000,194000,54000,74000
5586,r022,All sexes -> S&E occupations -> Physical and related scientists -> Very satisfied,All sexes,S&E occupations,Physical and related scientists,Very satisfied,,4,180000,5000,32000,89000,19000,34000
5586,r023,All sexes -> S&E occupations -> Physical and related scientists -> Somewhat satisfied,All sexes,S&E occupations,Physical and related scientists,Somewhat satisfied,,4,188000,5000,38000,83000,29000,34000
5586,r024,All sexes -> S&E occupations -> Physical and related scientists -> Somewhat dissatisfied,All sexes,S&E occupations,Physical and related scientists,Somewhat dissatisfied,,4,32000,,5000,18000,5000,4000
5586,r025,All sexes -> S&E occupations -> Physical and related scientists -> Very dissatisfied,All sexes,S&E occupations,Physical and related scientists,Very dissatisfied,,4,9000,,S,3000,,2000
5586,r026,All sexes -> S&E occupations -> Social and related scientists,All sexes,S&E occupations,Social and related scientists,,,3,663000,7000,79000,199000,149000,229000
5586,r027,All sexes -> S&E occupations -> Social and related scientists -> Very satisfied,All sexes,S&E occupations,Social and related scientists,Very satisfied,,4,353000,5000,44000,91000,85000,128000
5586,r028,All sexes -> S&E occupations -> Social and related scientists -> Somewhat satisfied,All sexes,S&E occupations,Social and related scientists,Somewhat satisfied,,4,263000,1000,32000,97000,50000,82000
5586,r029,All sexes -> S&E occupations -> Social and related scientists -> Somewhat dissatisfied,All sexes,S&E occupations,Social and related scientists,Somewhat dissatisfied,,4,41000,,3000,10000,12000,15000
5586,r030,All sexes -> S&E occupations -> Social and related scientists -> Very dissatisfied,All sexes,S&E occupations,Social and related scientists,Very dissatisfied,,4,6000,,0.05,1000,2000,3000
5586,r031,All sexes -> S&E occupations -> Engineers,All sexes,S&E occupations,Engineers,,,3,1921000,112000,618000,418000,38000,735000
5586,r032,All sexes -> S&E occupations -> Engineers -> Very satisfied,All sexes,S&E occupations,Engineers,Very satisfied,,4,886000,54000,272000,209000,15000,335000
5586,r033,All sexes -> S&E occupations -> Engineers -> Somewhat satisfied,All sexes,S&E occupations,Engineers,Somewhat satisfied,,4,878000,47000,297000,176000,20000,337000
5586,r034,All sexes -> S&E occupations -> Engineers -> Somewhat dissatisfied,All sexes,S&E occupations,Engineers,Somewhat dissatisfied,,4,126000,10000,39000,28000,2000,48000
5586,r035,All sexes -> S&E occupations -> Engineers -> Very dissatisfied,All sexes,S&E occupations,Engineers,Very dissatisfied,,4,32000,2000,9000,6000,,15000
5586,r036,All sexes -> S&E-related occupations,All sexes,S&E-related occupations,,,,2,8893000,228000,1632000,515000,1146000,5372000
5586,r037,All sexes -> S&E-related occupations -> Very satisfied,All sexes,S&E-related occupations,Very satisfied,,,3,4254000,85000,793000,234000,513000,2629000
5586,r038,All sexes -> S&E-related occupations -> Somewhat satisfied,All sexes,S&E-related occupations,Somewhat satisfied,,,3,3815000,112000,702000,219000,551000,2232000
5586,r039,All sexes -> S&E-related occupations -> Somewhat dissatisfied,All sexes,S&E-related occupations,Somewhat dissatisfied,,,3,649000,21000,116000,48000,57000,407000
5586,r040,All sexes -> S&E-related occupations -> Very dissatisfied,All sexes,S&E-related occupations,Very dissatisfied,,,3,176000,10000,21000,13000,26000,105000
5586,r041,All sexes -> Non-S&E occupations,All sexes,Non-S&E occupations,,,,2,34165000,305000,18733000,1528000,5479000,8119000
5586,r042,All sexes -> Non-S&E occupations -> Very satisfied,All sexes,Non-S&E occupations,Very satisfied,,,3,15025000,119000,8214000,689000,2556000,3447000
5586,r043,All sexes -> Non-S&E occupations -> Somewhat satisfied,All sexes,Non-S&E occupations,Somewhat satisfied,,,3,15476000,159000,8431000,664000,2537000,3686000
5586,r044,All sexes -> Non-S&E occupations -> Somewhat dissatisfied,All sexes,Non-S&E occupations,Somewhat dissatisfied,,,3,2705000,23000,1563000,166000,288000,665000
5586,r045,All sexes -> Non-S&E occupations -> Very dissatisfied,All sexes,Non-S&E occupations,Very dissatisfied,,,3,958000,S,526000,10000,98000,321000
5586,r046,All sexes -> Female,All sexes,Female,,,,2,26341000,578000,11144000,1592000,5121000,7905000
5586,r047,All sexes -> Female -> Very satisfied,All sexes,Female,Very satisfied,,,3,11532000,243000,4753000,682000,2362000,3492000
5586,r048,All sexes -> Female -> Somewhat satisfied,All sexes,Female,Somewhat satisfied,,,3,12152000,281000,5133000,764000,2417000,3556000
5586,r049,All sexes -> Female -> Somewhat dissatisfied,All sexes,Female,Somewhat dissatisfied,,,3,1948000,46000,944000,123000,235000,600000
5586,r050,All sexes -> Female -> Very dissatisfied,All sexes,Female,Very dissatisfied,,,3,709000,9000,314000,23000,107000,256000
5586,r051,All sexes -> Female -> S&E occupations,All sexes,Female,S&E occupations,,,3,2193000,391000,503000,577000,213000,509000
5586,r052,All sexes -> Female -> S&E occupations -> Very satisfied,All sexes,Female,S&E occupations,Very satisfied,,4,966000,170000,198000,258000,109000,231000
5586,r053,All sexes -> Female -> S&E occupations -> Somewhat satisfied,All sexes,Female,S&E occupations,Somewhat satisfied,,4,1021000,183000,260000,270000,82000,225000
5586,r054,All sexes -> Female -> S&E occupations -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Somewhat dissatisfied,,4,167000,31000,36000,38000,20000,41000
5586,r055,All sexes -> Female -> S&E occupations -> Very dissatisfied,All sexes,Female,S&E occupations,Very dissatisfied,,4,38000,7000,8000,10000,2000,11000
5586,r056,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",,4,337000,2000,55000,188000,40000,53000
5586,r057,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,5,160000,S,23000,81000,27000,27000
5586,r058,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,5,145000,S,25000,89000,9000,21000
5586,r059,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,5,25000,,6000,13000,4000,3000
5586,r060,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,5,7000,,0.05,4000,,S
5586,r061,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists,All sexes,Female,S&E occupations,Computer and mathematical scientists,,4,975000,372000,258000,136000,53000,156000
5586,r062,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Very satisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Very satisfied,5,392000,159000,88000,58000,28000,60000
5586,r063,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Somewhat satisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Somewhat satisfied,5,483000,178000,144000,67000,18000,76000
5586,r064,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Somewhat dissatisfied,5,84000,28000,21000,11000,7000,17000
5586,r065,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Very dissatisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Very dissatisfied,5,16000,6000,5000,S,,S
5586,r066,All sexes -> Female -> S&E occupations -> Physical and related scientists,All sexes,Female,S&E occupations,Physical and related scientists,,4,142000,S,30000,59000,24000,28000
5586,r067,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Very satisfied,All sexes,Female,S&E occupations,Physical and related scientists,Very satisfied,5,57000,,12000,28000,5000,10000
5586,r068,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Somewhat satisfied,All sexes,Female,S&E occupations,Physical and related scientists,Somewhat satisfied,5,70000,S,14000,24000,S,15000
5586,r069,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Physical and related scientists,Somewhat dissatisfied,5,11000,,3000,5000,2000,2000
5586,r070,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Very dissatisfied,All sexes,Female,S&E occupations,Physical and related scientists,Very dissatisfied,5,4000,,0.05,S,,
5586,r071,All sexes -> Female -> S&E occupations -> Social and related scientists,All sexes,Female,S&E occupations,Social and related scientists,,4,428000,2000,50000,116000,88000,171000
5586,r072,All sexes -> Female -> S&E occupations -> Social and related scientists -> Very satisfied,All sexes,Female,S&E occupations,Social and related scientists,Very satisfied,5,214000,S,23000,50000,46000,95000
5586,r073,All sexes -> Female -> S&E occupations -> Social and related scientists -> Somewhat satisfied,All sexes,Female,S&E occupations,Social and related scientists,Somewhat satisfied,5,179000,1000,25000,60000,33000,60000
5586,r074,All sexes -> Female -> S&E occupations -> Social and related scientists -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Social and related scientists,Somewhat dissatisfied,5,31000,,3000,6000,8000,14000
5586,r075,All sexes -> Female -> S&E occupations -> Social and related scientists -> Very dissatisfied,All sexes,Female,S&E occupations,Social and related scientists,Very dissatisfied,5,5000,,0.05,0.05,2000,S
5586,r076,All sexes -> Female -> S&E occupations -> Engineers,All sexes,Female,S&E occupations,Engineers,,4,310000,14000,110000,78000,8000,100000
5586,r077,All sexes -> Female -> S&E occupations -> Engineers -> Very satisfied,All sexes,Female,S&E occupations,Engineers,Very satisfied,5,144000,8000,52000,41000,S,40000
5586,r078,All sexes -> Female -> S&E occupations -> Engineers -> Somewhat satisfied,All sexes,Female,S&E occupations,Engineers,Somewhat satisfied,5,143000,3000,52000,31000,4000,53000
5586,r079,All sexes -> Female -> S&E occupations -> Engineers -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Engineers,Somewhat dissatisfied,5,16000,S,4000,3000,0.05,6000
5586,r080,All sexes -> Female -> S&E occupations -> Engineers -> Very dissatisfied,All sexes,Female,S&E occupations,Engineers,Very dissatisfied,5,6000,,2000,,,S
5586,r081,All sexes -> Female -> S&E-related occupations,All sexes,Female,S&E-related occupations,,,3,5109000,58000,739000,258000,717000,3337000
5586,r082,All sexes -> Female -> S&E-related occupations -> Very satisfied,All sexes,Female,S&E-related occupations,Very satisfied,,4,2435000,27000,370000,112000,332000,1595000
5586,r083,All sexes -> Female -> S&E-related occupations -> Somewhat satisfied,All sexes,Female,S&E-related occupations,Somewhat satisfied,,4,2224000,25000,307000,125000,331000,1437000
5586,r084,All sexes -> Female -> S&E-related occupations -> Somewhat dissatisfied,All sexes,Female,S&E-related occupations,Somewhat dissatisfied,,4,335000,5000,51000,13000,33000,233000
5586,r085,All sexes -> Female -> S&E-related occupations -> Very dissatisfied,All sexes,Female,S&E-related occupations,Very dissatisfied,,4,114000,,12000,8000,21000,73000
5586,r086,All sexes -> Female -> Non-S&E occupations,All sexes,Female,Non-S&E occupations,,,3,19040000,130000,9902000,758000,4191000,4059000
5586,r087,All sexes -> Female -> Non-S&E occupations -> Very satisfied,All sexes,Female,Non-S&E occupations,Very satisfied,,4,8130000,45000,4185000,312000,1921000,1666000
