table_id,row_id,debt_level_and_broad_field_of_study_full_path,debt_level_and_broad_field_of_study_level_1,debt_level_and_broad_field_of_study_level_2,debt_level_and_broad_field_of_study_level_3,debt_level_and_broad_field_of_study_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
972,r001,All doctorate recipients,All doctorate recipients,,,1,44074,45137,43898,44782,46490,46450,46820,48766,49800,49308
972,r002,All doctorate recipients -> No debt,All doctorate recipients,No debt,,2,28227,28442,28105,28663,29297,28884,29333,30895,31997,32647
972,r003,"All doctorate recipients -> $10,000 or less",All doctorate recipients,"$10,000 or less",,2,3929,3915,3510,3697,4030,3931,3842,4190,4077,3804
972,r004,"All doctorate recipients -> $10,001&#8211;$30,000",All doctorate recipients,"$10,001&#8211;$30,000",,2,4461,4582,4238,4314,4565,4609,4435,4464,4378,3907
972,r005,"All doctorate recipients -> $30,001 or more",All doctorate recipients,"$30,001 or more",,2,7457,8198,8045,8108,8598,9026,9210,9217,9348,8950
972,r006,All doctorate recipients -> Life sciences<sup>a</sup>,All doctorate recipients,Life sciences<sup>a</sup>,,2,10163,10507,10466,10673,11115,10868,10917,11310,11646,11629
972,r007,All doctorate recipients -> Life sciences<sup>a</sup> -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,No debt,3,7016,7158,7268,7451,7658,7319,7427,7814,8105,8205
972,r008,"All doctorate recipients -> Life sciences<sup>a</sup> -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,"$10,000 or less",3,891,930,849,853,943,904,860,941,918,914
972,r009,"All doctorate recipients -> Life sciences<sup>a</sup> -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,"$10,001&#8211;$30,000",3,962,1019,944,909,1001,1016,997,943,941,822
972,r010,"All doctorate recipients -> Life sciences<sup>a</sup> -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,"$30,001 or more",3,1294,1400,1405,1460,1513,1629,1633,1612,1682,1688
972,r011,All doctorate recipients -> Physical sciences and earth sciences,All doctorate recipients,Physical sciences and earth sciences,,2,4476,4749,4629,4900,5009,5005,5203,5329,5748,5630
972,r012,All doctorate recipients -> Physical sciences and earth sciences -> No debt,All doctorate recipients,Physical sciences and earth sciences,No debt,3,3372,3591,3575,3734,3833,3831,4023,4165,4530,4586
972,r013,"All doctorate recipients -> Physical sciences and earth sciences -> $10,000 or less",All doctorate recipients,Physical sciences and earth sciences,"$10,000 or less",3,415,434,384,401,426,421,404,460,484,396
972,r014,"All doctorate recipients -> Physical sciences and earth sciences -> $10,001&#8211;$30,000",All doctorate recipients,Physical sciences and earth sciences,"$10,001&#8211;$30,000",3,352,348,333,353,377,380,365,324,335,298
972,r015,"All doctorate recipients -> Physical sciences and earth sciences -> $30,001 or more",All doctorate recipients,Physical sciences and earth sciences,"$30,001 or more",3,337,376,337,412,373,373,411,380,399,350
972,r016,All doctorate recipients -> Mathematics and computer sciences,All doctorate recipients,Mathematics and computer sciences,,2,2909,2911,2956,2999,3149,3273,3415,3407,3590,3468
972,r017,All doctorate recipients -> Mathematics and computer sciences -> No debt,All doctorate recipients,Mathematics and computer sciences,No debt,3,2335,2335,2358,2381,2505,2633,2685,2747,2886,2839
972,r018,"All doctorate recipients -> Mathematics and computer sciences -> $10,000 or less",All doctorate recipients,Mathematics and computer sciences,"$10,000 or less",3,209,193,174,217,202,204,238,222,191,216
972,r019,"All doctorate recipients -> Mathematics and computer sciences -> $10,001&#8211;$30,000",All doctorate recipients,Mathematics and computer sciences,"$10,001&#8211;$30,000",3,155,164,171,178,187,182,189,175,217,176
972,r020,"All doctorate recipients -> Mathematics and computer sciences -> $30,001 or more",All doctorate recipients,Mathematics and computer sciences,"$30,001 or more",3,210,219,253,223,255,254,303,263,296,237
972,r021,All doctorate recipients -> Psychology and social sciences,All doctorate recipients,Psychology and social sciences,,2,6798,7105,7095,7363,7598,7442,7436,7854,8084,7991
972,r022,All doctorate recipients -> Psychology and social sciences -> No debt,All doctorate recipients,Psychology and social sciences,No debt,3,3352,3444,3415,3523,3560,3446,3431,3636,3971,4079
972,r023,"All doctorate recipients -> Psychology and social sciences -> $10,000 or less",All doctorate recipients,Psychology and social sciences,"$10,000 or less",3,586,603,556,630,657,615,609,670,688,645
972,r024,"All doctorate recipients -> Psychology and social sciences -> $10,001&#8211;$30,000",All doctorate recipients,Psychology and social sciences,"$10,001&#8211;$30,000",3,886,865,866,882,983,880,860,947,882,845
972,r025,"All doctorate recipients -> Psychology and social sciences -> $30,001 or more",All doctorate recipients,Psychology and social sciences,"$30,001 or more",3,1974,2193,2258,2328,2398,2501,2536,2601,2543,2422
972,r026,All doctorate recipients -> Engineering,All doctorate recipients,Engineering,,2,7130,7034,6989,7363,7747,7964,8445,8828,8548,8913
972,r027,All doctorate recipients -> Engineering -> No debt,All doctorate recipients,Engineering,No debt,3,5416,5340,5347,5654,5907,5981,6426,6788,6554,7075
972,r028,"All doctorate recipients -> Engineering -> $10,000 or less",All doctorate recipients,Engineering,"$10,000 or less",3,643,609,581,635,692,706,746,774,760,682
972,r029,"All doctorate recipients -> Engineering -> $10,001&#8211;$30,000",All doctorate recipients,Engineering,"$10,001&#8211;$30,000",3,526,550,528,504,549,615,617,613,568,525
972,r030,"All doctorate recipients -> Engineering -> $30,001 or more",All doctorate recipients,Engineering,"$30,001 or more",3,545,535,533,570,599,662,656,653,666,631
972,r031,All doctorate recipients -> Education,All doctorate recipients,Education,,2,5868,5898,4766,4255,4397,4300,4079,4490,4617,4296
972,r032,All doctorate recipients -> Education -> No debt,All doctorate recipients,Education,No debt,3,3163,2967,2445,2152,2115,1898,1725,1942,2038,1891
972,r033,"All doctorate recipients -> Education -> $10,000 or less",All doctorate recipients,Education,"$10,000 or less",3,520,488,365,312,373,361,347,396,368,341
972,r034,"All doctorate recipients -> Education -> $10,001&#8211;$30,000",All doctorate recipients,Education,"$10,001&#8211;$30,000",3,711,727,556,542,534,574,502,555,556,480
972,r035,"All doctorate recipients -> Education -> $30,001 or more",All doctorate recipients,Education,"$30,001 or more",3,1474,1716,1400,1249,1375,1467,1505,1597,1655,1584
972,r036,All doctorate recipients -> Humanities and arts,All doctorate recipients,Humanities and arts,,2,4270,4449,4577,4809,5059,4974,4771,4939,4950,4729
972,r037,All doctorate recipients -> Humanities and arts -> No debt,All doctorate recipients,Humanities and arts,No debt,3,2218,2264,2383,2459,2451,2431,2325,2437,2548,2538
972,r038,"All doctorate recipients -> Humanities and arts -> $10,000 or less",All doctorate recipients,Humanities and arts,"$10,000 or less",3,483,472,434,477,539,525,450,543,466,443
972,r039,"All doctorate recipients -> Humanities and arts -> $10,001&#8211;$30,000",All doctorate recipients,Humanities and arts,"$10,001&#8211;$30,000",3,577,612,569,657,671,667,629,633,611,508
972,r040,"All doctorate recipients -> Humanities and arts -> $30,001 or more",All doctorate recipients,Humanities and arts,"$30,001 or more",3,992,1101,1191,1216,1398,1351,1367,1326,1325,1240
972,r041,All doctorate recipients -> Other<sup>b</sup>,All doctorate recipients,Other<sup>b</sup>,,2,2460,2484,2420,2420,2416,2624,2554,2609,2617,2652
972,r042,All doctorate recipients -> Other<sup>b</sup> -> No debt,All doctorate recipients,Other<sup>b</sup>,No debt,3,1355,1343,1314,1309,1268,1345,1291,1366,1365,1434
972,r043,"All doctorate recipients -> Other<sup>b</sup> -> $10,000 or less",All doctorate recipients,Other<sup>b</sup>,"$10,000 or less",3,182,186,167,172,198,195,188,184,202,167
972,r044,"All doctorate recipients -> Other<sup>b</sup> -> $10,001&#8211;$30,000",All doctorate recipients,Other<sup>b</sup>,"$10,001&#8211;$30,000",3,292,297,271,289,263,295,276,274,268,253
972,r045,"All doctorate recipients -> Other<sup>b</sup> -> $30,001 or more",All doctorate recipients,Other<sup>b</sup>,"$30,001 or more",3,631,658,668,650,687,789,799,785,782,798
