table_id,row_id,_b_industry_naics_code_and_company_size_b_full_path,_b_industry_naics_code_and_company_size_b_level_1,_b_industry_naics_code_and_company_size_b_level_2,_b_industry_naics_code_and_company_size_b_level_3,_b_industry_naics_code_and_company_size_b_level_4,_b_industry_naics_code_and_company_size_b_hierarchy_depth,field_domestic_net_sales_millions_a,field_all_r_d_millions_b,field_r_d_sales_intensity_c,field_domestic_employment_headcounts_in_thousands_d_total_,field_domestic_employment_headcounts_in_thousands_d_r_de,field_domestic_employment_headcounts_in_thousands_d_r_d_employment_intensity_e
10485,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,13112161,608624,4.6,23716,2171,9.2
10485,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries,<sup>f</sup> 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries,<sup>f</sup> 31&#8211;33",,,2,6553082,326807,5.0,10344,1020,9.9
10485,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,,2,6559080,281817,4.3,13372,1151,8.6
10485,r004,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",,3,1705718,148612,8.7,2196,455,20.7
10485,r005,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Software publishers, 5112","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51","Software publishers, 5112",4,304517,39585,13.0,461,129,28.0
10485,r006,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical Services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical Services, 54",,3,493145,70974,14.4,1570,370,23.6
10485,r007,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical Services, 54 -> Computer systems design and related services, 5415","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical Services, 54","Computer systems design and related services, 5415",4,204181,22025,10.8,558,114,20.4
10485,r008,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical Services, 54 -> Scientific research and development services, 5417","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical Services, 54","Scientific research and development services, 5417",4,85251,36397,42.7,290,140,48.3
10485,r009,"All industries, 21&#8211;33, 42&#8211;81 -> Microbusinesses","All industries, 21&#8211;33, 42&#8211;81",Microbusinesses,,,2,,,,,,
10485,r010,"All industries, 21&#8211;33, 42&#8211;81 -> Microbusinesses -> 1&#8211;9","All industries, 21&#8211;33, 42&#8211;81",Microbusinesses,1&#8211;9,,3,14405,6125,42.5,62,39,62.8
10485,r011,"All industries, 21&#8211;33, 42&#8211;81 -> Small companies","All industries, 21&#8211;33, 42&#8211;81",Small companies,,,2,,,,,,
10485,r012,"All industries, 21&#8211;33, 42&#8211;81 -> Small companies -> 10&#8211;19","All industries, 21&#8211;33, 42&#8211;81",Small companies,10&#8211;19,,3,35815,5477,15.3,85,36,42.4
10485,r013,"All industries, 21&#8211;33, 42&#8211;81 -> Small companies -> 20&#8211;49","All industries, 21&#8211;33, 42&#8211;81",Small companies,20&#8211;49,,3,104550,15061,14.4,298,99,33.2
10485,r014,"All industries, 21&#8211;33, 42&#8211;81 -> Medium companies","All industries, 21&#8211;33, 42&#8211;81",Medium companies,,,2,,,,,,
10485,r015,"All industries, 21&#8211;33, 42&#8211;81 -> Medium companies -> 50&#8211;99","All industries, 21&#8211;33, 42&#8211;81",Medium companies,50&#8211;99,,3,146296,14540,9.9,418,92,22.0
10485,r016,"All industries, 21&#8211;33, 42&#8211;81 -> Medium companies -> 100&#8211;249","All industries, 21&#8211;33, 42&#8211;81",Medium companies,100&#8211;249,,3,381256,24023,6.3,886,157,17.7
10485,r017,"All industries, 21&#8211;33, 42&#8211;81 -> Large companies","All industries, 21&#8211;33, 42&#8211;81",Large companies,,,2,,,,,,
10485,r018,"All industries, 21&#8211;33, 42&#8211;81 -> Large companies -> 250&#8211;499","All industries, 21&#8211;33, 42&#8211;81",Large companies,250&#8211;499,,3,371747,23932,6.4,741,110,14.8
10485,r019,"All industries, 21&#8211;33, 42&#8211;81 -> Large companies -> 500&#8211;999","All industries, 21&#8211;33, 42&#8211;81",Large companies,500&#8211;999,,3,499161,27432,5.5,926,110,11.9
10485,r020,"All industries, 21&#8211;33, 42&#8211;81 -> Large companies -> 1,000&#8211;4,999","All industries, 21&#8211;33, 42&#8211;81",Large companies,"1,000&#8211;4,999",,3,2000807,94615,4.7,3148,340,10.8
10485,r021,"All industries, 21&#8211;33, 42&#8211;81 -> Large companies -> 5,000&#8211;9,999","All industries, 21&#8211;33, 42&#8211;81",Large companies,"5,000&#8211;9,999",,3,1536766,62817,4.1,1933,211,10.9
10485,r022,"All industries, 21&#8211;33, 42&#8211;81 -> Large companies -> 10,000&#8211;24,999","All industries, 21&#8211;33, 42&#8211;81",Large companies,"10,000&#8211;24,999",,3,2240551,104607,4.7,3260,309,9.5
10485,r023,"All industries, 21&#8211;33, 42&#8211;81 -> Large companies -> 25,000 or more","All industries, 21&#8211;33, 42&#8211;81",Large companies,"25,000 or more",,3,5780807,229995,4.0,11959,668,5.6
