table_id,row_id,race_and_ethnicity_full_path,race_and_ethnicity_level_1,race_and_ethnicity_level_2,race_and_ethnicity_level_3,race_and_ethnicity_hierarchy_depth,field_number,field_percent
5184,r001,All race and ethnicities,All race and ethnicities,,,1,255200373,100.0
5184,r002,All race and ethnicities -> Hispanic or Latino<sup>a</sup>,All race and ethnicities,Hispanic or Latino<sup>a</sup>,,2,41884672,16.4
5184,r003,All race and ethnicities -> Not Hispanic or Latino,All race and ethnicities,Not Hispanic or Latino,,2,213315701,83.6
5184,r004,All race and ethnicities -> Not Hispanic or Latino -> American Indian or Alaska Native,All race and ethnicities,Not Hispanic or Latino,American Indian or Alaska Native,3,1818958,0.7
5184,r005,All race and ethnicities -> Not Hispanic or Latino -> Asian,All race and ethnicities,Not Hispanic or Latino,Asian,3,15221807,6.0
5184,r006,All race and ethnicities -> Not Hispanic or Latino -> Black or African American,All race and ethnicities,Not Hispanic or Latino,Black or African American,3,31140331,12.2
5184,r007,All race and ethnicities -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All race and ethnicities,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,3,448851,0.2
5184,r008,All race and ethnicities -> Not Hispanic or Latino -> White,All race and ethnicities,Not Hispanic or Latino,White,3,160626928,62.9
5184,r009,All race and ethnicities -> Not Hispanic or Latino -> More than one race,All race and ethnicities,Not Hispanic or Latino,More than one race,3,4058826,1.6
