table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_employed_total_number,field_all_employed_total_se,field_all_employed_male_number,field_all_employed_male_se,field_all_employed_female_number,field_all_employed_female_se,field_hispanic_or_latinoa_total_number,field_hispanic_or_latinoa_total_se,field_hispanic_or_latinoa_male_number,field_hispanic_or_latinoa_male_se,field_hispanic_or_latinoa_female_number,field_hispanic_or_latinoa_female_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_se,field_not_hispanic_or_latinob_asian_total_number,field_not_hispanic_or_latinob_asian_total_se,field_not_hispanic_or_latinob_asian_male_number,field_not_hispanic_or_latinob_asian_male_se,field_not_hispanic_or_latinob_asian_female_number,field_not_hispanic_or_latinob_asian_female_se,field_not_hispanic_or_latinob_black_or_african_american_total_number,field_not_hispanic_or_latinob_black_or_african_american_total_se,field_not_hispanic_or_latinob_black_or_african_american_male_number,field_not_hispanic_or_latinob_black_or_african_american_male_se,field_not_hispanic_or_latinob_black_or_african_american_female_number,field_not_hispanic_or_latinob_black_or_african_american_female_se,field_not_hispanic_or_latinob_white_total_number,field_not_hispanic_or_latinob_white_total_se,field_not_hispanic_or_latinob_white_male_number,field_not_hispanic_or_latinob_white_male_se,field_not_hispanic_or_latinob_white_female_number,field_not_hispanic_or_latinob_white_female_se,field_not_hispanic_or_latinob_other_racec_total_number,field_not_hispanic_or_latinob_other_racec_total_se,field_not_hispanic_or_latinob_other_racec_male_number,field_not_hispanic_or_latinob_other_racec_male_se,field_not_hispanic_or_latinob_other_racec_female_number,field_not_hispanic_or_latinob_other_racec_female_se
3665,r001,All fields,All fields,,,,1,857200,1975,546050,1750,311200,1200,37250,550,21200,450,16050,400,1300,125,750,100,550,75,213350,1325,146800,1250,66550,950,31100,400,15750,375,15350,375,562350,1750,355000,1800,207300,1175,11950,400,6550,325,5350,225
3665,r002,All fields -> Science,All fields,Science,,,2,640300,1900,383900,1700,256400,1200,29200,475,15450,400,13750,350,1050,125,550,100,500,75,128850,1150,79450,975,49400,850,23750,375,11650,350,12150,325,447900,1800,271900,1650,176000,1200,9500,325,4900,275,4650,225
3665,r003,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,220700,1100,124550,1025,96200,900,10250,275,5300,250,4950,175,200,50,100,50,100,50,50650,875,26950,700,23700,625,7050,250,3450,225,3600,175,149050,1100,87050,1000,62000,725,3550,200,1700,175,1850,150
3665,r004,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,4,17400,350,12050,325,5350,225,1050,100,600,75,450,50,,,,,,,4000,275,2550,225,1450,150,750,75,550,75,200,25,11400,325,8250,275,3150,150,200,50,100,50,50,25
3665,r005,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,4,29450,425,17950,400,11500,325,1050,100,550,75,450,75,,,,,,,8300,375,4600,325,3700,250,750,100,350,75,400,75,19000,475,12250,425,6750,300,300,75,200,50,150,50
3665,r006,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",4,31200,450,16800,450,14400,375,1200,125,550,125,600,100,,,,,,,8300,400,4250,350,4050,275,850,175,400,150,450,100,20250,525,11250,450,8950,300,650,100,350,75,300,75
3665,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,4,23800,400,12700,400,11150,375,1200,125,550,100,650,75,,,,,,,5150,300,2900,275,2300,225,850,125,400,75,500,75,16100,350,8550,325,7500,275,450,75,250,75,200,50
3665,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,4,8800,225,5950,225,2850,125,400,50,200,50,150,25,0.05,0.05,0.05,0.05,,,1350,125,850,100,500,75,350,50,250,50,100,25,6550,225,4550,200,2000,100,150,50,100,50,50,25
3665,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,4,7200,225,4950,200,2300,150,400,75,250,75,150,50,,,,,,,850,150,550,125,300,75,200,50,150,50,S,S,5700,250,3950,200,1700,125,100,50,50,25,50,50
3665,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,4,102800,675,54100,700,48700,625,5000,200,2550,150,2450,125,100,50,,,50,25,22650,575,11300,475,11350,425,3300,175,1350,125,1900,125,70050,700,38200,625,31850,475,1700,175,700,125,1000,125
3665,r011,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,31100,400,25500,425,5600,300,950,100,750,100,200,50,,,,,,,13400,400,10850,350,2550,250,600,75,350,50,250,50,15800,375,13250,375,2600,175,350,100,300,75,50,25
3665,r012,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,36650,450,27350,450,9300,325,1300,100,1050,100,250,50,,,,,,,11300,400,7850,350,3450,250,850,100,650,75,250,50,22750,425,17500,375,5250,225,400,100,300,100,100,25
3665,r013,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,133750,950,101300,925,32500,525,4350,200,2950,175,1400,100,50,25,50,25,0.05,0.05,32900,725,24050,625,8850,425,3050,225,2200,175,850,125,91750,975,70900,900,20850,400,1650,150,1100,125,550,75
3665,r014,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,4,5850,175,4450,150,1400,100,200,50,150,25,50,25,,,,,,,750,100,550,100,200,50,50,25,50,25,,,4700,150,3650,150,1050,100,100,25,50,25,50,25
3665,r015,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",4,65300,700,46300,675,19000,450,2200,150,1400,125,850,100,50,25,S,S,,,16800,500,11050,425,5750,325,2050,175,1300,125,750,125,43500,700,32100,575,11450,325,700,100,450,100,250,50
3665,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",4,22050,300,15600,325,6450,175,800,75,450,50,300,50,0.05,0.05,0.05,0.05,,,3700,200,2700,175,1050,100,300,50,250,50,50,25,17000,300,12000,300,5000,150,300,50,150,50,100,25
3665,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,4,40550,575,34950,600,5600,325,1150,150,1000,125,200,75,,,,,,,11650,475,9800,425,1850,225,650,125,600,125,50,25,26550,575,23150,600,3350,225,550,100,400,75,150,75
3665,r018,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,115350,825,45600,800,69700,775,6550,250,2050,150,4450,225,300,75,150,50,150,50,7100,425,2450,325,4650,300,5850,225,1500,150,4300,225,93600,925,38950,825,54650,750,1950,175,500,100,1450,150
3665,r019,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,102700,900,59600,825,43100,575,5800,275,3300,200,2500,175,400,100,250,75,200,50,13500,525,7350,400,6150,375,6400,300,3500,250,2900,175,74950,750,44250,725,30700,525,1600,175,950,150,700,75
3665,r020,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,4,26900,550,19300,525,7600,250,1600,150,1200,125,350,50,,,,,,,5750,325,3400,250,2350,200,1100,125,850,125,250,50,18200,500,13650,475,4550,200,250,75,150,50,100,50
3665,r021,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,4,22450,425,14450,450,8000,325,950,150,600,125,350,75,50,25,,,,,1750,225,950,175,800,150,2000,225,1250,175,750,125,17250,425,11300,400,5950,300,450,125,300,125,150,50
3665,r022,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",4,15200,325,6650,275,8550,275,1050,125,500,75,550,100,,,,,,,1350,200,650,175,700,100,1200,100,500,75,650,75,11250,325,4800,250,6450,275,250,75,200,75,100,50
3665,r023,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,4,38150,500,19200,450,18950,350,2200,150,1000,100,1200,100,250,75,150,75,150,50,4600,275,2300,175,2300,175,2150,150,900,100,1250,125,28250,400,14500,425,13750,300,650,100,300,75,350,50
3665,r024,All fields -> Engineering,All fields,Engineering,,,2,176700,1175,147250,1200,29450,575,6650,275,5300,250,1350,100,150,50,150,50,0.05,0.05,75800,1150,63100,1050,12750,475,4150,200,3200,200,950,100,88050,1050,74050,1050,14000,350,1900,225,1500,225,400,75
3665,r025,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,7050,225,6400,225,700,75,300,75,250,75,50,25,,,,,,,2200,175,2000,175,150,50,100,25,50,25,0.05,0.05,4450,225,4000,200,400,75,50,25,50,25,,
3665,r026,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,3,20800,500,16450,475,4350,275,800,100,600,100,200,50,,,,,,,8450,400,6550,350,1900,200,400,75,200,50,150,50,10900,400,8900,400,2050,175,250,75,200,75,,
3665,r027,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,3,19250,400,15350,425,3900,200,1100,150,800,125,300,50,,,,,,,6950,375,5650,375,1300,175,800,150,700,150,100,50,10250,375,8050,325,2150,175,150,50,150,50,50,25
3665,r028,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,3,48550,650,42650,675,5900,300,1350,125,1200,100,150,50,50,25,50,25,,,24800,575,21350,575,3450,275,950,125,800,100,150,50,21050,550,19000,525,2100,175,350,100,300,100,,
3665,r029,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,3,26550,425,23300,450,3200,225,900,125,850,125,50,50,50,25,,,,,12350,475,10850,500,1450,175,500,75,400,75,100,50,12400,425,10850,425,1550,150,350,150,300,125,50,25
3665,r030,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,3,16450,350,13300,350,3150,200,500,75,350,75,150,50,,,,,,,7450,325,5950,325,1500,175,350,75,300,75,50,25,7900,325,6550,325,1350,125,300,75,200,75,100,50
3665,r031,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,3,38050,450,29750,475,8250,300,1650,125,1200,100,450,75,50,25,0.05,0.05,,,13650,500,10750,425,2900,250,1100,100,750,75,350,50,21100,450,16700,425,4400,200,450,75,350,75,100,50
3665,r032,All fields -> Health,All fields,Health,,,2,40200,475,14900,325,25300,400,1400,125,450,50,900,125,100,50,50,25,50,50,8700,350,4250,250,4450,300,3150,225,900,125,2250,175,26400,475,9050,300,17350,375,500,75,200,50,350,75
