table_id,row_id,citizenship_status_and_major_field_of_study_full_path,citizenship_status_and_major_field_of_study_level_1,citizenship_status_and_major_field_of_study_level_2,citizenship_status_and_major_field_of_study_level_3,citizenship_status_and_major_field_of_study_level_4,citizenship_status_and_major_field_of_study_hierarchy_depth,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field__change_2009_18
1742,r001,All doctorate recipients<sup>a</sup>,All doctorate recipients<sup>a</sup>,,,,1,49552,48028,48910,50943,52703,53989,54889,54798,54559,55195,11.4
1742,r002,All doctorate recipients<sup>a</sup> -> Life sciences,All doctorate recipients<sup>a</sup>,Life sciences,,,2,11403,11319,11535,11964,12207,12484,12493,12536,12555,12780,12.1
1742,r003,All doctorate recipients<sup>a</sup> -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Life sciences,Agricultural sciences and natural resources,,3,1283,1100,1206,1255,1324,1338,1434,1378,1494,1445,12.6
1742,r004,All doctorate recipients<sup>a</sup> -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Life sciences,Biological and biomedical sciences,,3,8025,8046,8152,8322,8354,8868,8783,8861,8566,8801,9.7
1742,r005,All doctorate recipients<sup>a</sup> -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Life sciences,Health sciences,,3,2095,2173,2177,2387,2529,2278,2276,2297,2495,2534,21.0
1742,r006,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,,,2,5160,4995,5271,5419,5584,5910,5917,6251,6084,6335,22.8
1742,r007,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Chemistry,,3,2391,2304,2432,2416,2484,2673,2667,2703,2701,2810,17.5
1742,r008,"All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,3,877,862,852,941,989,1098,1057,1227,1169,1185,35.1
1742,r009,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Physics and astronomy,,3,1892,1829,1987,2062,2111,2139,2193,2321,2214,2340,23.7
1742,r010,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,,,2,3163,3223,3273,3496,3660,3862,3818,3954,3842,4030,27.4
1742,r011,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Computer and information sciences,,3,1610,1633,1667,1793,1843,1988,2003,2082,1998,2004,24.5
1742,r012,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Mathematics and statistics,,3,1553,1590,1606,1703,1817,1874,1815,1872,1844,2026,30.5
1742,r013,All doctorate recipients<sup>a</sup> -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,,,2,7945,7882,8221,8498,8580,8751,9075,9035,9036,8899,12.0
1742,r014,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Psychology,,3,3472,3420,3576,3599,3592,3724,3775,3910,3926,3837,10.5
1742,r015,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Anthropology,,3,503,507,553,547,550,523,492,460,446,424,-15.7
1742,r016,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Economics,,3,1118,1073,1121,1243,1183,1196,1255,1235,1239,1247,11.5
1742,r017,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Political science and government,,3,682,728,685,724,803,777,859,745,743,734,7.6
1742,r018,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Sociology,,3,662,639,657,633,636,679,742,613,683,669,1.1
1742,r019,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Other social sciences,,3,1508,1515,1629,1752,1816,1852,1952,2072,1999,1988,31.8
1742,r020,All doctorate recipients<sup>a</sup> -> Engineering,All doctorate recipients<sup>a</sup>,Engineering,,,2,7642,7578,8032,8469,9000,9626,9875,9458,9777,10183,33.3
1742,r021,"All doctorate recipients<sup>a</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,297,252,262,307,348,386,361,370,379,383,29.0
1742,r022,All doctorate recipients<sup>a</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Engineering,Bioengineering and biomedical engineering,,3,834,824,898,943,1039,1046,1125,1089,1032,1134,36.0
1742,r023,All doctorate recipients<sup>a</sup> -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,Engineering,Chemical engineering,,3,807,822,823,840,824,973,1002,921,931,981,21.6
1742,r024,All doctorate recipients<sup>a</sup> -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Engineering,Civil engineering,,3,707,643,634,495,542,617,632,564,713,677,-4.2
1742,r025,"All doctorate recipients<sup>a</sup> -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Engineering,"Electrical, electronics, and communications engineering",,3,1693,1778,1886,1938,1897,1952,1997,1822,1880,1951,15.2
1742,r026,All doctorate recipients<sup>a</sup> -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Engineering,Industrial and manufacturing engineering,,3,251,215,258,226,241,298,243,256,249,272,8.4
1742,r027,All doctorate recipients<sup>a</sup> -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Engineering,Materials science engineering,,3,625,670,662,743,815,832,871,984,937,995,59.2
1742,r028,All doctorate recipients<sup>a</sup> -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Engineering,Mechanical engineering,,3,1095,983,1084,1220,1277,1331,1466,1297,1399,1504,37.4
1742,r029,All doctorate recipients<sup>a</sup> -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Engineering,Other engineering,,3,1333,1391,1525,1757,2017,2191,2178,2155,2257,2286,71.5
1742,r030,All doctorate recipients<sup>a</sup> -> Education,All doctorate recipients<sup>a</sup>,Education,,,2,6528,5287,4670,4802,4934,4789,5098,5143,4826,4834,-25.9
1742,r031,All doctorate recipients<sup>a</sup> -> Education -> Education administration,All doctorate recipients<sup>a</sup>,Education,Education administration,,3,2146,1439,924,1057,965,893,920,823,922,898,-58.2
1742,r032,All doctorate recipients<sup>a</sup> -> Education -> Education research,All doctorate recipients<sup>a</sup>,Education,Education research,,3,2663,2443,2438,2568,2703,2560,2772,2383,2418,2507,-5.9
1742,r033,All doctorate recipients<sup>a</sup> -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Education,Teacher education,,3,332,245,204,156,109,152,156,180,114,97,-70.8
1742,r034,All doctorate recipients<sup>a</sup> -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Education,Teaching fields,,3,906,799,805,757,892,915,953,1165,925,963,6.3
1742,r035,All doctorate recipients<sup>a</sup> -> Education -> Other education,All doctorate recipients<sup>a</sup>,Education,Other education,,3,481,361,299,264,265,269,297,592,447,369,-23.3
1742,r036,All doctorate recipients<sup>a</sup> -> Humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,,,2,4904,5015,5225,5561,5715,5524,5594,5480,5286,5145,4.9
1742,r037,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,Humanities and arts,Foreign languages and literature,,3,598,601,644,684,701,674,656,599,618,617,3.2
1742,r038,All doctorate recipients<sup>a</sup> -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,Humanities and arts,History,,3,1045,1005,1065,1086,1148,1186,1146,1148,1058,948,-9.3
1742,r039,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,Humanities and arts,Letters,,3,1413,1516,1513,1638,1606,1551,1583,1529,1462,1442,2.1
1742,r040,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,Other humanities and arts,,3,1848,1893,2003,2153,2260,2113,2209,2204,2148,2138,15.7
1742,r041,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup>,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,,,2,2807,2729,2683,2734,3023,3043,3019,2941,3153,2989,6.5
1742,r042,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup> -> Business management and administration,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,Business management and administration,,3,1405,1366,1327,1404,1551,1584,1582,1509,1565,1481,5.4
1742,r043,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup> -> Communication,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,Communication,,3,627,638,650,595,645,663,667,672,622,631,0.6
1742,r044,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup> -> Non-S&E fields nec,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,Non-S&E fields nec,,3,775,725,706,735,827,796,770,760,962,877,13.2
1742,r045,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup> -> Unknown field,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,Unknown field,,3,0,0,0,0,0,0,0,0,4,0,0.0
1742,r046,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,,,2,32327,31602,31725,32981,33964,34004,35071,35671,35738,35404,9.5
1742,r047,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,,3,7803,7812,7892,8184,8352,8390,8470,8682,8826,9041,15.9
1742,r048,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,Agricultural sciences and natural resources,4,712,618,697,675,737,754,774,771,822,793,11.4
1742,r049,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,Biological and biomedical sciences,4,5528,5585,5614,5790,5768,5993,6029,6214,6147,6406,15.9
1742,r050,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,Health sciences,4,1563,1609,1581,1719,1847,1643,1667,1697,1857,1842,17.9
1742,r051,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,,3,2914,2860,3048,3148,3247,3300,3481,3669,3715,3771,29.4
1742,r052,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,Chemistry,4,1391,1323,1407,1385,1443,1447,1572,1581,1697,1711,23.0
1742,r053,"All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,559,573,555,623,654,722,704,803,790,760,36.0
1742,r054,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,Physics and astronomy,4,964,964,1086,1140,1150,1131,1205,1285,1228,1300,34.9
1742,r055,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Mathematics and computer sciences,,3,1506,1599,1603,1627,1631,1738,1663,1729,1748,1739,15.5
1742,r056,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Mathematics and computer sciences,Computer and information sciences,4,734,761,790,785,758,807,774,783,801,743,1.2
1742,r057,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Mathematics and computer sciences,Mathematics and statistics,4,772,838,813,842,873,931,889,946,947,996,29.0
