table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_number,field_se
8167,r001,Total in postdoc,Total in postdoc,,,,1,27150,750
8167,r002,Total in postdoc -> Science,Total in postdoc,Science,,,2,22100,675
8167,r003,"Total in postdoc -> Science -> Biological, agricultural, and environmental life sciences",Total in postdoc,Science,"Biological, agricultural, and environmental life sciences",,3,13650,575
8167,r004,"Total in postdoc -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",Total in postdoc,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,4,500,100
8167,r005,"Total in postdoc -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",Total in postdoc,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,4,2000,225
8167,r006,"Total in postdoc -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",Total in postdoc,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",4,2150,275
8167,r007,"Total in postdoc -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",Total in postdoc,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,4,1250,150
8167,r008,"Total in postdoc -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",Total in postdoc,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,4,250,50
8167,r009,"Total in postdoc -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",Total in postdoc,Science,"Biological, agricultural, and environmental life sciences",Zoology,4,250,75
8167,r010,"Total in postdoc -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",Total in postdoc,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,4,7250,375
8167,r011,Total in postdoc -> Science -> Computer and information sciences,Total in postdoc,Science,Computer and information sciences,,3,300,100
8167,r012,Total in postdoc -> Science -> Mathematics and statistics,Total in postdoc,Science,Mathematics and statistics,,3,850,175
8167,r013,"Total in postdoc -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Total in postdoc,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,5550,375
8167,r014,"Total in postdoc -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",Total in postdoc,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,4,450,75
8167,r015,"Total in postdoc -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",Total in postdoc,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",4,2250,250
8167,r016,"Total in postdoc -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",Total in postdoc,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",4,1000,125
8167,r017,"Total in postdoc -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",Total in postdoc,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,4,1900,225
8167,r018,Total in postdoc -> Science -> Psychology,Total in postdoc,Science,Psychology,,3,850,150
8167,r019,Total in postdoc -> Science -> Social sciences,Total in postdoc,Science,Social sciences,,3,900,150
8167,r020,Total in postdoc -> Science -> Social sciences -> Economics,Total in postdoc,Science,Social sciences,Economics,4,150,75
8167,r021,Total in postdoc -> Science -> Social sciences -> Political science and government,Total in postdoc,Science,Social sciences,Political science and government,4,250,100
8167,r022,"Total in postdoc -> Science -> Social sciences -> Sociology, demography, and population studies",Total in postdoc,Science,Social sciences,"Sociology, demography, and population studies",4,100,50
8167,r023,Total in postdoc -> Science -> Social sciences -> Other social sciences,Total in postdoc,Science,Social sciences,Other social sciences,4,400,75
8167,r024,Total in postdoc -> Engineering,Total in postdoc,Engineering,,,2,3950,325
8167,r025,"Total in postdoc -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Total in postdoc,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,100,50
8167,r026,Total in postdoc -> Engineering -> Chemical engineering,Total in postdoc,Engineering,Chemical engineering,,3,650,175
8167,r027,Total in postdoc -> Engineering -> Civil engineering,Total in postdoc,Engineering,Civil engineering,,3,350,100
8167,r028,Total in postdoc -> Engineering -> Electrical and computer engineering,Total in postdoc,Engineering,Electrical and computer engineering,,3,500,150
8167,r029,Total in postdoc -> Engineering -> Mechanical engineering,Total in postdoc,Engineering,Mechanical engineering,,3,700,125
8167,r030,Total in postdoc -> Engineering -> Metallurgical and materials engineering,Total in postdoc,Engineering,Metallurgical and materials engineering,,3,550,125
8167,r031,Total in postdoc -> Engineering -> Other engineering,Total in postdoc,Engineering,Other engineering,,3,1150,150
8167,r032,Total in postdoc -> Health,Total in postdoc,Health,,,2,1100,150
