table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_dod,field_hhs,field_nasa,field_nsf,field_usda
4336,r001,All tribal colleges and universities,All tribal colleges and universities,,1,-,26129.6,122.8,1585.4,225.2,13767.3,10429.0
4336,r002,All tribal colleges and universities -> Navajo Technical U.,All tribal colleges and universities,Navajo Technical U.,2,1,2960.6,0.0,0.0,0.0,1992.2,968.4
4336,r003,All tribal colleges and universities -> Salish Kootenai C.,All tribal colleges and universities,Salish Kootenai C.,2,2,2768.0,122.8,184.9,0.0,2037.0,423.3
4336,r004,All tribal colleges and universities -> Cankdeska Cikana Community C.,All tribal colleges and universities,Cankdeska Cikana Community C.,2,3,2314.9,0.0,0.0,0.0,2091.7,223.3
4336,r005,All tribal colleges and universities -> Northwest Indian C.,All tribal colleges and universities,Northwest Indian C.,2,4,2146.5,0.0,0.0,225.2,1497.1,424.2
4336,r006,All tribal colleges and universities -> United Tribes Technical C.,All tribal colleges and universities,United Tribes Technical C.,2,5,1420.4,0.0,0.0,0.0,697.2,723.3
4336,r007,All tribal colleges and universities -> C. of Menominee Nation,All tribal colleges and universities,C. of Menominee Nation,2,6,1401.2,0.0,0.0,0.0,1177.9,223.3
4336,r008,All tribal colleges and universities -> Oglala Lakota C.,All tribal colleges and universities,Oglala Lakota C.,2,7,1378.3,0.0,486.0,0.0,469.1,423.3
4336,r009,All tribal colleges and universities -> Chief Dull Knife C.,All tribal colleges and universities,Chief Dull Knife C.,2,8,1086.4,0.0,0.0,0.0,663.2,423.3
4336,r010,All tribal colleges and universities -> Dine C.,All tribal colleges and universities,Dine C.,2,9,914.5,0.0,714.5,0.0,200.0,0.0
4336,r011,All tribal colleges and universities -> Southwestern Indian Polytechnic Institute,All tribal colleges and universities,Southwestern Indian Polytechnic Institute,2,10,806.1,0.0,0.0,0.0,0.0,806.1
4336,r012,All tribal colleges and universities -> Sitting Bull C.,All tribal colleges and universities,Sitting Bull C.,2,11,795.0,0.0,0.0,0.0,496.8,298.3
4336,r013,All tribal colleges and universities -> Aaniiih Nakoda C.,All tribal colleges and universities,Aaniiih Nakoda C.,2,12,723.3,0.0,0.0,0.0,500.0,223.3
4336,r014,All tribal colleges and universities -> Nueta Hidatsa Sahnish C.,All tribal colleges and universities,Nueta Hidatsa Sahnish C.,2,12,723.3,0.0,0.0,0.0,0.0,723.3
4336,r015,All tribal colleges and universities -> Leech Lake Tribal C.,All tribal colleges and universities,Leech Lake Tribal C.,2,14,719.4,0.0,0.0,0.0,493.2,226.2
4336,r016,All tribal colleges and universities -> Tohono O'odham Community C.,All tribal colleges and universities,Tohono O'odham Community C.,2,15,689.3,0.0,0.0,0.0,689.3,0.0
4336,r017,All tribal colleges and universities -> Sisseton Wahpeton C.,All tribal colleges and universities,Sisseton Wahpeton C.,2,16,674.1,0.0,0.0,0.0,450.9,223.3
4336,r018,All tribal colleges and universities -> Fort Peck Community C.,All tribal colleges and universities,Fort Peck Community C.,2,17,535.2,0.0,0.0,0.0,312.0,223.3
4336,r019,All tribal colleges and universities -> Sinte Gleska U.,All tribal colleges and universities,Sinte Gleska U.,2,18,435.7,0.0,199.9,0.0,0.0,235.8
4336,r020,All tribal colleges and universities -> Fond du Lac Tribal and Community C.,All tribal colleges and universities,Fond du Lac Tribal and Community C.,2,19,423.3,0.0,0.0,0.0,0.0,423.3
4336,r021,All tribal colleges and universities -> Bay Mills Community C.,All tribal colleges and universities,Bay Mills Community C.,2,20,422.3,0.0,0.0,0.0,0.0,422.3
4336,r022,All tribal colleges and universities -> Stone Child C.,All tribal colleges and universities,Stone Child C.,2,21,414.5,0.0,0.0,0.0,0.0,414.5
4336,r023,All tribal colleges and universities -> Institute of American Indian and Alaska Native Culture and Arts Development,All tribal colleges and universities,Institute of American Indian and Alaska Native Culture and Arts Development,2,22,371.8,0.0,0.0,0.0,0.0,371.8
4336,r024,All tribal colleges and universities -> Little Big Horn C.,All tribal colleges and universities,Little Big Horn C.,2,23,337.0,0.0,0.0,0.0,0.0,337.0
4336,r025,All tribal colleges and universities -> Blackfeet Community C.,All tribal colleges and universities,Blackfeet Community C.,2,24,230.8,0.0,0.0,0.0,0.0,230.8
4336,r026,All tribal colleges and universities -> Ilisagvik C.,All tribal colleges and universities,Ilisagvik C.,2,25,223.3,0.0,0.0,0.0,0.0,223.3
4336,r027,All tribal colleges and universities -> Keweenaw Bay Ojibwa Community C.,All tribal colleges and universities,Keweenaw Bay Ojibwa Community C.,2,25,223.3,0.0,0.0,0.0,0.0,223.3
4336,r028,All tribal colleges and universities -> Lac Courte Oreilles Ojibwa C.,All tribal colleges and universities,Lac Courte Oreilles Ojibwa C.,2,25,223.3,0.0,0.0,0.0,0.0,223.3
4336,r029,All tribal colleges and universities -> Nebraska Indian Community C.,All tribal colleges and universities,Nebraska Indian Community C.,2,25,223.3,0.0,0.0,0.0,0.0,223.3
4336,r030,All tribal colleges and universities -> Turtle Mountain Community C.,All tribal colleges and universities,Turtle Mountain Community C.,2,25,223.3,0.0,0.0,0.0,0.0,223.3
4336,r031,All tribal colleges and universities -> White Earth Tribal and Community C.,All tribal colleges and universities,White Earth Tribal and Community C.,2,25,223.3,0.0,0.0,0.0,0.0,223.3
4336,r032,All tribal colleges and universities -> C. of the Muscogee Nation,All tribal colleges and universities,C. of the Muscogee Nation,2,31,98.3,0.0,0.0,0.0,0.0,98.3
