table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_level_5,field_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field__female_2006,field__female_2016
1158,r001,All fields,All fields,,,,,1,359947,370577,382740,401995,421358,443154,455736,453745,455240,455697,468924,60.1,59.3
1158,r002,All fields -> S&E,All fields,S&E,,,,2,54750,54925,57594,61028,63660,68202,73513,76351,78771,81673,87850,45.2,44.3
1158,r003,All fields -> S&E -> Science,All fields,S&E,Science,,,3,47271,47946,49957,52789,55258,58863,63614,66054,67783,69391,74061,53.3,51.7
1158,r004,All fields -> S&E -> Science -> Agricultural sciences,All fields,S&E,Science,Agricultural sciences,,4,2153,2267,2248,2318,2447,2749,3153,3173,3294,3228,3440,52.5,56.9
1158,r005,All fields -> S&E -> Science -> Biological sciences,All fields,S&E,Science,Biological sciences,,4,5106,5253,5611,5775,6183,6432,7078,7423,7818,8326,8860,58.6,57.6
1158,r006,All fields -> S&E -> Science -> Computer sciences,All fields,S&E,Science,Computer sciences,,4,4618,4276,4596,4869,4963,5508,5843,6263,7088,9607,12372,26.9,30.8
1158,r007,"All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences",All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",,4,761,741,705,731,789,795,875,902,916,955,923,45.2,43.3
1158,r008,"All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,5,71,69,73,91,94,86,93,91,111,90,76,34.5,34.5
1158,r009,"All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Earth sciences",All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Earth sciences,5,612,599,559,566,615,632,696,744,719,781,764,45.3,43.4
1158,r010,"All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,5,78,73,73,74,80,77,86,67,86,84,83,60.9,54.2
1158,r011,All fields -> S&E -> Science -> Mathematics and statistics,All fields,S&E,Science,Mathematics and statistics,,4,2087,2098,2207,2246,2376,2517,2711,2927,3244,3380,3908,42.7,41.6
1158,r012,All fields -> S&E -> Science -> Physical sciences,All fields,S&E,Science,Physical sciences,,4,1626,1563,1565,1514,1621,1657,1689,1698,1716,1678,1694,38.0,35.8
1158,r013,All fields -> S&E -> Science -> Physical sciences -> Astronomy,All fields,S&E,Science,Physical sciences,Astronomy,5,66,59,62,57,55,70,50,76,66,62,57,45.2,40.7
1158,r014,All fields -> S&E -> Science -> Physical sciences -> Chemistry,All fields,S&E,Science,Physical sciences,Chemistry,5,1024,1005,1035,997,1055,1081,1132,1130,1122,1109,1145,48.8,45.6
1158,r015,All fields -> S&E -> Science -> Physical sciences -> Physics,All fields,S&E,Science,Physical sciences,Physics,5,439,417,378,371,410,404,409,401,439,436,433,23.7,22.1
1158,r016,All fields -> S&E -> Science -> Physical sciences -> Other ,All fields,S&E,Science,Physical sciences,Other ,5,97,82,90,89,101,102,98,91,89,71,59,53.3,47.6
1158,r017,All fields -> S&E -> Science -> Psychology,All fields,S&E,Science,Psychology,,4,13637,14679,14916,16362,16646,17644,19076,19852,20005,18926,19856,78.8,79.3
1158,r018,All fields -> S&E -> Science -> Social sciences,All fields,S&E,Science,Social sciences,,4,17283,17069,18109,18974,20233,21561,23189,23816,23702,23291,23008,56.4,57.2
1158,r019,All fields -> S&E -> Science -> Social sciences -> Anthropology,All fields,S&E,Science,Social sciences,Anthropology,5,761,839,766,838,839,849,860,819,900,847,786,65.8,65.3
1158,r020,All fields -> S&E -> Science -> Social sciences -> Area and ethnic studies,All fields,S&E,Science,Social sciences,Area and ethnic studies,5,1223,997,1060,1050,1021,1134,1129,1150,1137,1149,1136,60.6,61.7
1158,r021,All fields -> S&E -> Science -> Social sciences -> Economics,All fields,S&E,Science,Social sciences,Economics,5,1319,1306,1384,1506,1492,1728,1735,1773,1852,1799,1804,39.6,41.2
1158,r022,All fields -> S&E -> Science -> Social sciences -> History of science,All fields,S&E,Science,Social sciences,History of science,5,11,18,23,16,9,14,18,14,19,15,18,26.8,51.4
1158,r023,All fields -> S&E -> Science -> Social sciences -> Linguistics,All fields,S&E,Science,Social sciences,Linguistics,5,450,408,398,503,477,482,508,492,441,524,499,72.5,64.1
1158,r024,All fields -> S&E -> Science -> Social sciences -> Political science and public administration,All fields,S&E,Science,Social sciences,Political science and public administration,5,10223,10316,11239,11596,12533,13548,14912,15406,15206,14936,14817,56.6,58.1
1158,r025,All fields -> S&E -> Science -> Social sciences -> Sociology,All fields,S&E,Science,Social sciences,Sociology,5,1110,1090,1059,1065,977,1073,1177,1107,1124,986,901,70.4,63.5
1158,r026,All fields -> S&E -> Science -> Social sciences -> Other ,All fields,S&E,Science,Social sciences,Other ,5,2186,2095,2180,2400,2885,2733,2850,3055,3023,3035,3047,57.4,60.4
1158,r027,All fields -> S&E -> Engineering,All fields,S&E,Engineering,,,3,7479,6979,7637,8239,8402,9339,9899,10297,10988,12282,13789,23.2,25.0
