table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_2018_all_companies,field_2018_1_4_employees,field_2018_5_9_employees,field_2019_all_companies,field_2019_1_4_employees,field_2019_5_9_employees,field_2020_all_companies,field_2020_1_4_employees,field_2020_5_9_employees
7890,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    6,467,338 ', '&nbsp;']","['    2,644,204 ', '&nbsp;']","['    3,823,134 ', '&nbsp;']","['    7,245,649 ', '&nbsp;']","['    3,215,024 ', '&nbsp;']","['    4,030,625 ', '&nbsp;']","['7,522,839', '&nbsp;']","['3,623,592', '&nbsp;']","['3,899,247', '&nbsp;']"
7890,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    702,414 ', '&nbsp;']","['    283,315 ', '&nbsp;']","['    419,098 ', '&nbsp;']","['    888,998 ', '&nbsp;']","['    413,607 ', '&nbsp;']","['    475,391 ', '&nbsp;']","['822,687', '&nbsp;']","['359,533', '&nbsp;']","['463,154', '&nbsp;']"
7890,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    6,315 ', '&nbsp;']","['    4,218 ', 'r']","['    2,096 ', 'r']","['20,378', 'r']","['16,061', 'r']","['4,317', 'r']"
7890,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    1,147 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    236 ', 'r']","['    236 ', 'r']","['    0 ', '&nbsp;']","['472', 'r']","['472', 'r']","['0', '&nbsp;']"
7890,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    4,065 ', 'r']","['    0 ', '&nbsp;']","['    4,065 ', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7890,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7890,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    555 ', '&nbsp;']","['    141 ', 'r']","['    414 ', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7890,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7890,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['    149,323 ', '&nbsp;']","['    59,785 ', '&nbsp;']","['    89,538 ', '&nbsp;']","['    345,503 ', '&nbsp;']","['    163,854 ', '&nbsp;']","['    181,649 ', '&nbsp;']","['201,214', '&nbsp;']","['96,869', '&nbsp;']","['104,345', '&nbsp;']"
7890,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['    116,392 ', '&nbsp;']","['    34,982 ', '&nbsp;']","['    81,410 ', '&nbsp;']","['    259,782 ', '&nbsp;']","['    110,653 ', '&nbsp;']","['    149,129 ', '&nbsp;']","['104,539', '&nbsp;']","['64,689', '&nbsp;']","['39,850', '&nbsp;']"
