table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022_preliminary_
10311,r001,All agencies,All agencies,,,,,1,66188,67370,64928,48728,49103,54837,61306,82098,103907,100595
10311,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10311,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,151,198,213,202,202,222,230,255,237,249
10311,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,2,3,3,3,4,4,4,3,7,7
10311,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,101,112,113,114,117,120,129,142,151,160
10311,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,19,21,21,21,21,21,21,21,21,21
10311,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,28,59,72,60,57,74,72,85,53,55
10311,r008,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,0,4,4,4,4,4,4,4,4,5
10311,r009,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,NA,NA,NA,NA,NA,NA,NA,NA,1,0
10311,r010,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,69,98,177,198,310,210,253,261,307,283
10311,r011,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,16,32,101,110,164,54,66,73,53,39
10311,r012,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,9,3,3,5,25,10,9,17,101,74
10311,r013,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,44,63,74,84,121,146,177,170,153,170
10311,r014,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,57602,58276,54822,37597,37695,45321,50511,57780,60971,65096
10311,r015,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,1104,1286,1331,1397,1385,1338,1578,1658,1761,1812
10311,r016,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,na,NA,NA,NA,NA,NA,NA,2706,2719,2363
10311,r017,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,22022,22637,20711,5559,6386,9298,12970,9434,10003,10823
