table_id,row_id,_b_type_of_institution_b_full_path,_b_type_of_institution_b_level_1,_b_type_of_institution_b_level_2,_b_type_of_institution_b_level_3,_b_type_of_institution_b_hierarchy_depth,field_institutions_with_research_space_number_a,field_institutions_with_research_space_shared_with_other_fields_number,field_institutions_with_research_space_shared_with_other_fields_percent,field_institutions_with_research_space_also_used_for_nonresearch_purposes_number,field_institutions_with_research_space_also_used_for_nonresearch_purposes_percent
7847,r001,All institutions,All institutions,,,1,564,325,58,363,64
7847,r002,All institutions -> Doctorate granting,All institutions,Doctorate granting,,2,439,257,59,279,64
7847,r003,All institutions -> Doctorate granting -> Public,All institutions,Doctorate granting,Public,3,303,179,59,189,62
7847,r004,All institutions -> Doctorate granting -> Private,All institutions,Doctorate granting,Private,3,136,78,57,90,66
7847,r005,All institutions -> Nondoctorate granting,All institutions,Nondoctorate granting,,2,125,68,54,84,67
