table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_performersa_all,field_r_d_performersa_intramural,field_r_d_performersa_extramural,field_r_d_plantb
9944,r001,United States<sup>c</sup>,United States<sup>c</sup>,,,1,2643991142,696624562,1947366580,31839778
9944,r002,United States<sup>c</sup> -> Alabama,United States<sup>c</sup>,Alabama,,2,88219991,12081222,76138769,0
9944,r003,"United States<sup>c</sup> -> Alabama -> Commerce, Department of",United States<sup>c</sup>,Alabama,"Commerce, Department of",3,63419633,0,63419633,0
9944,r004,"United States<sup>c</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>c</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,1219039,0,1219039,0
9944,r005,"United States<sup>c</sup> -> Alabama -> Economic and Community Affairs, Department of",United States<sup>c</sup>,Alabama,"Economic and Community Affairs, Department of",3,1693012,0,1693012,0
9944,r006,"United States<sup>c</sup> -> Alabama -> Education, Department of",United States<sup>c</sup>,Alabama,"Education, Department of",3,6214729,4918832,1295897,0
9944,r007,"United States<sup>c</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>c</sup>,Alabama,"Forensic Sciences, Department of",3,208094,208094,0,0
9944,r008,United States<sup>c</sup> -> Alabama -> Geological Survey,United States<sup>c</sup>,Alabama,Geological Survey,3,3563032,3563032,0,0
9944,r009,"United States<sup>c</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>c</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,3684864,3391264,293600,0
9944,r010,United States<sup>c</sup> -> Alabama -> Supercomputer Authority,United States<sup>c</sup>,Alabama,Supercomputer Authority,3,4553801,0,4553801,0
9944,r011,"United States<sup>c</sup> -> Alabama -> Transportation, Department of",United States<sup>c</sup>,Alabama,"Transportation, Department of",3,3663787,0,3663787,0
9944,r012,United States<sup>c</sup> -> Alaska,United States<sup>c</sup>,Alaska,,2,17157228,11600345,5556883,0
