table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_all_full_time_employed_10_median_salary,field_all_full_time_employed_10_se,field_full_professor_median_salary,field_full_professor_se,field_full_professor_10_median_salary,field_full_professor_10_se,field_associate_professor_median_salary,field_associate_professor_se,field_associate_professor_10_median_salary,field_associate_professor_10_se,field_assistant_professor_median_salary,field_assistant_professor_se,field_assistant_professor_10_median_salary,field_assistant_professor_10_se,field_instructor_or_lecturer_median_salary,field_instructor_or_lecturer_se,field_instructor_or_lecturer_10_median_salary,field_instructor_or_lecturer_10_se,field_all_other_faculty_median_salary,field_all_other_faculty_se,field_all_other_faculty_10_median_salary,field_all_other_faculty_10_se,field_rank_not_applicable_median_salary,field_rank_not_applicable_se,field_rank_not_applicable_10_median_salary,field_rank_not_applicable_10_se
3746,r001,All fields,All fields,,,,1,72000,500,108000,1000,82000,5500,130000,2000,85000,2000,97000,1500,82000,1000,87000,2500,61000,2000,70000,1500,62000,11500,74000,18500,58000,1000,90000,2500
3746,r002,All fields -> Male,All fields,Male,,,2,75000,500,113000,2500,81000,4500,135000,2000,90000,2000,100000,1500,84000,1500,90000,1500,64000,2500,75000,3000,68000,19500,106000,50000,58000,500,100000,1000
3746,r003,All fields -> Female,All fields,Female,,,2,70000,500,99000,1500,84000,13500,121000,4000,80000,1500,94000,2000,78000,1500,84000,2000,60000,1000,65000,3500,61000,4500,,,57000,500,83000,3500
3746,r004,All fields -> Science,All fields,Science,,,2,70000,1500,105000,1500,75000,8500,129000,2000,80000,1500,95000,1000,80000,500,84000,2000,60000,500,68000,2500,61000,11000,72000,14500,57000,1000,89000,1000
3746,r005,All fields -> Science -> Male,All fields,Science,Male,,3,71000,2000,110000,500,80000,10500,130000,3000,82000,2000,96000,1500,82000,1000,89000,3500,60000,2500,70000,4500,58000,20000,74000,33000,58000,1500,98000,3500
3746,r006,All fields -> Science -> Female,All fields,Science,Female,,3,67000,1500,95000,1500,72000,22500,119000,1000,74000,4000,91000,2000,75000,1500,82000,2000,59000,2000,64000,3000,61000,5500,,,57000,500,81000,3500
3746,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,61000,1500,106000,3000,70000,3500,140000,4000,81000,9500,103000,2500,83000,2000,89000,2000,60000,2500,70000,4000,74000,5500,66000,31000,55000,1000,75000,2500
3746,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,4,63000,2000,115000,2000,63000,8000,148000,3500,76000,16500,108000,3000,85000,2500,91000,4500,64000,2500,74000,4500,,,,,55000,1000,80000,6000
3746,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,4,60000,500,95000,2000,71000,2000,125000,5000,83000,7500,97000,3000,78000,3000,84000,2500,57000,2000,68000,6000,,,,,55000,1500,74000,2000
3746,r010,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,96000,4000,120000,4500,S,S,139000,6500,95000,6500,106000,5000,98000,4500,100000,6000,95000,13500,68000,7500,,,,,78000,13000,129000,25500
3746,r011,All fields -> Science -> Computer and information sciences -> Male,All fields,Science,Computer and information sciences,Male,4,99000,3000,122000,5000,,,143000,5000,98000,9000,107000,6000,99000,3000,100000,6500,97000,21000,70000,15500,,,,,76000,14000,114000,15500
3746,r012,All fields -> Science -> Computer and information sciences -> Female,All fields,Science,Computer and information sciences,Female,4,91000,3000,119000,6500,S,S,117000,4500,92000,8500,96000,6500,91000,3000,,,,,,,,,,,88000,26000,S,S
3746,r013,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,68000,2000,100000,1000,,,110000,3500,73000,7500,87000,4000,72000,4000,70000,4500,56000,3500,63000,4000,,,,,64000,4500,98000,11000
3746,r014,All fields -> Science -> Mathematics and statistics -> Male,All fields,Science,Mathematics and statistics,Male,4,69000,3500,102000,2500,,,114000,3500,75000,9500,87000,3500,74000,4500,72000,6500,57000,2500,64000,3500,,,,,64000,7000,100000,20500
3746,r015,All fields -> Science -> Mathematics and statistics -> Female,All fields,Science,Mathematics and statistics,Female,4,67000,2000,90000,2000,,,100000,1500,67000,5000,85000,6500,70000,3500,65000,8000,54000,7000,60000,12000,,,,,63000,10000,93000,14000
3746,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,65000,1000,101000,3000,,,126000,3000,72000,4000,90000,3000,75000,1500,80000,5000,55000,3000,65000,4000,S,S,,,58000,1000,100000,3500
3746,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Male,4,66000,2000,105000,4500,,,127000,3500,75000,5000,88000,3000,78000,3000,83000,5500,55000,5500,72000,7500,,,,,58000,1500,106000,6000
3746,r018,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Female,4,63000,2000,96000,4500,,,124000,5500,69000,5500,90000,5000,70000,3000,74000,5500,55000,2500,58000,3500,S,S,,,57000,2500,84000,3000
3746,r019,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,73000,1500,102000,2000,110000,25500,125000,2500,71000,4500,92000,3000,75000,2000,80000,6500,63000,4000,62000,6000,,,,,65000,3500,96000,4000
3746,r020,All fields -> Science -> Psychology -> Male,All fields,Science,Psychology,Male,4,75000,2500,111000,4500,,,129000,3000,82000,6000,92000,3500,75000,1500,88000,11500,59000,5500,61000,13500,,,,,59000,4000,109000,14500
3746,r021,All fields -> Science -> Psychology -> Female,All fields,Science,Psychology,Female,4,72000,1500,96000,2500,,,119000,6500,67000,2500,90000,3000,75000,3000,74000,8000,66000,9000,60000,9000,,,,,68000,4000,91000,3500
3746,r022,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,75000,1000,104000,2000,79000,8500,124000,4500,80000,2500,90000,1000,78000,1500,80000,1500,59000,2000,65000,5500,,,,,65000,3000,98000,4500
3746,r023,All fields -> Science -> Social sciences -> Male,All fields,Science,Social sciences,Male,4,79000,1500,108000,2000,,,129000,3000,82000,5500,92000,3000,81000,2000,70000,6000,54000,4500,60000,6500,,,,,69000,4000,100000,8000
3746,r024,All fields -> Science -> Social sciences -> Female,All fields,Science,Social sciences,Female,4,72000,1000,96000,2500,71000,26000,115000,5000,79000,2500,90000,2500,74000,1500,81000,3000,59000,1500,69000,4000,,,,,61000,1500,94000,5000
3746,r025,All fields -> Engineering,All fields,Engineering,,,2,84000,1500,125000,3000,106000,12500,145000,3000,107000,4000,107000,2000,89000,1000,92000,5500,69000,3500,88000,6500,S,S,,,60000,1500,116000,7000
3746,r026,All fields -> Engineering -> Male,All fields,Engineering,Male,,3,85000,2000,125000,3000,0.05,0.05,144000,3500,108000,4000,106000,2000,90000,500,90000,7500,68000,5000,88000,7000,,,,,62000,3000,121000,9000
3746,r027,All fields -> Engineering -> Female,All fields,Engineering,Female,,3,76000,4500,120000,6500,S,S,148000,7500,102000,4500,108000,3500,85000,2000,94000,6000,66000,4500,80000,25000,,,,,57000,5000,94000,7000
3746,r028,All fields -> Health,All fields,Health,,,2,80000,1500,114000,3000,91000,11000,142000,5500,89000,4000,105000,4500,82000,2500,91000,6500,67000,12000,57000,12500,,,,,56000,5000,83000,11000
3746,r029,All fields -> Health -> Male,All fields,Health,Male,,3,79000,3500,121000,10500,,,155000,11000,99000,5500,106000,8000,81000,3500,98000,6500,55000,26500,S,S,,,,,51000,6000,70000,17500
3746,r030,All fields -> Health -> Female,All fields,Health,Female,,3,80000,2000,109000,2000,82000,13000,129000,5500,85000,4500,105000,4000,82000,3000,90000,6500,69000,8000,51000,10000,0.05,0.05,,,59000,8000,89000,14500
