table_id,row_id,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_full_path,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_1,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_2,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_3,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_4,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_5,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_6,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
12667,r001,All institutions,All institutions,,,,,,1,,,,,,,,,,,,,,
12667,r002,All institutions -> All R&D,All institutions,All R&D,,,,,2,61286610,65274393,65729007,66977566,67161428,68519962,71737194,75149390,79025976,83490430,86306106,89700890,97669577,108681008
12667,r003,All institutions -> All R&D -> Direct costs,All institutions,All R&D,Direct costs,,,,3,46159649,49311567,49897854,51053891,51526881,52581984,55249921,57936618,60777825,64348093,66531452,69164148,75314959,84208503
12667,r004,"All institutions -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,,4,25929799,27860610,28339070,28776405,29091347,29873368,31434483,33231923,34676268,36568801,38729838,40340825,43107638,47089302
12667,r005,All institutions -> All R&D -> Direct costs -> Software,All institutions,All R&D,Direct costs,Software,,,4,105970,116422,103456,107685,96523,117008,113557,109653,121863,136544,158589,173000,192893,222099
12667,r006,All institutions -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,All R&D,Direct costs,Software,Noncapitalized software,,5,88456,98438,93250,95652,84281,93205,95169,98627,110799,120989,144328,158516,178170,200525
12667,r007,All institutions -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,All R&D,Direct costs,Software,Capitalized software,,5,17514,17984,10206,12033,12242,23803,18388,11026,11064,15555,14261,14484,14723,21574
12667,r008,All institutions -> All R&D -> Direct costs -> Capitalized equipment,All institutions,All R&D,Direct costs,Capitalized equipment,,,4,2148421,2256025,2040534,2254429,2036405,2119812,2169348,2193753,2148471,2439584,2588728,2662102,2696624,3259897
12667,r009,All institutions -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,All R&D,Direct costs,Passed through to subrecipients,,,4,4956929,5436850,5531421,5689087,5702930,5633803,5696733,5915794,6332293,6757122,7100926,7626789,8605444,9514892
12667,r010,All institutions -> All R&D -> Direct costs -> Other direct costs,All institutions,All R&D,Direct costs,Other direct costs,,,4,13018530,13641660,13883373,14226285,14599676,14837993,15835800,16485495,17498930,18446042,17953371,18361432,20712360,24122313
12667,r011,All institutions -> All R&D -> Indirect costs,All institutions,All R&D,Indirect costs,,,,3,15126961,15962826,15831153,15923675,15634547,15937978,16487273,17212772,18248151,19142337,19774654,20536742,22354618,24472505
12667,r012,All institutions -> All R&D -> Indirect costs -> Recovered,All institutions,All R&D,Indirect costs,Recovered,,,4,10465893,11352339,11221624,11220177,10874009,11101271,11453249,12022688,12746261,13608664,14036742,14660910,16186007,17701860
12667,r013,All institutions -> All R&D -> Indirect costs -> Unrecovered,All institutions,All R&D,Indirect costs,Unrecovered,,,4,4661068,4610487,4609529,4703498,4760538,4836707,5034024,5190084,5501890,5533673,5737912,5875832,6168611,6770645
12667,r014,All institutions -> Doctorate,All institutions,Doctorate,,,,,2,,,,,,,,,,,,,,
12667,r015,All institutions -> Doctorate -> All R&D,All institutions,Doctorate,All R&D,,,,3,60266691,64064133,64700201,66182145,66410192,67860286,70686976,74441469,78355175,82803180,85613262,89020989,96892572,107813315
12667,r016,All institutions -> Doctorate -> All R&D -> Direct costs,All institutions,Doctorate,All R&D,Direct costs,,,4,45266156,48282499,49022847,50363045,50877741,52010844,54331508,57313332,60194555,63754118,65935372,68579823,74654660,83467547
12667,r017,"All institutions -> Doctorate -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Doctorate,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,25494721,27357645,27906910,28436384,28757780,29582616,31084360,32913287,34363836,36256876,38416748,40016043,42761923,46710009
12667,r018,All institutions -> Doctorate -> All R&D -> Direct costs -> Software,All institutions,Doctorate,All R&D,Direct costs,Software,,5,98119,110285,95627,102523,91347,111642,108665,107222,119962,134754,156208,169135,188696,218009
12667,r019,All institutions -> Doctorate -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Doctorate,All R&D,Direct costs,Software,Noncapitalized software,6,80940,92808,86115,90658,79643,88077,90568,96578,109040,119354,142277,155015,174034,196632
12667,r020,All institutions -> Doctorate -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Doctorate,All R&D,Direct costs,Software,Capitalized software,6,17179,17477,9512,11865,11704,23565,18097,10644,10922,15400,13931,14120,14662,21377
12667,r021,All institutions -> Doctorate -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Doctorate,All R&D,Direct costs,Capitalized equipment,,5,2086956,2192296,1995345,2219549,2011004,2095590,2039169,2166520,2124588,2418126,2565540,2634091,2664916,3222971
12667,r022,All institutions -> Doctorate -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Doctorate,All R&D,Direct costs,Passed through to subrecipients,,5,4901412,5371178,5469627,5647933,5663448,5609183,5659155,5884468,6302791,6728976,7073375,7598720,8570862,9473272
