table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008a,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
2091,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['NA', '&nbsp;']","['336,571', '&nbsp;']","['338,451', '&nbsp;']","['359,490', '&nbsp;']","['374,916', '&nbsp;']","['396,352', '&nbsp;']","['416,343', '&nbsp;']","['429,174', '&nbsp;']","['457,591', '  ']","['487,628', '  ']"
2091,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['NA', '&nbsp;']","['236,858', '&nbsp;']","['243,611', '&nbsp;']","['253,821', '&nbsp;']","['261,697', '&nbsp;']","['276,110', '&nbsp;']","['285,661', '&nbsp;']","['287,895', '&nbsp;']","['303,044', '  ']","['314,496', '  ']"
2091,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['NA', '&nbsp;']","['4,916', '&nbsp;']","['D', '&nbsp;']","['5,589', '&nbsp;']","['5,163', '&nbsp;']","['6,335', '&nbsp;']","['6,136', '&nbsp;']","['6,058', 'i']","['5,824', '  ']","['5,563', '  ']"
2091,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['NA', '&nbsp;']","['933', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,358', '&nbsp;']","['1,423', '&nbsp;']","['1,529', '&nbsp;']","['1,076 - 1,654', '  ']","['1,743', '  ']"
2091,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['NA', '&nbsp;']","['519', '&nbsp;']","['522', '&nbsp;']","['656', '&nbsp;']","['605', '&nbsp;']","['759', '&nbsp;']","['734', '&nbsp;']","['818', '&nbsp;']","['1,247', 'i ']","['1,080', '  ']"
2091,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['NA', '&nbsp;']","['283', '&nbsp;']","['254', '&nbsp;']","['211', '&nbsp;']","['282', '&nbsp;']","['222', '&nbsp;']","['341', 'i']","['198', '&nbsp;']","['166 - 751', '  ']","['176', '  ']"
2091,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,665', '&nbsp;']","['769', '&nbsp;']","['858', '&nbsp;']","['1,022', '&nbsp;']","['880', '&nbsp;']","['867', '&nbsp;']","['943', '  ']","['1,580', '  ']"
2091,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['NA', '&nbsp;']","['217', '&nbsp;']","['269', '&nbsp;']","['212', '&nbsp;']","['291', 'i']","['258', 'i']","['238', '&nbsp;']","['198', 'i']","['223', 'i ']","['235', '  ']"
2091,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['1,281', '&nbsp;']","['D', '&nbsp;']","['327', '&nbsp;']","['298', '&nbsp;']","['252', '&nbsp;']","['312', '  ']","['370', '  ']"
2091,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['NA', '&nbsp;']","['64,442', '&nbsp;']","['72,610', '&nbsp;']","['72,068', '&nbsp;']","['70,218', '&nbsp;']","['74,551', '&nbsp;']","['79,428', '&nbsp;']","['80,961', '&nbsp;']","['84,612', '  ']","['89,427', '  ']"
2091,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,671', '&nbsp;']","['5,166', '&nbsp;']","['3,400', '&nbsp;']","['3,336', '&nbsp;']","['3,633', '&nbsp;']","['3,677', '&nbsp;']","['536 - 5,694', '  ']","['3,133', '  ']"
