table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2017,field_total_2018,field_total_2019,field_total_2020,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019,field_federally_financed_2020
5420,r001,All institutions,All institutions,,1,-,"['2,192,394', '']","['2,397,782', '']","['2,639,075', '']","['2,923,149', '']","['1,497,681', '']","['1,630,119', '']","['1,794,620', '']","['2,000,937', '']"
5420,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['154,963', 'i']","['161,884', 'i']","['199,773', 'i']","['226,696', 'i']","['147,666', '']","['153,327', '']","['189,011', '']","['216,738', '']"
5420,r003,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,2,"['136,928', '']","['141,298', '']","['171,110', '']","['192,119', '']","['91,953', '']","['87,606', '']","['105,289', '']","['119,057', '']"
5420,r004,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,3,"['115,716', '']","['141,966', '']","['164,657', '']","['185,400', '']","['100,392', '']","['122,905', '']","['145,305', '']","['162,577', '']"
5420,r005,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,4,"['82,102', '']","['73,386', '']","['66,125', '']","['139,290', '']","['73,292', '']","['63,389', '']","['56,350', '']","['128,322', '']"
5420,r006,All institutions -> U. Southern California,All institutions,U. Southern California,2,5,"['108,804', '']","['119,500', '']","['124,944', '']","['121,116', '']","['98,323', '']","['110,462', '']","['118,059', '']","['115,564', '']"
5420,r007,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,6,"['78,623', '']","['85,483', '']","['96,682', '']","['111,779', '']","['38,367', '']","['35,678', '']","['43,216', '']","['54,491', '']"
5420,r008,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,7,"['102,612', '']","['96,170', '']","['106,430', '']","['95,988', '']","['70,877', '']","['63,414', '']","['71,231', '']","['64,385', '']"
5420,r009,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,8,"['36,680', '']","['55,939', '']","['69,638', '']","['89,490', '']","['30,718', '']","['47,938', '']","['56,256', '']","['76,419', '']"
5420,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['na', '']","['na', '']","['47,841', '']","['50,541', '']","['na', '']","['na', '']","['32,963', '']","['34,576', '']"
5420,r011,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,10,"['26,844', '']","['25,804', '']","['36,195', '']","['43,034', '']","['20,995', '']","['14,419', '']","['21,764', '']","['26,097', '']"
5420,r012,All institutions -> U. Utah,All institutions,U. Utah,2,11,"['0', '']","['42,025', 'i']","['40,967', 'i']","['37,159', 'i']","['0', '']","['29,213', '']","['25,364', '']","['23,621', '']"
5420,r013,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,12,"['27,191', '']","['26,973', '']","['29,177', '']","['36,636', '']","['25,507', '']","['25,492', '']","['28,023', '']","['35,309', '']"
5420,r014,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,13,"['21,126', '']","['25,106', '']","['27,702', '']","['31,199', '']","['14,982', '']","['15,650', '']","['16,035', '']","['16,804', '']"
5420,r015,All institutions -> Cornell U.,All institutions,Cornell U.,2,14,"['23,220', '']","['29,162', '']","['29,330', '']","['31,173', '']","['15,995', '']","['19,565', '']","['19,491', '']","['18,829', '']"
5420,r016,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,15,"['33,035', '']","['27,614', '']","['23,536', '']","['30,405', '']","['10,386', '']","['10,746', '']","['9,830', '']","['11,637', '']"
5420,r017,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,16,"['28,217', '']","['35,158', '']","['28,302', '']","['30,370', '']","['14,740', '']","['14,788', '']","['13,478', '']","['16,179', '']"
5420,r018,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,17,"['26,325', '']","['26,571', '']","['29,865', '']","['29,423', '']","['16,567', '']","['18,041', '']","['18,069', '']","['18,095', '']"
5420,r019,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,18,"['20,155', '']","['22,024', '']","['20,372', '']","['28,241', '']","['14,243', '']","['16,499', '']","['13,735', '']","['15,975', '']"
5420,r020,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,19,"['29,077', '']","['23,644', '']","['24,969', '']","['27,986', '']","['12,875', '']","['12,642', '']","['16,374', '']","['18,140', '']"
5420,r021,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,20,"['21,494', '']","['23,394', '']","['23,177', '']","['27,886', '']","['13,441', '']","['14,513', '']","['14,972', '']","['20,261', '']"
5420,r022,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,21,"['14,473', '']","['18,483', '']","['23,146', '']","['26,765', '']","['12,077', '']","['13,884', '']","['19,037', '']","['20,870', '']"
5420,r023,All institutions -> Stanford U.,All institutions,Stanford U.,2,22,"['29,276', '']","['25,298', '']","['24,575', '']","['26,512', '']","['17,519', '']","['13,481', '']","['12,782', '']","['15,368', '']"
5420,r024,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,23,"['20,149', '']","['23,703', '']","['26,968', '']","['26,318', '']","['13,037', '']","['15,095', '']","['16,242', '']","['15,361', '']"
5420,r025,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,24,"['8,054', '']","['15,473', '']","['20,017', '']","['26,286', '']","['6,603', '']","['9,039', '']","['14,945', '']","['20,924', '']"
5420,r026,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,25,"['20,479', '']","['22,654', '']","['24,725', '']","['25,101', '']","['18,299', '']","['20,584', '']","['22,935', '']","['22,817', '']"
5420,r027,All institutions -> U. Chicago,All institutions,U. Chicago,2,26,"['25,014', '']","['25,407', '']","['26,606', '']","['24,422', '']","['23,149', '']","['23,594', '']","['25,298', '']","['23,454', '']"
5420,r028,All institutions -> Princeton U.,All institutions,Princeton U.,2,27,"['15,501', '']","['15,110', '']","['19,725', '']","['24,160', '']","['9,503', '']","['8,853', '']","['10,723', '']","['14,612', '']"
5420,r029,All institutions -> George Mason U.,All institutions,George Mason U.,2,28,"['12,248', '']","['18,745', '']","['31,219', '']","['23,969', '']","['11,045', '']","['17,583', '']","['28,895', '']","['21,728', '']"
5420,r030,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,29,"['21,511', '']","['21,810', '']","['22,227', '']","['22,996', '']","['11,168', '']","['8,279', '']","['9,064', '']","['9,283', '']"
5420,r031,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,30,"['21,784', '']","['20,331', '']","['23,393', '']","['22,869', '']","['10,196', '']","['9,770', '']","['9,151', '']","['8,892', '']"
5420,r032,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,31,"['16,328', '']","['18,967', '']","['21,871', '']","['22,231', '']","['8,646', '']","['11,012', '']","['11,734', '']","['15,176', '']"
5420,r033,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,32,"['14,736', '']","['15,705', '']","['19,463', '']","['21,573', '']","['8,229', '']","['8,310', '']","['10,548', '']","['10,957', '']"
