table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_performersa_all,field_r_d_performersa_intramural,field_r_d_performersa_extramural,field_r_d_plantb
7701,r001,United States<sup>c</sup>,United States<sup>c</sup>,,,1,2471471226,673691209,1797780017,29269916
7701,r002,United States<sup>c</sup> -> Alabama,United States<sup>c</sup>,Alabama,,2,29812345,17295499,12516846,0
7701,r003,"United States<sup>c</sup> -> Alabama -> Commerce, Department of",United States<sup>c</sup>,Alabama,"Commerce, Department of",3,3000000,0,3000000,0
7701,r004,"United States<sup>c</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>c</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,2300326,707371,1592955,0
7701,r005,"United States<sup>c</sup> -> Alabama -> Economic & Community Affairs, Department of ",United States<sup>c</sup>,Alabama,"Economic & Community Affairs, Department of ",3,533590,0,533590,0
7701,r006,"United States<sup>c</sup> -> Alabama -> Education, Department of",United States<sup>c</sup>,Alabama,"Education, Department of",3,13196000,12449000,747000,0
7701,r007,"United States<sup>c</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>c</sup>,Alabama,"Forensic Sciences, Department of",3,272635,272635,0,0
7701,r008,United States<sup>c</sup> -> Alabama -> Geological Survey,United States<sup>c</sup>,Alabama,Geological Survey,3,2690719,2690719,0,0
7701,r009,"United States<sup>c</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>c</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,1175774,1175774,0,0
7701,r010,United States<sup>c</sup> -> Alabama -> Supercomputer Authority,United States<sup>c</sup>,Alabama,Supercomputer Authority,3,4432300,0,4432300,0
7701,r011,"United States<sup>c</sup> -> Alabama -> Transportation, Department of",United States<sup>c</sup>,Alabama,"Transportation, Department of",3,2211001,0,2211001,0
7701,r012,United States<sup>c</sup> -> Alaska,United States<sup>c</sup>,Alaska,,2,19671388,13677498,5993890,0
7701,r013,"United States<sup>c</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>c</sup>,Alaska,"Environmental Conservation, Department of ",3,866695,38918,827777,0
7701,r014,United States<sup>c</sup> -> Alaska -> Housing Finance Corporation,United States<sup>c</sup>,Alaska,Housing Finance Corporation,3,500000,0,500000,0
7701,r015,"United States<sup>c</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>c</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,9086400,9086400,0,0
7701,r016,United States<sup>c</sup> -> Alaska -> Railroad Corporation,United States<sup>c</sup>,Alaska,Railroad Corporation,3,6685193,3999080,2686113,0
