table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1441,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['290,680', '&nbsp;']","['282,505', '&nbsp;']","['279,289', '&nbsp;']","['290,240', '&nbsp;']","['302,759', '&nbsp;']","['323,107', '&nbsp;']","['340,539', '&nbsp;']","['355,671', '&nbsp;']","['374,685', ' ']"
1441,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['203,755', '&nbsp;']","['196,441', '&nbsp;']","['199,147', '&nbsp;']","['202,363', '&nbsp;']","['208,577', '&nbsp;']","['222,718', '&nbsp;']","['231,705', '&nbsp;']","['236,170', '&nbsp;']","['250,553', ' ']"
1441,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['2,100', '&nbsp;']","['4,099', '&nbsp;']","['D', '&nbsp;']","['4,393', '&nbsp;']","['4,087', '&nbsp;']","['5,021', '&nbsp;']","['4,854', 'i']","['4,828', '&nbsp;']","['4,828', ' ']"
1441,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['780', '&nbsp;']","['477', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['827', '&nbsp;']","['920', '&nbsp;']","['1,006', '&nbsp;']","['D', ' ']"
1441,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['815', '&nbsp;']","['439', '&nbsp;']","['482', '&nbsp;']","['608', '&nbsp;']","['553', '&nbsp;']","['662', '&nbsp;']","['631', '&nbsp;']","['748', '&nbsp;']","['1,166', 'i']"
1441,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['273', '&nbsp;']","['280', '&nbsp;']","['252', '&nbsp;']","['211', '&nbsp;']","['280', '&nbsp;']","['220', '&nbsp;']","['336', 'i']","['195', '&nbsp;']","['188', ' ']"
1441,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,341', '&nbsp;']","['676', '&nbsp;']","['752', '&nbsp;']","['920', '&nbsp;']","['723', '&nbsp;']","['766', '&nbsp;']","['851', ' ']"
1441,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['349', '&nbsp;']","['210', '&nbsp;']","['231', '&nbsp;']","['181', '&nbsp;']","['256', 'i']","['252', 'i']","['234', '&nbsp;']","['196', 'i']","['219', 'i']"
1441,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['888', '&nbsp;']","['281', '&nbsp;']","['234', '&nbsp;']","['214', '&nbsp;']","['381', ' ']"
1441,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['58,250', '&nbsp;']","['54,753', '&nbsp;']","['58,343', '&nbsp;']","['55,853', '&nbsp;']","['56,748', '&nbsp;']","['62,086', '&nbsp;']","['66,134', '&nbsp;']","['68,032', '&nbsp;']","['73,575', ' ']"
