table_id,row_id,sex_citizenship_ethnicity_and_race_full_path,sex_citizenship_ethnicity_and_race_level_1,sex_citizenship_ethnicity_and_race_level_2,sex_citizenship_ethnicity_and_race_level_3,sex_citizenship_ethnicity_and_race_level_4,sex_citizenship_ethnicity_and_race_level_5,sex_citizenship_ethnicity_and_race_hierarchy_depth,field_all_fields,field_s_e,field_science_all_sciences,field_science_agricultural_sciences,field_science_biological_sciences,field_science_computer_sciences,field_science_earth_atmospheric_and_ocean_sciences,field_science_mathematics_and_statistics,field_science_physical_sciences,field_science_psychology,field_science_social_sciences,field_engineering,field_s_e_technologiesa_all_s_e_technologies,field_s_e_technologiesa_engineering,field_s_e_technologiesa_health,field_s_e_technologiesa_other
3246,r001,All fields,All fields,,,,,1,1020278,98513,91987,2969,6531,31434,129,4135,6578,12488,27723,6526,126409,31438,90269,4702
3246,r002,All fields -> Female,All fields,Female,,,,2,618385,45780,44687,1301,4406,6204,55,1255,2736,9567,19163,1093,80158,4463,73994,1701
3246,r003,All fields -> Male,All fields,Male,,,,2,401893,52733,47300,1668,2125,25230,74,2880,3842,2921,8560,5433,46251,26975,16275,3001
3246,r004,All fields -> U.S. citizen and permanent resident,All fields,U.S. citizen and permanent resident,,,,2,997194,95247,89149,2943,6361,30365,128,3875,6103,12326,27048,6098,125343,31018,89659,4666
3246,r005,All fields -> U.S. citizen and permanent resident -> Female,All fields,U.S. citizen and permanent resident,Female,,,3,605797,44494,43506,1287,4290,5930,55,1150,2563,9450,18781,988,79558,4357,73519,1682
3246,r006,All fields -> U.S. citizen and permanent resident -> Male,All fields,U.S. citizen and permanent resident,Male,,,3,391397,50753,45643,1656,2071,24435,73,2725,3540,2876,8267,5110,45785,26661,16140,2984
3246,r007,All fields -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>b</sup>  ,All fields,U.S. citizen and permanent resident,Hispanic or Latino<sup>b</sup>  ,,,3,225334,27118,25852,199,2198,4428,27,1418,1747,5779,10056,1266,22792,4728,17068,996
3246,r008,All fields -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>b</sup>   -> Female,All fields,U.S. citizen and permanent resident,Hispanic or Latino<sup>b</sup>  ,Female,,4,140820,15441,15186,83,1560,833,12,404,733,4443,7118,255,14474,700,13423,351
3246,r009,All fields -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>b</sup>   -> Male,All fields,U.S. citizen and permanent resident,Hispanic or Latino<sup>b</sup>  ,Male,,4,84514,11677,10666,116,638,3595,15,1014,1014,1336,2938,1011,8318,4028,3645,645
3246,r010,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino  ,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,,,3,771860,68129,63297,2744,4163,25937,101,2457,4356,6547,16992,4832,102551,26290,72591,3670
3246,r011,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Female,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Female,,4,464977,29053,28320,1204,2730,5097,43,746,1830,5007,11663,733,65084,3657,60096,1331
3246,r012,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Male,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Male,,4,306883,39076,34977,1540,1433,20840,58,1711,2526,1540,5329,4099,37467,22633,12495,2339
3246,r013,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> American Indian or Alaska Native,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,American Indian or Alaska Native,,4,8966,982,944,75,79,264,2,23,56,103,342,38,1082,307,743,32
3246,r014,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> American Indian or Alaska Native -> Female,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,American Indian or Alaska Native,Female,5,5727,528,523,38,50,82,2,7,24,82,238,5,701,62,627,12
3246,r015,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> American Indian or Alaska Native -> Male,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,American Indian or Alaska Native,Male,5,3239,454,421,37,29,182,0,16,32,21,104,33,381,245,116,20
3246,r016,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Asian,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Asian,,4,54129,8423,7812,35,793,2420,13,768,917,884,1982,611,5372,1030,4076,266
3246,r017,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Asian -> Female,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Asian,Female,5,30565,3727,3608,20,518,541,7,276,402,608,1236,119,3177,187,2879,111
3246,r018,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Asian -> Male,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Asian,Male,5,23564,4696,4204,15,275,1879,6,492,515,276,746,492,2195,843,1197,155
3246,r019,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Black or African American,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Black or African American,,4,121112,9937,9477,33,497,3770,1,116,576,898,3586,460,15453,2818,12067,568
3246,r020,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Black or African American -> Female,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Black or African American,Female,5,80900,5211,5134,17,332,989,0,24,355,700,2717,77,11048,516,10320,212
3246,r021,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Black or African American -> Male,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Black or African American,Male,5,40212,4726,4343,16,165,2781,1,92,221,198,869,383,4405,2302,1747,356
3246,r022,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Native Hawaiian or Other Pacific Islander  ,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Native Hawaiian or Other Pacific Islander  ,,4,3919,444,424,56,41,119,0,10,16,28,154,20,430,94,323,13
3246,r023,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Native Hawaiian or Other Pacific Islander   -> Female,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Native Hawaiian or Other Pacific Islander  ,Female,5,2259,198,195,23,21,34,0,1,7,26,83,3,238,11,222,5
3246,r024,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Native Hawaiian or Other Pacific Islander   -> Male,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Native Hawaiian or Other Pacific Islander  ,Male,5,1660,246,229,33,20,85,0,9,9,2,71,17,192,83,101,8
3246,r025,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> White,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,White,,4,517190,41770,38507,2397,2380,17135,76,1276,2315,3824,9104,3263,72625,20156,49935,2534
3246,r026,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> White -> Female,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,White,Female,5,306328,16376,15921,1035,1559,2970,29,357,851,2979,6141,455,45145,2593,41685,867
3246,r027,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> White -> Male,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,White,Male,5,210862,25394,22586,1362,821,14165,47,919,1464,845,2963,2808,27480,17563,8250,1667
3246,r028,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> More than one race ,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,More than one race ,,4,31837,3433,3247,65,221,933,3,163,247,481,1134,186,3227,773,2319,135
3246,r029,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> More than one race  -> Female,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,More than one race ,Female,5,19368,1713,1676,37,148,221,1,59,99,354,757,37,2109,139,1903,67
3246,r030,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> More than one race  -> Male,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino  ,More than one race ,Male,5,12469,1720,1571,28,73,712,2,104,148,127,377,149,1118,634,416,68
