table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia_,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asian_or_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributed
2749,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['100,376', '  ']","['298', '  ']","['1,529', '  ']","['129', '  ']","['1,532', '  ']","['2,948', '  ']","['1,953', '  ']","['7,867', '  ']","['347', '  ']","['9,521', '  ']","['28', '  ']","['3,986', '  ']","['879', '  ']","['154', '  ']","['3,889', '  ']","['1,381', '  ']","['1,772', '  ']","['362', '  ']","['905', '  ']","['5,099', '  ']","['253', '  ']","['236', '  ']","['92', '  ']","['777', 'i ']"
2749,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['64,878', '  ']","['124', '  ']","['1,169', '  ']","['66', '  ']","['1,357', '  ']","['2,243', '  ']","['1,096', '  ']","['5,678', '  ']","['237', '  ']","['5,008', '  ']","['23', '  ']","['2,653', '  ']","['855', '  ']","['76', '  ']","['3,153', '  ']","['1,087', '  ']","['1,137', '  ']","['283', '  ']","['725', '  ']","['3,429', '  ']","['197', '  ']","['66', '  ']","['29', '  ']","['638', 'i ']"
2749,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['864', '  ']","['3', '  ']","['83', 'i ']","['4', '  ']","['20', '  ']","['11', '  ']","['38', '  ']","['141', 'i ']","['2', '  ']","['12', '  ']","['3', '  ']","['3', '  ']","['2', '  ']","['3', '  ']","['19', '  ']","['3', '  ']","['*', '  ']","['4', '  ']","['5', '  ']","['*', '  ']","['2', '  ']","['3', '  ']","['3', '  ']","['0 - 170', 'i ']"
2749,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['16,749', '  ']","['96', '  ']","['369', '  ']","['35', '  ']","['127', '  ']","['302', '  ']","['277', '  ']","['799', '  ']","['98', '  ']","['314', 'i ']","['9', '  ']","['1,172', '  ']","['8', '  ']","['12', '  ']","['221', '  ']","['92', '  ']","['88', '  ']","['21', '  ']","['155', '  ']","['236', '  ']","['96', '  ']","['49', '  ']","['19', '  ']","['4 - 40', 'i ']"
2749,r005,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['13,945', '  ']","['75', '  ']","['242', '  ']","['24', '  ']","['85', '  ']","['241', '  ']","['260', '  ']","['550', '  ']","['67', '  ']","['269', 'i ']","['3', '  ']","['1,040', '  ']","['5', '  ']","['11', '  ']","['115', '  ']","['87', '  ']","['81', '  ']","['15', '  ']","['52', '  ']","['224', '  ']","['88', '  ']","['39', '  ']","['15', '  ']","['5', 'i ']"
2749,r006,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['2,804', '  ']","['22', 'i ']","['127', '  ']","['11', 'i ']","['41', 'i ']","['61', '  ']","['17', '  ']","['250', '  ']","['31', 'i ']","['44', '  ']","['6', '  ']","['131', '  ']","['3', '  ']","['1', 'i ']","['106', '  ']","['6', '  ']","['6', '  ']","['6', '  ']","['103', '  ']","['12', '  ']","['8', '  ']","['10', '  ']","['3', '  ']","['0 - 36', 'i ']"
2749,r007,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['428', '  ']","['3', '  ']","['11', '  ']","['0', '  ']","['37', '  ']","['1', '  ']","['1', '  ']","['57', '  ']","['1', '  ']","['2', '  ']","['*', '  ']","['22', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['4', '  ']","['*', '  ']","['5', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['21', 'i ']"
2749,r008,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['181', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['3', 'i ']","['0', '  ']","['*', '  ']","['14', 'i ']","['0', '  ']","['1', 'i ']","['0', '  ']","['31', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['45', 'i ']","['9', 'i ']","['0', '  ']","['0', '  ']","['20', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2749,r009,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['216', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['3', '  ']","['*', '  ']","['1', '  ']","['23', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['50', '  ']","['1', '  ']","['7', '  ']","['1', '  ']","['0', '  ']","['1', '  ']","['*', '  ']","['4', '  ']","['0', '  ']","['1', '  ']","['*', '  ']","['0', '  ']","['1', 'i ']"
2749,r010,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['4,521', '  ']","['2', '  ']","['113', '  ']","['*', '  ']","['21', '  ']","['5', '  ']","['43', '  ']","['394', '  ']","['4', '  ']","['338', '  ']","['*', 'i ']","['169', '  ']","['10', '  ']","['10', '  ']","['112', '  ']","['146', '  ']","['107', 'i ']","['1', '  ']","['13', '  ']","['244', '  ']","['3', '  ']","['6', '  ']","['*', '  ']","['2', 'i ']"
2749,r011,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['28,322', '  ']","['9', '  ']","['48', '  ']","['*', '  ']","['167', '  ']","['1,814', 'i ']","['117', '  ']","['2,765', '  ']","['74', '  ']","['3,937', '  ']","['2', '  ']","['856', '  ']","['829', '  ']","['40', '  ']","['2,648', '  ']","['215', '  ']","['882', '  ']","['212', '  ']","['389', 'i ']","['2,752', '  ']","['17', '  ']","['2', '  ']","['*', '  ']","['227 - 525', 'i ']"
2749,r012,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,693', '  ']","['1', '  ']","['96', '  ']","['*', '  ']","['23', '  ']","['*', '  ']","['2', '  ']","['307', '  ']","['13', '  ']","['45', '  ']","['*', '  ']","['55', '  ']","['1', '  ']","['*', '  ']","['39', '  ']","['26', '  ']","['21', '  ']","['2', '  ']","['12', '  ']","['1', '  ']","['1', '  ']","['1', '  ']","['1', '  ']","['3', 'i ']"
2749,r013,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['7,446', '  ']","['1', 'i ']","['405', '  ']","['0', '  ']","['914', '  ']","['13', '  ']","['465', '  ']","['677', '  ']","['1', '  ']","['210', '  ']","['*', '  ']","['78', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['516', '  ']","['17', '  ']","['20', '  ']","['106', '  ']","['51', '  ']","['*', '  ']","['3', 'i ']","['4', '  ']","['85', 'i ']"
2749,r014,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['3,270 - 3,274', '  ']","['0 - 12', '  ']","['23', '  ']","['25', '  ']","['21', '  ']","['65', '  ']","['130', '  ']","['380', '  ']","['29', 'i ']","['134', '  ']","['9', '  ']","['183', '  ']","['4', '  ']","['4', '  ']","['85', '  ']","['28', '  ']","['12', '  ']","['2', '  ']","['23', '  ']","['125', '  ']","['0 - 81', '  ']","['1', '  ']","['0 - 5', '  ']","['0 - 247', 'i ']"
2749,r015,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337","['1,180 - 1,191', '  ']","['0 - 12', '  ']","['21', '  ']","['2', '  ']","['21', '  ']","['31', '  ']","['22', '  ']","['121', '  ']","['14', '  ']","['11', '  ']","['0', '  ']","['34', '  ']","['*', '  ']","['0', '  ']","['26', '  ']","['13', '  ']","['1', '  ']","['15', '  ']","['18', '  ']","['*', '  ']","['0 - 81', '  ']","['2', '  ']","['0 - 5', '  ']","['0 - 179', 'i ']"
2749,r016,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['35,498', '  ']","['175', '  ']","['361', '  ']","['63', '  ']","['175', '  ']","['705', '  ']","['857', '  ']","['2,189', '  ']","['111', '  ']","['4,513', '  ']","['5', '  ']","['1,333', '  ']","['24', '  ']","['78', '  ']","['736', '  ']","['294', '  ']","['636', '  ']","['79', '  ']","['180', '  ']","['1,670', '  ']","['56', '  ']","['170', '  ']","['63', '  ']","['139', 'i ']"
2749,r017,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['32', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['9', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['9', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', 'i ']"
2749,r018,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['17,156', '  ']","['17', '  ']","['91', '  ']","['31', '  ']","['67', '  ']","['53', '  ']","['382', '  ']","['1,178', '  ']","['38', '  ']","['2,753', '  ']","['3', '  ']","['278', '  ']","['7', '  ']","['40', '  ']","['273', '  ']","['62', '  ']","['486', '  ']","['7', '  ']","['121', '  ']","['1,011', '  ']","['8', '  ']","['42', '  ']","['47', '  ']","['0 - 15', 'i ']"
2749,r019,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['131 - 138', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 8', '  ']","['0 - 5', '  ']","['*', '  ']","['8', '  ']","['1', '  ']","['34', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 20', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2749,r020,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['4,739', '  ']","['2', '  ']","['31', '  ']","['*', '  ']","['60', '  ']","['49', '  ']","['127', '  ']","['338', '  ']","['5', '  ']","['1,297', '  ']","['2', 'i ']","['45', '  ']","['2', '  ']","['27', '  ']","['43', '  ']","['12', '  ']","['22', 'i ']","['1', 'i ']","['29', '  ']","['225', '  ']","['4', '  ']","['32', '  ']","['*', '  ']","['0 - 15', '  ']"
2749,r021,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['12,278 - 12,287', '  ']","['15', '  ']","['61', '  ']","['31', '  ']","['0 - 8', '  ']","['0 - 5', '  ']","['255', '  ']","['832', '  ']","['32', '  ']","['1,422', '  ']","['1', '  ']","['233', '  ']","['5', '  ']","['13', '  ']","['230', '  ']","['47', '  ']","['464', '  ']","['6', '  ']","['92', '  ']","['765 - 787', '  ']","['4', '  ']","['10', '  ']","['47', '  ']","['0 - 15', 'i ']"
2749,r022,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['13,307', '  ']","['157', '  ']","['174', '  ']","['28', '  ']","['91', '  ']","['631', '  ']","['253', '  ']","['710', '  ']","['25', 'i ']","['1,109', '  ']","['2', '  ']","['684', '  ']","['12', '  ']","['23', '  ']","['224', '  ']","['140', '  ']","['138', '  ']","['19', '  ']","['29', '  ']","['567', '  ']","['13', '  ']","['97', '  ']","['11', '  ']","['79 - 92', 'i ']"
