table_id,row_id,region_country_or_economy_and_field_full_path,region_country_or_economy_and_field_level_1,region_country_or_economy_and_field_level_2,region_country_or_economy_and_field_level_3,region_country_or_economy_and_field_level_4,region_country_or_economy_and_field_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
5786,r001,Argentina,Argentina,,,,1,,,,,,,,,
5786,r002,Argentina -> All fields,Argentina,All fields,,,2,937,1518,1674,2088,2088,2406,NA,NA,NA
5786,r003,Argentina -> All fields -> All S&E,Argentina,All fields,All S&E,,3,709,1122,1203,1726,1726,1716,NA,NA,NA
5786,r004,Argentina -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Argentina,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,372,590,709,934,934,904,NA,NA,NA
5786,r005,Argentina -> All fields -> All S&E -> Computer sciences,Argentina,All fields,All S&E,Computer sciences,4,68,83,19,NA,NA,28,NA,NA,NA
5786,r006,Argentina -> All fields -> All S&E -> Agricultural sciences,Argentina,All fields,All S&E,Agricultural sciences,4,60,106,82,87,87,99,NA,NA,NA
5786,r007,Argentina -> All fields -> All S&E -> Social and behavioral sciences,Argentina,All fields,All S&E,Social and behavioral sciences,4,141,221,305,551,551,527,NA,NA,NA
5786,r008,Argentina -> All fields -> All S&E -> Engineering,Argentina,All fields,All S&E,Engineering,4,68,122,88,154,154,158,NA,NA,NA
5786,r009,Australia,Australia,,,,1,,,,,,,,,
5786,r010,Australia -> All fields,Australia,All fields,,,2,6398,6849,7166,8101,8400,8627,9089,9242,8777
5786,r011,Australia -> All fields -> All S&E,Australia,All fields,All S&E,,3,3665,3975,4193,4576,4865,5011,5285,5507,5332
5786,r012,Australia -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Australia,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,1306,1495,1512,1621,1668,1900,1988,2117,2094
