table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
7405,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['2,868,589', '&nbsp;']","['2,241,358', '&nbsp;']","['64,119', '&nbsp;']","['89,181', '&nbsp;']","['13,363', '&nbsp;']","['7,362', '&nbsp;']","['5,143', '&nbsp;']","['435,723', '&nbsp;']","['9,559', '&nbsp;']","['2,780', '&nbsp;']"
7405,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['351,049', '&nbsp;']","['294,962', '&nbsp;']","['11,532', 'r']","['12,095', '&nbsp;']","['309', 'r']","['680', 'r']","['635', 'r']","['30,149', '&nbsp;']","['632', '&nbsp;']","['55', '&nbsp;']"
7405,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['1,858', 'r']","['695', '&nbsp;']","['0', '&nbsp;']","['745', 'r']","['0', '&nbsp;']","['417', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['4,065', 'r']","['4,065', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['414', '&nbsp;']","['414', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['91,119', '&nbsp;']","['70,337', '&nbsp;']","['0', '&nbsp;']","['2,788', 'r']","['0', '&nbsp;']","['127', 'r']","['0', '&nbsp;']","['17,827', 'r']","['40', '&nbsp;']","['0', '&nbsp;']"
7405,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['61,258', '&nbsp;']","['52,221', '&nbsp;']","['0', '&nbsp;']","['765', '&nbsp;']","['0', '&nbsp;']","['90', 'r']","['0', '&nbsp;']","['8,142', 'r']","['40', '&nbsp;']","['0', '&nbsp;']"
7405,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['29,862', '&nbsp;']","['18,116', '&nbsp;']","['0', '&nbsp;']","['2,023', 'r']","['0', '&nbsp;']","['38', 'r']","['0', '&nbsp;']","['9,685', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['3,057', 'r']","['3,024', 'r']","['0', '&nbsp;']","['33', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['5,644', 'r']","['0', '&nbsp;']","['5,644', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['10,644', 'r']","['10,644', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['9,105', '&nbsp;']","['7,013', '&nbsp;']","['0', '&nbsp;']","['204', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,500', '&nbsp;']","['388', '&nbsp;']","['0', '&nbsp;']"
7405,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['124,827', '&nbsp;']","['106,079', '&nbsp;']","['5,888', 'r']","['2,055', '&nbsp;']","['309', 'r']","['136', 'r']","['635', 'r']","['9,603', '&nbsp;']","['68', '&nbsp;']","['55', '&nbsp;']"
7405,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['17,212', '&nbsp;']","['8,533', '&nbsp;']","['5,888', 'r']","['1,209', 'r']","['32', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,481', 'r']","['68', '&nbsp;']","['0', '&nbsp;']"
7405,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['84,388', '&nbsp;']","['75,612', '&nbsp;']","['0', '&nbsp;']","['528', '&nbsp;']","['22', 'r']","['136', 'r']","['635', 'r']","['7,399', '&nbsp;']","['0', '&nbsp;']","['55', '&nbsp;']"
7405,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['23,228', 'r']","['21,933', 'r']","['0', '&nbsp;']","['318', 'r']","['254', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['723', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['3,382', '&nbsp;']","['2,718', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['664', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['6,185', '&nbsp;']","['4,329', '&nbsp;']","['0', '&nbsp;']","['1,165', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['555', '&nbsp;']","['135', '&nbsp;']","['0', '&nbsp;']"
7405,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['5,185', '&nbsp;']","['3,804', '&nbsp;']","['0', '&nbsp;']","['976', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['271', '&nbsp;']","['135', '&nbsp;']","['0', '&nbsp;']"
7405,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['999', '&nbsp;']","['525', '&nbsp;']","['0', '&nbsp;']","['190', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['285', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['90,749', 'r']","['85,645', 'r']","['0', '&nbsp;']","['5,104', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['2,517,540', '&nbsp;']","['1,946,396', '&nbsp;']","['52,587', '&nbsp;']","['77,086', '&nbsp;']","['13,054', '&nbsp;']","['6,682', '&nbsp;']","['4,508', 'r']","['405,575', '&nbsp;']","['8,928', '&nbsp;']","['2,725', '&nbsp;']"
7405,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['142,853', 'r']","['138,101', 'r']","['4,228', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['524', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['329,329', '&nbsp;']","['313,715', '&nbsp;']","['782', 'r']","['8,183', 'r']","['0', '&nbsp;']","['1,578', 'r']","['0', '&nbsp;']","['4,595', '&nbsp;']","['0', '&nbsp;']","['475', 'r']"
7405,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['149,010', '&nbsp;']","['143,819', '&nbsp;']","['782', 'r']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3,931', '&nbsp;']","['0', '&nbsp;']","['475', 'r']"
7405,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['180,319', '&nbsp;']","['169,896', '&nbsp;']","['0', '&nbsp;']","['8,180', 'r']","['0', '&nbsp;']","['1,578', 'r']","['0', '&nbsp;']","['664', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['174,443', '&nbsp;']","['105,965', '&nbsp;']","['8,492', 'r']","['18,493', 'r']","['2,607', '&nbsp;']","['1,706', 'r']","['54', 'r']","['36,909', '&nbsp;']","['216', 'r']","['0', '&nbsp;']"
7405,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['732,473', '&nbsp;']","['700,553', '&nbsp;']","['281', 'r']","['5,098', 'r']","['0', '&nbsp;']","['1,153', '&nbsp;']","['0', '&nbsp;']","['25,388', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7405,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['1,138,442', '&nbsp;']","['688,062', '&nbsp;']","['38,803', '&nbsp;']","['45,312', '&nbsp;']","['10,447', '&nbsp;']","['2,245', '&nbsp;']","['4,454', 'r']","['338,158', '&nbsp;']","['8,711', '&nbsp;']","['2,250', '&nbsp;']"
7405,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['89,393', '&nbsp;']","['68,895', '&nbsp;']","['4,966', '&nbsp;']","['4,825', 'r']","['719', '&nbsp;']","['722', '&nbsp;']","['76', 'r']","['9,165', '&nbsp;']","['25', '&nbsp;']","['0', '&nbsp;']"
7405,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['384,074', '&nbsp;']","['287,858', '&nbsp;']","['15,222', '&nbsp;']","['2,067', '&nbsp;']","['2,324', '&nbsp;']","['46', 'r']","['3,903', 'r']","['70,406', '&nbsp;']","['2,016', '&nbsp;']","['232', '&nbsp;']"
7405,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['643,130', '&nbsp;']","['323,113', '&nbsp;']","['18,615', '&nbsp;']","['27,064', '&nbsp;']","['7,404', 'r']","['1,477', '&nbsp;']","['475', 'r']","['256,294', '&nbsp;']","['6,670', '&nbsp;']","['2,018', '&nbsp;']"
