table_id,row_id,_b_field_and_sex_b_full_path,_b_field_and_sex_b_level_1,_b_field_and_sex_b_level_2,_b_field_and_sex_b_level_3,_b_field_and_sex_b_level_4,_b_field_and_sex_b_hierarchy_depth,field_1993_number,field_1993_percent,field_1998_number,field_1998_percent,field_2003_number,field_2003_percent,field_2008_number,field_2008_percent,field_2013_number,field_2013_percent,field_2018_number,field_2018_percent,field_2023_number,field_2023_percent
11643,r001,All fields<sup>a</sup>,All fields<sup>a</sup>,,,,1,39800,100.0,42636,100.0,40762,100.0,48776,100.0,52703,100.0,55078,100.0,57862,100.0
11643,r002,All fields<sup>a</sup> -> Male,All fields<sup>a</sup>,Male,,,2,24384,61.3,24628,57.8,22256,54.6,26271,53.9,28326,53.7,29742,54.0,30356,52.5
11643,r003,All fields<sup>a</sup> -> Female,All fields<sup>a</sup>,Female,,,2,15121,38.0,17847,41.9,18506,45.4,22494,46.1,24365,46.2,25308,45.9,27499,47.5
11643,r004,All fields<sup>a</sup> -> Science and engineering,All fields<sup>a</sup>,Science and engineering,,,2,26486,100.0,28636,100.0,26759,100.0,34765,100.0,39084,100.0,42144,100.0,45533,100.0
11643,r005,All fields<sup>a</sup> -> Science and engineering -> Male,All fields<sup>a</sup>,Science and engineering,Male,,3,17885,67.5,18234,63.7,16219,60.6,20447,58.8,22471,57.5,24239,57.5,25421,55.8
11643,r006,All fields<sup>a</sup> -> Science and engineering -> Female,All fields<sup>a</sup>,Science and engineering,Female,,3,8370,31.6,10281,35.9,10540,39.4,14309,41.2,16603,42.5,17886,42.4,20106,44.2
11643,r007,All fields<sup>a</sup> -> Science and engineering -> Agricultural sciences and natural resources,All fields<sup>a</sup>,Science and engineering,Agricultural sciences and natural resources,,3,1235,100.0,1315,100.0,1226,100.0,1252,100.0,1391,100.0,1499,100.0,1477,100.0
11643,r008,All fields<sup>a</sup> -> Science and engineering -> Agricultural sciences and natural resources -> Male,All fields<sup>a</sup>,Science and engineering,Agricultural sciences and natural resources,Male,4,934,75.6,928,70.6,788,64.3,725,57.9,730,52.5,770,51.4,669,45.3
11643,r009,All fields<sup>a</sup> -> Science and engineering -> Agricultural sciences and natural resources -> Female,All fields<sup>a</sup>,Science and engineering,Agricultural sciences and natural resources,Female,4,293,23.7,386,29.4,438,35.7,527,42.1,661,47.5,726,48.4,808,54.7
11643,r010,All fields<sup>a</sup> -> Science and engineering -> Biological and biomedical sciences,All fields<sup>a</sup>,Science and engineering,Biological and biomedical sciences,,3,5212,100.0,6011,100.0,5927,100.0,8145,100.0,8707,100.0,8782,100.0,9575,100.0
11643,r011,All fields<sup>a</sup> -> Science and engineering -> Biological and biomedical sciences -> Male,All fields<sup>a</sup>,Science and engineering,Biological and biomedical sciences,Male,4,3061,58.7,3349,55.7,3170,53.5,3970,48.7,4058,46.6,4079,46.4,4251,44.4
11643,r012,All fields<sup>a</sup> -> Science and engineering -> Biological and biomedical sciences -> Female,All fields<sup>a</sup>,Science and engineering,Biological and biomedical sciences,Female,4,2123,40.7,2647,44.0,2757,46.5,4173,51.2,4646,53.4,4700,53.5,5323,55.6
11643,r013,All fields<sup>a</sup> -> Science and engineering -> Computer and information sciences,All fields<sup>a</sup>,Science and engineering,Computer and information sciences,,3,880,100.0,927,100.0,866,100.0,1787,100.0,1843,100.0,2000,100.0,2687,100.0
11643,r014,All fields<sup>a</sup> -> Science and engineering -> Computer and information sciences -> Male,All fields<sup>a</sup>,Science and engineering,Computer and information sciences,Male,4,737,83.8,765,82.5,690,79.7,1387,77.6,1502,81.5,1565,78.3,1978,73.6
11643,r015,All fields<sup>a</sup> -> Science and engineering -> Computer and information sciences -> Female,All fields<sup>a</sup>,Science and engineering,Computer and information sciences,Female,4,138,15.7,159,17.2,176,20.3,400,22.4,341,18.5,434,21.7,709,26.4
11643,r016,All fields<sup>a</sup> -> Science and engineering -> Engineering,All fields<sup>a</sup>,Science and engineering,Engineering,,3,5698,100.0,5922,100.0,5279,100.0,7863,100.0,9000,100.0,10164,100.0,11403,100.0
11643,r017,All fields<sup>a</sup> -> Science and engineering -> Engineering -> Male,All fields<sup>a</sup>,Science and engineering,Engineering,Male,4,5097,89.5,5111,86.3,4368,82.7,6167,78.4,6946,77.2,7710,75.9,8381,73.5
11643,r018,All fields<sup>a</sup> -> Science and engineering -> Engineering -> Female,All fields<sup>a</sup>,Science and engineering,Engineering,Female,4,522,9.2,773,13.1,911,17.3,1693,21.5,2052,22.8,2450,24.1,3022,26.5
11643,r019,"All fields<sup>a</sup> -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",All fields<sup>a</sup>,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,3,721,100.0,766,100.0,682,100.0,865,100.0,989,100.0,1185,100.0,1231,100.0
11643,r020,"All fields<sup>a</sup> -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Male",All fields<sup>a</sup>,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Male,4,566,78.5,564,73.6,469,68.8,548,63.4,539,54.5,659,55.6,676,54.9
11643,r021,"All fields<sup>a</sup> -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Female",All fields<sup>a</sup>,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Female,4,146,20.2,198,25.8,213,31.2,316,36.5,449,45.4,526,44.4,554,45.0
11643,r022,All fields<sup>a</sup> -> Science and engineering -> Health sciences,All fields<sup>a</sup>,Science and engineering,Health sciences,,3,1016,100.0,1285,100.0,1353,100.0,1689,100.0,2109,100.0,2473,100.0,2435,100.0
11643,r023,All fields<sup>a</sup> -> Science and engineering -> Health sciences -> Male,All fields<sup>a</sup>,Science and engineering,Health sciences,Male,4,317,31.2,405,31.5,440,32.5,528,31.3,704,33.4,799,32.3,734,30.1
11643,r024,All fields<sup>a</sup> -> Science and engineering -> Health sciences -> Female,All fields<sup>a</sup>,Science and engineering,Health sciences,Female,4,688,67.7,875,68.1,913,67.5,1159,68.6,1405,66.6,1674,67.7,1701,69.9
