table_id,row_id,_b_field_and_citizenship_status_b_full_path,_b_field_and_citizenship_status_b_level_1,_b_field_and_citizenship_status_b_level_2,_b_field_and_citizenship_status_b_level_3,_b_field_and_citizenship_status_b_hierarchy_depth,field_1975,field_1980,field_1985,field_1990,field_1995,field_2000,field_2005,field_2010,field_2015,field_2020
4654,r001,All fields,All fields,,,1,32952,31019,31295,36065,41747,41369,43385,48028,54886,55283
4654,r002,All fields -> U.S. citizen or permanent resident,All fields,U.S. citizen or permanent resident,,2,28872,26532,24711,26619,32062,29952,27945,31602,35071,34492
4654,r003,All fields -> Temporary visa holder,All fields,Temporary visa holder,,2,3562,3696,5252,8140,8831,9667,12832,13636,16129,18482
4654,r004,All fields -> Unknown,All fields,Unknown,,2,518,791,1332,1306,854,1750,2608,2790,3686,2309
4654,r005,All fields -> Life sciences<sup>a</sup>,All fields,Life sciences<sup>a</sup>,,2,5103,5501,5822,6655,7998,8622,9310,11319,12493,12561
4654,r006,All fields -> Life sciences<sup>a</sup> -> U.S. citizen or permanent resident,All fields,Life sciences<sup>a</sup>,U.S. citizen or permanent resident,3,4312,4688,4694,4944,6131,6086,6282,7812,8470,8707
4654,r007,All fields -> Life sciences<sup>a</sup> -> Temporary visa holder,All fields,Life sciences<sup>a</sup>,Temporary visa holder,3,701,725,934,1539,1741,2213,2553,2926,3264,3430
4654,r008,All fields -> Life sciences<sup>a</sup> -> Unknown,All fields,Life sciences<sup>a</sup>,Unknown,3,90,88,194,172,126,323,475,581,759,424
4654,r009,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,3633,3109,3491,4212,4540,4071,4359,4995,5916,6247
4654,r010,All fields -> Physical sciences and earth sciences -> U.S. citizen or permanent resident,All fields,Physical sciences and earth sciences,U.S. citizen or permanent resident,3,3023,2536,2618,2835,3367,2547,2344,2860,3481,3741
4654,r011,All fields -> Physical sciences and earth sciences -> Temporary visa holder,All fields,Physical sciences and earth sciences,Temporary visa holder,3,549,510,734,1240,1091,1331,1788,1884,2099,2311
4654,r012,All fields -> Physical sciences and earth sciences -> Unknown,All fields,Physical sciences and earth sciences,Unknown,3,61,63,139,137,82,193,227,251,336,195
4654,r013,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,1147,962,998,1597,2187,1910,2334,3223,3818,4392
