table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_hierarchy_depth,field_all_fields,field_s_e_all_s_e_fields,field_s_e_agricultural_sciences_and_natural_resources,field_s_e_biological_and_biomedical_sciences,field_s_e_computer_and_information_sciences,field_s_e_engineering,field_s_e_health_sciences,field_s_e_mathematics_and_statistics,field_s_e_multidisciplinary_and_interdisciplinary_sciences,field_s_e_physical_sciences,field_s_e_psychology,field_s_e_social_sciences,field_s_e_related,field_non_s_e
9910,r001,Total,Total,,1,141640,117390,3100,14500,13070,38490,8580,6640,1700,17050,2880,11390,730,23520
9910,r002,Total -> China,Total,China,2,43480,36980,640,4560,5130,12560,1290,3070,440,5350,890,3050,180,6320
9910,r003,Total -> India,Total,India,2,20590,18430,410,2300,2760,6780,1000,760,200,2880,310,1020,80,2080
9910,r004,Total -> South Korea,Total,South Korea,2,8880,6090,120,560,380,1750,770,360,90,530,280,1230,90,2700
9910,r005,Total -> Bangladesh,Total,Bangladesh,2,6130,5780,130,520,980,2580,200,190,70,810,20,280,20,330
9910,r006,Total -> Iran,Total,Iran,2,6250,5610,90,320,660,3350,160,100,90,550,80,220,50,590
9910,r007,Total -> Canada,Total,Canada,2,5080,3990,80,370,130,390,2100,90,50,270,230,280,20,1080
9910,r008,Total -> Nigeria,Total,Nigeria,2,4180,3440,170,550,190,950,390,140,70,660,50,270,40,710
9910,r009,Total -> Taiwan,Total,Taiwan,2,3280,2760,60,430,220,1010,240,100,30,460,70,170,20,500
9910,r010,Total -> Nepal,Total,Nepal,2,2600,2460,220,420,250,530,100,80,40,680,10,130,0,140
9910,r011,Total -> Saudi Arabia,Total,Saudi Arabia,2,3090,2190,30,190,370,660,410,130,50,150,40,160,30,870
9910,r012,Total -> Turkey,Total,Turkey,2,2230,1830,20,160,160,760,30,70,20,130,100,380,20,380
9910,r013,Total -> Brazil,Total,Brazil,2,2020,1500,170,240,50,410,60,50,30,160,40,290,10,510
9910,r014,Total -> Sri Lanka,Total,Sri Lanka,2,1540,1490,40,180,80,260,20,140,10,740,10,30,0,50
9910,r015,Total -> Ghana,Total,Ghana,2,1840,1460,80,270,50,300,130,130,60,230,30,200,20,360
9910,r016,Total -> Vietnam,Total,Vietnam,2,1640,1450,20,180,190,330,210,130,20,240,40,110,0,190
9910,r017,Total -> Pakistan,Total,Pakistan,2,1590,1360,40,120,240,480,60,20,20,230,20,140,10,220
9910,r018,Total -> Mexico,Total,Mexico,2,1510,1160,60,210,30,270,60,70,30,230,30,180,0,350
9910,r019,Total -> Colombia,Total,Colombia,2,1470,1130,70,200,40,340,30,70,20,150,20,190,10,330
9910,r020,Total -> Egypt,Total,Egypt,2,1180,1060,10,140,50,500,90,10,10,200,10,50,10,110
9910,r021,Total -> Italy,Total,Italy,2,1190,820,20,90,40,190,30,60,20,100,20,250,0,370
9910,r022,Total -> Other locations,Total,Other locations,2,21860,16410,630,2490,1060,4120,1220,880,350,2300,590,2780,110,5340
