table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
5394,r001,All R&D fields,All R&D fields,,,,1,86296178,46143829,4596633,21946790,5184925,5745238,2678763
5394,r002,All R&D fields -> Science,All R&D fields,Science,,,2,67567807,36778903,3366120,16620734,3910498,4824295,2067257
5394,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,2923149,2000937,59461,578481,156246,81578,46446
5394,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,3281251,2109065,192307,658966,84585,149331,86997
5394,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,612890,471158,20739,92002,6616,10302,12073
5394,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1159627,696991,56003,276947,42549,53207,33930
5394,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1136259,713086,89392,214593,25140,62473,31575
5394,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,372475,227830,26173,75424,10280,23349,9419
5394,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,49640508,26254002,2699498,11954881,3388718,3725032,1618377
5394,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,3626162,1072057,950453,1160242,145810,153008,144592
5394,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,15761876,9339917,558750,3686204,703545,1108185,365275
5394,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,28026662,14733751,987527,6452035,2470203,2336032,1047114
5394,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,900697,410120,140342,255659,24851,46367,23358
5394,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1325111,698157,62426,400741,44309,81440,38038
5394,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,798975,486259,26640,223162,13335,39436,10143
5394,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,5667046,3789237,94312,1257087,170038,241118,115254
5394,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,780080,542725,7009,144050,3872,52890,29534
5394,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,1926772,1166743,38428,523173,81497,78408,38523
5394,r019,All R&D fields -> Science -> Physical sciences -> Materials science,All R&D fields,Science,Physical sciences,Materials science,4,252193,156894,3233,57559,22558,8275,3674
5394,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,2434467,1736916,34396,481101,44965,97849,39240
5394,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,273534,185959,11246,51204,17146,3696,4283
5394,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,1357081,808565,47653,374133,15469,87853,23408
5394,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,2947338,969278,175297,1163690,49205,451233,138635
5394,r024,All R&D fields -> Science -> Social sciences -> Anthropology,All R&D fields,Science,Social sciences,Anthropology,4,119329,38847,3855,64794,1954,5480,4399
5394,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,562192,121461,48994,223229,14023,111551,42934
5394,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,425267,78462,13079,202670,7156,86889,37011
5394,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,591754,253213,34578,198676,6143,86921,12223
5394,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,1248796,477295,74791,474321,19929,160392,42068
5394,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,952459,361560,70952,410334,32902,48714,27997
5394,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,13692756,8120891,895910,2720559,1129319,393387,432690
5394,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,1295759,957795,33259,130543,129465,4683,40014
5394,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,1468229,906145,48150,331075,60248,86474,36137
5394,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,999312,521758,44926,240663,116581,48181,27203
5394,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,1422418,606519,255959,377850,98399,46087,37604
5394,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,3048420,2143397,79138,482858,187270,74512,81245
5394,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,588127,384795,35472,113635,36419,12205,5601
5394,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,1812916,1160117,66529,333847,179189,36603,36631
5394,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,816610,504528,29785,161984,64388,19043,36882
5394,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,2240965,935837,302692,548104,257360,65599,131373
5394,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,5035615,1244035,334603,2605497,145108,527556,178816
5394,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,878721,74126,41108,640841,26819,45597,50230
5394,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,191813,40830,10816,98931,6602,29566,5068
5394,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,1603978,667043,131575,520173,53327,201358,30502
5394,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,563007,54155,17922,385675,13756,67083,24416
5394,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,267565,26697,12404,158838,7486,44759,17381
5394,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,307145,140836,29722,93047,5203,35774,2563
5394,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,171605,15140,6626,129234,2747,10584,7274
5394,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,1051781,225208,84430,578758,29168,92835,41382
