table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asian_or_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributed
1421,r015,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337","['873', '  ']","['D', '  ']","['28', '&nbsp;']","['D', '  ']","['27', ' ']","['40', '  ']","['6', '  ']","['57', '  ']","['6', 'i ']","['9', '&nbsp;']","['13', '  ']","['9', ' ']","['*', '  ']","['8', '  ']","['31', '  ']","['15', '  ']","['0', '&nbsp;']","['9', '  ']","['16', ' ']","['0', '  ']","['D', '  ']","['D', '  ']","['*', '  ']","['D', '&nbsp;']"
1421,r016,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['24,457', '  ']","['93', 'i ']","['186', '&nbsp;']","['42', '  ']","['131', ' ']","['109', 'i ']","['501', '  ']","['1,649', '  ']","['55', '  ']","['3,042', '&nbsp;']","['4', 'i ']","['849', ' ']","['20', '  ']","['71', '  ']","['442', '  ']","['154', '  ']","['274', '&nbsp;']","['42', '  ']","['239', ' ']","['1,197', '  ']","['46', '  ']","['95', 'i ']","['55', '  ']","['1,104', 'i']"
1421,r017,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['12', 'i ']","['0', '  ']","['0', '&nbsp;']","['0', '  ']","['0', ' ']","['0', '  ']","['0', '  ']","['2', 'i ']","['0', '  ']","['*', '&nbsp;']","['0', '  ']","['0', ' ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '&nbsp;']","['0', '  ']","['0', ' ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['4', 'i']"
1421,r018,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['13,384', '  ']","['16', '  ']","['69', '&nbsp;']","['18', '  ']","['51', ' ']","['35', '  ']","['278', '  ']","['1,039', '  ']","['23', '  ']","['2,107', '&nbsp;']","['*', '  ']","['221', ' ']","['5', '  ']","['41', '  ']","['143', '  ']","['59', '  ']","['119', '&nbsp;']","['5', '  ']","['183', ' ']","['800', '  ']","['17', '  ']","['29', '  ']","['46', '  ']","['D', '&nbsp;']"
1421,r019,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['49', '  ']","['*', '  ']","['*', '&nbsp;']","['0', '  ']","['*', ' ']","['1', '  ']","['1', 'i ']","['3', '  ']","['*', '  ']","['12', 'i']","['0', '  ']","['0', ' ']","['0', '  ']","['1', '  ']","['*', '  ']","['3', '  ']","['0', '&nbsp;']","['0', '  ']","['0', ' ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '&nbsp;']"
1421,r020,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,752', '  ']","['*', '  ']","['4', '&nbsp;']","['*', '  ']","['3', ' ']","['24', '  ']","['63', '  ']","['44', '  ']","['2', '  ']","['257', '&nbsp;']","['0', '  ']","['13', ' ']","['1', '  ']","['29', '  ']","['10', '  ']","['3', '  ']","['8', '&nbsp;']","['*', '  ']","['12', ' ']","['88', '  ']","['*', '  ']","['13', '  ']","['0', '  ']","['75', 'i']"
1421,r021,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['11,583', '  ']","['16', '  ']","['65', '&nbsp;']","['18', '  ']","['48', ' ']","['10', '  ']","['214', '  ']","['991', '  ']","['22', '  ']","['1,838', '&nbsp;']","['*', '  ']","['208', ' ']","['5', '  ']","['11', '  ']","['133', '  ']","['53', '  ']","['111', '&nbsp;']","['4', '  ']","['170', ' ']","['711', '  ']","['16', '  ']","['15', '  ']","['46', '  ']","['D', '&nbsp;']"
1421,r022,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['9,176', '  ']","['72', 'i ']","['107', 'i']","['17', 'i ']","['65', 'i']","['72', 'i ']","['196', '  ']","['550', '  ']","['10', 'i ']","['585', '&nbsp;']","['3', 'i ']","['518', 'i']","['8', 'i ']","['14', 'i ']","['262', 'i ']","['82', 'i ']","['154', '&nbsp;']","['13', 'i ']","['49', 'i']","['368', '  ']","['6', 'i ']","['65', 'i ']","['9', 'i ']","['D', '&nbsp;']"
1421,r023,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['64', '  ']","['0', '  ']","['2', '&nbsp;']","['0', '  ']","['0', ' ']","['0', '  ']","['0', '  ']","['7', '  ']","['0', '  ']","['3', '&nbsp;']","['0', '  ']","['2', ' ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '&nbsp;']","['0', '  ']","['0', ' ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i']"
1421,r024,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['5,412', '  ']","['71', 'i ']","['69', 'i']","['15', 'i ']","['45', 'i']","['32', 'i ']","['116', 'i ']","['286', 'i ']","['10', 'i ']","['198', 'i']","['2', 'i ']","['451', 'i']","['8', 'i ']","['11', 'i ']","['190', 'i ']","['82', 'i ']","['31', 'i']","['13', 'i ']","['14', 'i']","['47', 'i ']","['6', 'i ']","['62', 'i ']","['4', 'i ']","['D', '&nbsp;']"
