table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1708,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,2662,2598,1892,-2.4,-27.2
1708,r002,R&D and R&D plant -> Conservation and land management (302),R&D and R&D plant,Conservation and land management (302),,,,2,423,429,352,1.4,-17.9
1708,r003,R&D and R&D plant -> Conservation and land management (302) -> Department of the Interior<sup>b</sup>,R&D and R&D plant,Conservation and land management (302),Department of the Interior<sup>b</sup>,,,3,151,160,123,6.0,-23.1
1708,r004,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,,,3,272,269,229,-1.1,-14.9
1708,r005,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,Forest Service,,4,272,269,229,-1.1,-14.9
1708,r006,R&D and R&D plant -> Pollution control and abatement (304),R&D and R&D plant,Pollution control and abatement (304),,,,2,494,500,287,1.2,-42.6
1708,r007,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,,,3,492,498,285,1.2,-42.8
1708,r008,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,,4,1,1,1,0.0,-10.0
1708,r009,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,,4,476,482,266,1.2,-44.7
1708,r010,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Superfund,,4,16,16,18,0.0,14.8
1708,r011,R&D and R&D plant -> Pollution control and abatement (304) -> Coast Guard (DHS),R&D and R&D plant,Pollution control and abatement (304),Coast Guard (DHS),,,3,2,2,2,0.0,0.0
1708,r012,R&D and R&D plant -> Recreational resources (303),R&D and R&D plant,Recreational resources (303),,,,2,26,27,26,3.8,-3.7
1708,r013,R&D and R&D plant -> Recreational resources (303) -> National Park Service (DOI),R&D and R&D plant,Recreational resources (303),National Park Service (DOI),,,3,26,27,26,3.8,-3.7
1708,r014,R&D and R&D plant -> Water resources (301),R&D and R&D plant,Water resources (301),,,,2,114,111,95,-2.6,-14.4
1708,r015,R&D and R&D plant -> Water resources (301) -> Army Corps of Engineers (DOD),R&D and R&D plant,Water resources (301),Army Corps of Engineers (DOD),,,3,24,11,11,-54.2,0.0
1708,r016,R&D and R&D plant -> Water resources (301) -> Bureau of Reclamation (DOI),R&D and R&D plant,Water resources (301),Bureau of Reclamation (DOI),,,3,90,100,84,11.1,-16.0
1708,r017,R&D and R&D plant -> Other natural resources (306),R&D and R&D plant,Other natural resources (306),,,,2,1605,1531,1133,-4.6,-26.0
1708,r018,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC),R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),,,3,1005,938,651,-6.6,-30.6
1708,r019,"R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Environmental Satellite, Data, and Information Service",R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),"National Environmental Satellite, Data, and Information Service",,4,40,31,28,-22.5,-10.2
1708,r020,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Marine Fisheries Service,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),National Marine Fisheries Service,,4,68,85,55,25.1,-34.9
1708,r021,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Ocean Service,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),National Ocean Service,,4,102,103,54,1.7,-47.5
1708,r022,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Weather Service,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),National Weather Service,,4,42,26,18,-37.4,-29.9
1708,r023,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> Office of Oceanic and Atmospheric Research,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),Office of Oceanic and Atmospheric Research,,4,613,531,335,-13.3,-36.9
1708,r024,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> Office of Marine and Aviation Operations,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),Office of Marine and Aviation Operations,,4,140,161,160,14.9,-0.6
1708,r025,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>c</sup>,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>c</sup>,,,3,600,593,481,-1.3,-18.8
1708,r026,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>c</sup> -> Land resources<sup>d</sup>,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>c</sup>,Land resources<sup>d</sup>,,4,NA,NA,NA,NA,NA
1708,r027,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>c</sup> -> Core science systems,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>c</sup>,Core science systems,,4,75,75,73,0.0,-2.7
1708,r028,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>c</sup> -> Ecosystems,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>c</sup>,Ecosystems,,4,217,217,141,0.0,-35.1
1708,r029,"R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>c</sup> -> Energy, minerals, and environmental health",R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>c</sup>,"Energy, minerals, and environmental health",,4,70,70,75,0.0,8.0
1708,r030,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>c</sup> -> Natural hazards,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>c</sup>,Natural hazards,,4,112,104,106,-7.1,2.5
1708,r031,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>c</sup> -> Water resources,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>c</sup>,Water resources,,4,126,126,85,0.0,-32.4
1708,r032,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,2383,2347,1689,-1.5,-28.1
1708,r033,R&D and R&D plant -> R&D -> Conservation and land management (302),R&D and R&D plant,R&D,Conservation and land management (302),,,3,412,414,341,0.5,-17.6
1708,r034,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of the Interior<sup>b</sup>,R&D and R&D plant,R&D,Conservation and land management (302),Department of the Interior<sup>b</sup>,,4,149,154,121,3.4,-21.4
1708,r035,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,,4,263,260,220,-1.1,-15.4
1708,r036,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,Forest Service,5,263,260,220,-1.1,-15.4
1708,r037,R&D and R&D plant -> R&D -> Pollution control and abatement (304),R&D and R&D plant,R&D,Pollution control and abatement (304),,,3,492,500,287,1.7,-42.6
1708,r038,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,,4,490,498,285,1.7,-42.8
1708,r039,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,5,1,1,1,0.0,-10.0
1708,r040,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,5,473,482,266,1.8,-44.7
1708,r041,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Superfund,5,16,16,18,0.0,14.8
