table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiariesa,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_foreign_government_agencies,field_foreign_universities_colleges_and_academic_researchers,field_all_other
2738,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['42,438', '  ']","['23,515', '  ']","['15,775', '  ']","['2,558', '  ']","['248', '  ']","['5', '  ']","['337', 'i ']"
2738,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['31,065', '  ']","['16,101', '  ']","['12,871', '  ']","['1,752', '  ']","['183 - 230', '  ']","['*', '  ']","['108 - 159', '  ']"
2738,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['317', '  ']","['82', 'i ']","['235', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2738,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['118', '  ']","['11', '  ']","['106', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2738,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['1', '  ']","['1', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2738,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['4', '  ']","['0', '  ']","['4', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2738,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1', '  ']","['*', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2738,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['3', '  ']","['0', '  ']","['3', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2738,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['189', '  ']","['171', '  ']","['18', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2738,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['10,716', '  ']","['2,697', '  ']","['6,811', '  ']","['1,190', '  ']","['0', '  ']","['*', '  ']","['19', '  ']"
2738,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['198', '  ']","['18', '  ']","['168', '  ']","['12', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2738,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['80', '  ']","['1', '  ']","['71 - 80', '  ']","['0 - 7', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2738,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['315 - 323', '  ']","['0', '  ']","['310 - 323', '  ']","['0 - 7', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']"
