table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
12717,r001,United States,United States,,1,108681008,59603993,5437566,27654829,6221128,6671012,3092480
12717,r002,United States -> Alabama,United States,Alabama,2,1579469,852721,76056,476377,90423,46777,37115
12717,r003,United States -> Alaska,United States,Alaska,2,241536,171438,9966,46631,6961,3456,3084
12717,r004,United States -> Arizona,United States,Arizona,2,1939790,828326,148673,630991,51044,132499,148257
12717,r005,United States -> Arkansas,United States,Arkansas,2,457800,193302,61055,160876,13496,13769,15302
12717,r006,United States -> California,United States,California,2,13473649,7190081,548596,2872732,876382,1383387,602471
12717,r007,United States -> Colorado,United States,Colorado,2,2084784,1542108,66741,198776,102949,104272,69938
12717,r008,United States -> Connecticut,United States,Connecticut,2,1757255,993818,8507,542244,91795,109772,11119
12717,r009,United States -> Delaware,United States,Delaware,2,461627,226636,17254,192620,5252,9372,10493
12717,r010,United States -> District of Columbia,United States,District of Columbia,2,925418,406272,10198,307302,28419,116079,57148
12717,r011,United States -> Florida,United States,Florida,2,3518895,1712962,328446,1165728,128936,126254,56569
12717,r012,United States -> Georgia,United States,Georgia,2,3663637,2235643,205443,864443,188903,150139,19066
12717,r013,United States -> Hawaii,United States,Hawaii,2,339716,215599,17577,79211,3887,21781,1661
12717,r014,United States -> Idaho,United States,Idaho,2,206438,106562,54409,36929,2877,1752,3909
12717,r015,United States -> Illinois,United States,Illinois,2,3476127,2115612,51323,868708,198082,199884,42518
12717,r016,United States -> Indiana,United States,Indiana,2,2146500,1019200,53597,730182,134786,134862,73873
12717,r017,United States -> Iowa,United States,Iowa,2,1102499,534285,42726,395602,55319,37995,36572
12717,r018,United States -> Kansas,United States,Kansas,2,1054041,437683,107614,259770,210400,23800,14774
12717,r019,United States -> Kentucky,United States,Kentucky,2,756549,384426,49123,231812,22083,19128,49977
12717,r020,United States -> Louisiana,United States,Louisiana,2,1064385,460634,99284,331518,114996,33805,24148
12717,r021,United States -> Maine,United States,Maine,2,211287,106897,20837,71504,5072,4457,2520
12717,r022,United States -> Maryland,United States,Maryland,2,5987528,4722204,115606,728844,167183,234170,19521
12717,r023,United States -> Massachusetts,United States,Massachusetts,2,5174742,2803574,49060,1239635,353929,551075,177469
12717,r024,United States -> Michigan,United States,Michigan,2,3368889,1745518,64733,1212840,156373,142391,47034
12717,r025,United States -> Minnesota,United States,Minnesota,2,1365645,717493,83872,404729,56733,42630,60188
12717,r026,United States -> Mississippi,United States,Mississippi,2,608155,314446,122058,148631,6855,14340,1825
12717,r027,United States -> Missouri,United States,Missouri,2,1873279,1105546,71821,402770,155769,118172,19201
12717,r028,United States -> Montana,United States,Montana,2,382015,228040,25393,115813,1406,6901,4462
12717,r029,United States -> Nebraska,United States,Nebraska,2,680337,316636,83759,193385,33839,28940,23778
12717,r030,United States -> Nevada,United States,Nevada,2,325781,144228,11970,145746,5134,5919,12784
12717,r031,United States -> New Hampshire,United States,New Hampshire,2,590539,321117,1077,218900,10886,28849,9710
12717,r032,United States -> New Jersey,United States,New Jersey,2,1717387,786394,155317,499280,64676,150522,61198
12717,r033,United States -> New Mexico,United States,New Mexico,2,564566,381404,42002,101507,10688,20218,8747
12717,r034,United States -> New York,United States,New York,2,9058400,4965967,303976,2070036,671872,656558,389991
12717,r035,United States -> North Carolina,United States,North Carolina,2,4344862,2545110,221023,900845,387926,227056,62902
12717,r036,United States -> North Dakota,United States,North Dakota,2,373912,120566,98723,127107,18730,2201,6585
12717,r037,United States -> Ohio,United States,Ohio,2,3392194,1983014,102089,854782,232119,148938,71252
12717,r038,United States -> Oklahoma,United States,Oklahoma,2,725008,306252,48667,322017,32707,13151,2214
12717,r039,United States -> Oregon,United States,Oregon,2,1095169,741264,71247,112983,63780,53905,51990
12717,r040,United States -> Pennsylvania,United States,Pennsylvania,2,5954796,3379254,124165,1618486,380254,297030,155607
12717,r041,United States -> Rhode Island,United States,Rhode Island,2,513818,355462,6749,93812,8286,38924,10585
12717,r042,United States -> South Carolina,United States,South Carolina,2,918964,447154,54225,328962,51644,22550,14429
12717,r043,United States -> South Dakota,United States,South Dakota,2,129045,61993,22579,22583,2454,4095,15341
12717,r044,United States -> Tennessee,United States,Tennessee,2,1972549,1072733,46239,658055,101062,66247,28213
12717,r045,United States -> Texas,United States,Texas,2,8330578,3560492,1055701,2360953,560247,485865,307320
12717,r046,United States -> Utah,United States,Utah,2,1264913,771302,33925,344224,60959,38890,15613
12717,r047,United States -> Vermont,United States,Vermont,2,238418,132575,647,86274,4622,7686,6614
12717,r048,United States -> Virginia,United States,Virginia,2,2297277,1060874,166858,765680,101569,113653,88643
12717,r049,United States -> Washington,United States,Washington,2,2160233,1421205,100606,220368,83780,278503,55771
12717,r050,United States -> West Virginia,United States,West Virginia,2,286551,137805,15109,104390,5487,4147,19613
12717,r051,United States -> Wisconsin,United States,Wisconsin,2,2215597,1030352,149015,692683,91176,190827,61544
12717,r052,United States -> Wyoming,United States,Wyoming,2,150124,68467,7464,67771,2848,1934,1640
12717,r053,United States -> Guam,United States,Guam,2,22388,18992,2252,1083,59,2,0
12717,r054,United States -> Puerto Rico,United States,Puerto Rico,2,115688,83228,1204,25699,3966,1409,182
12717,r055,United States -> Virgin Islands,United States,Virgin Islands,2,20259,19127,1010,NA,48,74,0
