table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_total,field_r_d,field_r_d_plant,field_total_by_performers_intramural_and_ffrdcs,field_total_by_performers_percentage_of_total,field_total_by_performers_extramural_performers,field_total_by_performers_percentage_of_total
1885,r001,All agencies,All agencies,,1,121626.6,118974.8,2651.8,44469.4,36.6,77157.2,63.4
1885,r002,All agencies -> Department of Defense,All agencies,Department of Defense,2,45163.8,44872.6,291.2,17266.1,38.2,27897.7,61.8
1885,r003,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,2,33901.8,33774.2,127.6,7921.9,23.4,25979.9,76.6
1885,r004,All agencies -> National Aeronautics and Space Administration,All agencies,National Aeronautics and Space Administration,2,12638.1,12594.6,43.4,3575.6,28.3,9062.5,71.7
1885,r005,All agencies -> Department of Energy,All agencies,Department of Energy,2,13583.9,12308.4,1275.5,9378.1,69.0,4205.9,31.0
1885,r006,All agencies -> National Science Foundation,All agencies,National Science Foundation,2,5945.7,5517.6,428.1,249.3,4.2,5696.4,95.8
1885,r007,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,2,2575.2,2418.5,156.8,1685.1,65.4,890.2,34.6
1885,r008,All agencies -> Department of Commerce,All agencies,Department of Commerce,2,1847.1,1612.5,234.6,1443.0,78.1,404.1,21.9
1885,r009,All agencies -> Department of Transportation,All agencies,Department of Transportation,2,987.0,948.6,38.4,296.2,30.0,690.8,70.0
1885,r010,All agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Patient-Centered Outcomes Research Trust Fund,2,883.9,883.9,0.0,0.0,0.0,883.9,100.0
1885,r011,All agencies -> Department of the Interior,All agencies,Department of the Interior,2,868.1,862.6,5.4,767.2,88.4,100.9,11.6
1885,r012,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,2,869.9,856.6,13.3,489.9,56.3,380.0,43.7
1885,r013,All agencies -> Department of Veterans Affairs,All agencies,Department of Veterans Affairs,2,682.3,682.3,0.0,682.3,100.0,0.0,0.0
1885,r014,All agencies -> Environmental Protection Agency,All agencies,Environmental Protection Agency,2,498.4,493.6,4.8,263.4,52.8,235.0,47.2
1885,r015,All agencies -> Department of Education,All agencies,Department of Education,2,261.8,261.8,0.0,10.6,4.0,251.3,96.0
1885,r016,All agencies -> Smithsonian Institution,All agencies,Smithsonian Institution,2,240.5,207.9,32.7,240.5,100.0,0.0,0.0
1885,r017,All agencies -> Agency for International Development,All agencies,Agency for International Development,2,192.2,192.2,0.0,10.9,5.7,181.3,94.3
1885,r018,All agencies -> Department of Justice,All agencies,Department of Justice,2,126.9,126.9,0.0,11.4,9.0,115.5,91.0
1885,r019,All agencies -> Social Security Administration,All agencies,Social Security Administration,2,109.5,109.5,0.0,31.2,28.5,78.3,71.5
1885,r020,All agencies -> All other agencies,All agencies,All other agencies,2,250.4,250.4,0.0,146.8,58.6,103.5,41.4
