table_id,row_id,time_period,_millions_level_1,_millions_level_2,_millions_hierarchy_depth,value
12588,r001,R&D obligations -> 1955,$millions,Total,2,2533
12588,r002,R&D obligations -> 1955,$millions,National defense,2,2151
12588,r003,R&D obligations -> 1955,$millions,Civilian functions,2,382
12588,r004,R&D obligations -> 1955,% distribution,Total,2,100.0
12588,r005,R&D obligations -> 1955,% distribution,National defense,2,84.9
12588,r006,R&D obligations -> 1955,% distribution,Civilian functions,2,15.1
12588,r007,R&D obligations -> 1956,$millions,Total,2,2988
12588,r008,R&D obligations -> 1956,$millions,National defense,2,2535
12588,r009,R&D obligations -> 1956,$millions,Civilian functions,2,453
12588,r010,R&D obligations -> 1956,% distribution,Total,2,100.0
12588,r011,R&D obligations -> 1956,% distribution,National defense,2,84.8
12588,r012,R&D obligations -> 1956,% distribution,Civilian functions,2,15.2
12588,r013,R&D obligations -> 1957,$millions,Total,2,3932
12588,r014,R&D obligations -> 1957,$millions,National defense,2,3327
12588,r015,R&D obligations -> 1957,$millions,Civilian functions,2,605
12588,r016,R&D obligations -> 1957,% distribution,Total,2,100.0
12588,r017,R&D obligations -> 1957,% distribution,National defense,2,84.6
12588,r018,R&D obligations -> 1957,% distribution,Civilian functions,2,15.4
12588,r019,R&D obligations -> 1958,$millions,Total,2,4570
12588,r020,R&D obligations -> 1958,$millions,National defense,2,3801
12588,r021,R&D obligations -> 1958,$millions,Civilian functions,2,769
12588,r022,R&D obligations -> 1958,% distribution,Total,2,100.0
12588,r023,R&D obligations -> 1958,% distribution,National defense,2,83.2
12588,r024,R&D obligations -> 1958,% distribution,Civilian functions,2,16.8
12588,r025,R&D obligations -> 1959,$millions,Total,2,6694
12588,r026,R&D obligations -> 1959,$millions,National defense,2,5556
12588,r027,R&D obligations -> 1959,$millions,Civilian functions,2,1138
12588,r028,R&D obligations -> 1959,% distribution,Total,2,100.0
12588,r029,R&D obligations -> 1959,% distribution,National defense,2,83.0
12588,r030,R&D obligations -> 1959,% distribution,Civilian functions,2,17.0
12588,r031,R&D obligations -> 1960,$millions,Total,2,7552
12588,r032,R&D obligations -> 1960,$millions,National defense,2,6107
12588,r033,R&D obligations -> 1960,$millions,Civilian functions,2,1445
12588,r034,R&D obligations -> 1960,% distribution,Total,2,100.0
12588,r035,R&D obligations -> 1960,% distribution,National defense,2,80.9
12588,r036,R&D obligations -> 1960,% distribution,Civilian functions,2,19.1
12588,r037,R&D obligations -> 1961,$millions,Total,2,9059
12588,r038,R&D obligations -> 1961,$millions,National defense,2,7005
12588,r039,R&D obligations -> 1961,$millions,Civilian functions,2,2054
12588,r040,R&D obligations -> 1961,% distribution,Total,2,100.0
12588,r041,R&D obligations -> 1961,% distribution,National defense,2,77.3
12588,r042,R&D obligations -> 1961,% distribution,Civilian functions,2,22.7
12588,r043,R&D obligations -> 1962,$millions,Total,2,10290
12588,r044,R&D obligations -> 1962,$millions,National defense,2,7238
12588,r045,R&D obligations -> 1962,$millions,Civilian functions,2,3052
12588,r046,R&D obligations -> 1962,% distribution,Total,2,100.0
12588,r047,R&D obligations -> 1962,% distribution,National defense,2,70.3
12588,r048,R&D obligations -> 1962,% distribution,Civilian functions,2,29.7
12588,r049,R&D obligations -> 1963,$millions,Total,2,12495
12588,r050,R&D obligations -> 1963,$millions,National defense,2,7764
12588,r051,R&D obligations -> 1963,$millions,Civilian functions,2,4731
12588,r052,R&D obligations -> 1963,% distribution,Total,2,100.0
12588,r053,R&D obligations -> 1963,% distribution,National defense,2,62.1
12588,r054,R&D obligations -> 1963,% distribution,Civilian functions,2,37.9
12588,r055,R&D obligations -> 1964,$millions,Total,2,14225
12588,r056,R&D obligations -> 1964,$millions,National defense,2,7829
12588,r057,R&D obligations -> 1964,$millions,Civilian functions,2,6396
12588,r058,R&D obligations -> 1964,% distribution,Total,2,100.0
12588,r059,R&D obligations -> 1964,% distribution,National defense,2,55.0
12588,r060,R&D obligations -> 1964,% distribution,Civilian functions,2,45.0
12588,r061,R&D obligations -> 1965,$millions,Total,2,14614
12588,r062,R&D obligations -> 1965,$millions,National defense,2,7342
12588,r063,R&D obligations -> 1965,$millions,Civilian functions,2,7272
12588,r064,R&D obligations -> 1965,% distribution,Total,2,100.0
12588,r065,R&D obligations -> 1965,% distribution,National defense,2,50.2
12588,r066,R&D obligations -> 1965,% distribution,Civilian functions,2,49.8
12588,r067,R&D obligations -> 1966,$millions,Total,2,15320
12588,r068,R&D obligations -> 1966,$millions,National defense,2,7536
12588,r069,R&D obligations -> 1966,$millions,Civilian functions,2,7784
12588,r070,R&D obligations -> 1966,% distribution,Total,2,100.0
12588,r071,R&D obligations -> 1966,% distribution,National defense,2,49.2
12588,r072,R&D obligations -> 1966,% distribution,Civilian functions,2,50.8
12588,r073,R&D obligations -> 1967,$millions,Total,2,16529
12588,r074,R&D obligations -> 1967,$millions,National defense,2,8566
12588,r075,R&D obligations -> 1967,$millions,Civilian functions,2,7963
12588,r076,R&D obligations -> 1967,% distribution,Total,2,100.0
12588,r077,R&D obligations -> 1967,% distribution,National defense,2,51.8
12588,r078,R&D obligations -> 1967,% distribution,Civilian functions,2,48.2
12588,r079,R&D obligations -> 1968,$millions,Total,2,15921
12588,r080,R&D obligations -> 1968,$millions,National defense,2,8275
12588,r081,R&D obligations -> 1968,$millions,Civilian functions,2,7646
12588,r082,R&D obligations -> 1968,% distribution,Total,2,100.0
12588,r083,R&D obligations -> 1968,% distribution,National defense,2,52.0
12588,r084,R&D obligations -> 1968,% distribution,Civilian functions,2,48.0
12588,r085,R&D obligations -> 1969,$millions,Total,2,15641
12588,r086,R&D obligations -> 1969,$millions,National defense,2,8356
12588,r087,R&D obligations -> 1969,$millions,Civilian functions,2,7285
12588,r088,R&D obligations -> 1969,% distribution,Total,2,100.0
12588,r089,R&D obligations -> 1969,% distribution,National defense,2,53.4
12588,r090,R&D obligations -> 1969,% distribution,Civilian functions,2,46.6
12588,r091,R&D obligations -> 1970,$millions,Total,2,15339
12588,r092,R&D obligations -> 1970,$millions,National defense,2,7981
12588,r093,R&D obligations -> 1970,$millions,Civilian functions,2,7358
12588,r094,R&D obligations -> 1970,% distribution,Total,2,100.0
12588,r095,R&D obligations -> 1970,% distribution,National defense,2,52.0
12588,r096,R&D obligations -> 1970,% distribution,Civilian functions,2,48.0
12588,r097,R&D obligations -> 1971,$millions,Total,2,15543
12588,r098,R&D obligations -> 1971,$millions,National defense,2,8110
12588,r099,R&D obligations -> 1971,$millions,Civilian functions,2,7433
12588,r100,R&D obligations -> 1971,% distribution,Total,2,100.0
12588,r101,R&D obligations -> 1971,% distribution,National defense,2,52.2
12588,r102,R&D obligations -> 1971,% distribution,Civilian functions,2,47.8
12588,r103,R&D obligations -> 1972,$millions,Total,2,16496
12588,r104,R&D obligations -> 1972,$millions,National defense,2,8902
12588,r105,R&D obligations -> 1972,$millions,Civilian functions,2,7594
12588,r106,R&D obligations -> 1972,% distribution,Total,2,100.0
12588,r107,R&D obligations -> 1972,% distribution,National defense,2,54.0
12588,r108,R&D obligations -> 1972,% distribution,Civilian functions,2,46.0
12588,r109,R&D obligations -> 1973,$millions,Total,2,16800
12588,r110,R&D obligations -> 1973,$millions,National defense,2,9002
12588,r111,R&D obligations -> 1973,$millions,Civilian functions,2,7798
12588,r112,R&D obligations -> 1973,% distribution,Total,2,100.0
12588,r113,R&D obligations -> 1973,% distribution,National defense,2,53.6
12588,r114,R&D obligations -> 1973,% distribution,Civilian functions,2,46.4
12588,r115,R&D obligations -> 1974,$millions,Total,2,17410
12588,r116,R&D obligations -> 1974,$millions,National defense,2,9016
12588,r117,R&D obligations -> 1974,$millions,Civilian functions,2,8394
12588,r118,R&D obligations -> 1974,% distribution,Total,2,100.0
12588,r119,R&D obligations -> 1974,% distribution,National defense,2,51.8
12588,r120,R&D obligations -> 1974,% distribution,Civilian functions,2,48.2
12588,r121,R&D obligations -> 1975,$millions,Total,2,19039
12588,r122,R&D obligations -> 1975,$millions,National defense,2,9679
12588,r123,R&D obligations -> 1975,$millions,Civilian functions,2,9360
12588,r124,R&D obligations -> 1975,% distribution,Total,2,100.0
12588,r125,R&D obligations -> 1975,% distribution,National defense,2,50.8
12588,r126,R&D obligations -> 1975,% distribution,Civilian functions,2,49.2
12588,r127,R&D obligations -> 1976,$millions,Total,2,20780
12588,r128,R&D obligations -> 1976,$millions,National defense,2,10430
12588,r129,R&D obligations -> 1976,$millions,Civilian functions,2,10350
12588,r130,R&D obligations -> 1976,% distribution,Total,2,100.0
12588,r131,R&D obligations -> 1976,% distribution,National defense,2,50.2
12588,r132,R&D obligations -> 1976,% distribution,Civilian functions,2,49.8
12588,r133,R&D obligations -> 1977,$millions,Total,2,23450
12588,r134,R&D obligations -> 1977,$millions,National defense,2,11864
12588,r135,R&D obligations -> 1977,$millions,Civilian functions,2,11586
12588,r136,R&D obligations -> 1977,% distribution,Total,2,100.0
12588,r137,R&D obligations -> 1977,% distribution,National defense,2,50.6
12588,r138,R&D obligations -> 1977,% distribution,Civilian functions,2,49.4
12588,r139,R&D budget authority -> 1978,$millions,Total,2,25976
12588,r140,R&D budget authority -> 1978,$millions,National defense,2,12899
12588,r141,R&D budget authority -> 1978,$millions,Civilian functions,2,13077
12588,r142,R&D budget authority -> 1978,% distribution,Total,2,100.0
12588,r143,R&D budget authority -> 1978,% distribution,National defense,2,49.7
12588,r144,R&D budget authority -> 1978,% distribution,Civilian functions,2,50.3
12588,r145,R&D budget authority -> 1979,$millions,Total,2,28208
12588,r146,R&D budget authority -> 1979,$millions,National defense,2,13791
12588,r147,R&D budget authority -> 1979,$millions,Civilian functions,2,14417
12588,r148,R&D budget authority -> 1979,% distribution,Total,2,100.0
12588,r149,R&D budget authority -> 1979,% distribution,National defense,2,48.9
12588,r150,R&D budget authority -> 1979,% distribution,Civilian functions,2,51.1
12588,r151,R&D budget authority -> 1980,$millions,Total,2,29739
12588,r152,R&D budget authority -> 1980,$millions,National defense,2,14946
12588,r153,R&D budget authority -> 1980,$millions,Civilian functions,2,14793
12588,r154,R&D budget authority -> 1980,% distribution,Total,2,100.0
12588,r155,R&D budget authority -> 1980,% distribution,National defense,2,50.3
12588,r156,R&D budget authority -> 1980,% distribution,Civilian functions,2,49.7
12588,r157,R&D budget authority -> 1981,$millions,Total,2,33735
12588,r158,R&D budget authority -> 1981,$millions,National defense,2,18413
12588,r159,R&D budget authority -> 1981,$millions,Civilian functions,2,15322
12588,r160,R&D budget authority -> 1981,% distribution,Total,2,100.0
12588,r161,R&D budget authority -> 1981,% distribution,National defense,2,54.6
12588,r162,R&D budget authority -> 1981,% distribution,Civilian functions,2,45.4
12588,r163,R&D budget authority -> 1982,$millions,Total,2,36115
12588,r164,R&D budget authority -> 1982,$millions,National defense,2,22070
12588,r165,R&D budget authority -> 1982,$millions,Civilian functions,2,14045
12588,r166,R&D budget authority -> 1982,% distribution,Total,2,100.0
12588,r167,R&D budget authority -> 1982,% distribution,National defense,2,61.1
12588,r168,R&D budget authority -> 1982,% distribution,Civilian functions,2,38.9
12588,r169,R&D budget authority -> 1983,$millions,Total,2,38768
12588,r170,R&D budget authority -> 1983,$millions,National defense,2,24936
12588,r171,R&D budget authority -> 1983,$millions,Civilian functions,2,13832
12588,r172,R&D budget authority -> 1983,% distribution,Total,2,100.0
12588,r173,R&D budget authority -> 1983,% distribution,National defense,2,64.3
12588,r174,R&D budget authority -> 1983,% distribution,Civilian functions,2,35.7
12588,r175,R&D budget authority -> 1984,$millions,Total,2,44214
12588,r176,R&D budget authority -> 1984,$millions,National defense,2,29287
12588,r177,R&D budget authority -> 1984,$millions,Civilian functions,2,14927
12588,r178,R&D budget authority -> 1984,% distribution,Total,2,100.0
12588,r179,R&D budget authority -> 1984,% distribution,National defense,2,66.2
12588,r180,R&D budget authority -> 1984,% distribution,Civilian functions,2,33.8
12588,r181,R&D budget authority -> 1985,$millions,Total,2,49887
12588,r182,R&D budget authority -> 1985,$millions,National defense,2,33698
12588,r183,R&D budget authority -> 1985,$millions,Civilian functions,2,16189
12588,r184,R&D budget authority -> 1985,% distribution,Total,2,100.0
12588,r185,R&D budget authority -> 1985,% distribution,National defense,2,67.5
12588,r186,R&D budget authority -> 1985,% distribution,Civilian functions,2,32.5
12588,r187,R&D budget authority -> 1986,$millions,Total,2,53249
