table_id,row_id,_b_industry_and_size_of_company_b_full_path,_b_industry_and_size_of_company_b_level_1,_b_industry_and_size_of_company_b_level_2,_b_industry_and_size_of_company_b_level_3,_b_industry_and_size_of_company_b_hierarchy_depth,field_services_innovation_2016_18,field_services_innovation_2017_19,field_goods_innovation_2016_18,field_goods_innovation_2017_19
8034,r001,Industry,Industry,,,1,"['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']"
8034,r002,All industries,All industries,,,1,"['15.1', '&#160;']","['8.0', '&#160;']","['7.4', '&#160;']","['6.4', '&#160;']"
8034,r003,All industries -> Manufacturing industries,All industries,Manufacturing industries,,2,"['7.9', '&#160;']","['7.8', '&#160;']","['18.7', '&#160;']","['14.1', '&#160;']"
8034,r004,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,2,"['15.4', '&#160;']","['6.0', '&#160;']","['6.9', '&#160;']","['6.0', '&#160;']"
8034,r005,Employment size,Employment size,,,1,"['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']"
8034,r006,All companies,All companies,,,1,"['15.1', '&#160;']","['8.0', '&#160;']","['7.4', '&#160;']","['6.4', '&#160;']"
8034,r007,All companies -> Microbusinesses,All companies,Microbusinesses,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
8034,r008,All companies -> Microbusinesses -> 1&#8211;4,All companies,Microbusinesses,1&#8211;4,3,"['15.9', '&#160;']","['7.5', '&#160;']","['6.4', '&#160;']","['5.5', '&#160;']"
8034,r009,All companies -> Microbusinesses -> 5&#8211;9,All companies,Microbusinesses,5&#8211;9,3,"['15.4', '&#160;']","['8.6', '&#160;']","['8.5', '&#160;']","['7.3', '&#160;']"
8034,r010,All companies -> Small businesses,All companies,Small businesses,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
8034,r011,All companies -> Small businesses -> 10&#8211;19,All companies,Small businesses,10&#8211;19,3,"['13.9', '&#160;']","['9.2', '&#160;']","['9.0', '&#160;']","['7.9', '&#160;']"
8034,r012,All companies -> Small businesses -> 20&#8211;49,All companies,Small businesses,20&#8211;49,3,"['12.3', '&#160;']","['8.2', '&#160;']","['8.2', '&#160;']","['7.0', '&#160;']"
8034,r013,All companies -> Medium businesses,All companies,Medium businesses,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
8034,r014,All companies -> Medium businesses -> 50&#8211;99,All companies,Medium businesses,50&#8211;99,3,"['12.0', '&#160;']","['8.3', '&#160;']","['9.1', '&#160;']","['7.4', '&#160;']"
8034,r015,All companies -> Medium businesses -> 100&#8211;249,All companies,Medium businesses,100&#8211;249,3,"['11.5', '&#160;']","['7.5', '&#160;']","['8.6', '&#160;']","['7.8', '&#160;']"
8034,r016,All companies -> Large businesses,All companies,Large businesses,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
8034,r017,All companies -> Large businesses -> 250&#8211;499,All companies,Large businesses,250&#8211;499,3,"['10.7', '&#160;']","['9.4', '&#160;']","['9.3', '&#160;']","['9.4', '&#160;']"
8034,r018,All companies -> Large businesses -> 500&#8211;999,All companies,Large businesses,500&#8211;999,3,"['12.9', '&#160;']","['8.6', '&#160;']","['11.6', '&#160;']","['10.1', '&#160;']"
8034,r019,"All companies -> Large businesses -> 1,000&#8211;4,999",All companies,Large businesses,"1,000&#8211;4,999",3,"['14.7', '&#160;']","['13.0', 'r']","['11.2', '&#160;']","['11.8', 'r']"
8034,r020,"All companies -> Large businesses -> 5,000&#8211;9,999",All companies,Large businesses,"5,000&#8211;9,999",3,"['16.5', '&#160;']","['16.1', '&#160;']","['21.0', '&#160;']","['17.7', '&#160;']"
8034,r021,"All companies -> Large businesses -> 10,000&#8211;24,999",All companies,Large businesses,"10,000&#8211;24,999",3,"['22.6', '&#160;']","['23.0', '&#160;']","['21.4', '&#160;']","['19.2', '&#160;']"
8034,r022,"All companies -> Large businesses -> 25,000 or more",All companies,Large businesses,"25,000 or more",3,"['25.4', '&#160;']","['26.6', '&#160;']","['20.7', '&#160;']","['21.8', '&#160;']"
