table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_d_expendituresa,field_intramural_performersb,field_extramural_performersc_total,field_extramural_performersc_academic_institutions,field_extramural_performersc_companies_and_individualsd,field_extramural_performersc_othere
2377,r001,United States<sup>f</sup>,United States<sup>f</sup>,,1,2426883,676171,1750712,1024317,438222,288173
2377,r002,United States<sup>f</sup> -> Alabama,United States<sup>f</sup>,Alabama,2,19763,7413,12350,6602,143,5605
2377,r003,United States<sup>f</sup> -> Alaska,United States<sup>f</sup>,Alaska,2,12502,8921,3582,816,2412,353
2377,r004,United States<sup>f</sup> -> Arizona,United States<sup>f</sup>,Arizona,2,17332,761,16571,11069,900,4602
2377,r005,United States<sup>f</sup> -> Arkansas,United States<sup>f</sup>,Arkansas,2,21099,66,21033,20577,448,9
2377,r006,United States<sup>f</sup> -> California,United States<sup>f</sup>,California,2,526919,73081,453837,159255,187118,107465
2377,r007,United States<sup>f</sup> -> Colorado,United States<sup>f</sup>,Colorado,2,36587,11901,24686,11714,12536,435
2377,r008,United States<sup>f</sup> -> Connecticut,United States<sup>f</sup>,Connecticut,2,57241,24680,32561,12121,18862,1578
2377,r009,United States<sup>f</sup> -> Delaware,United States<sup>f</sup>,Delaware,2,3826,2559,1268,742,449,76
2377,r010,United States<sup>f</sup> -> District of Columbia,United States<sup>f</sup>,District of Columbia,2,4222,1889,2334,882,1252,200
2377,r011,United States<sup>f</sup> -> Florida,United States<sup>f</sup>,Florida,2,170509,50605,119904,72946,4606,42353
2377,r012,United States<sup>f</sup> -> Georgia,United States<sup>f</sup>,Georgia,2,18875,3540,15336,10179,2801,2356
2377,r013,United States<sup>f</sup> -> Hawaii,United States<sup>f</sup>,Hawaii,2,7326,258,7068,1560,5012,496
2377,r014,United States<sup>f</sup> -> Idaho,United States<sup>f</sup>,Idaho,2,17828,6710,11119,7096,182,3840
2377,r015,United States<sup>f</sup> -> Illinois,United States<sup>f</sup>,Illinois,2,17549,1171,16377,12314,158,3906
2377,r016,United States<sup>f</sup> -> Indiana,United States<sup>f</sup>,Indiana,2,12357,168,12189,11273,917,0
2377,r017,United States<sup>f</sup> -> Iowa,United States<sup>f</sup>,Iowa,2,9387,3279,6107,5782,308,17
2377,r018,United States<sup>f</sup> -> Kansas,United States<sup>f</sup>,Kansas,2,12355,998,11357,9557,42,1758
2377,r019,United States<sup>f</sup> -> Kentucky,United States<sup>f</sup>,Kentucky,2,26668,2038,24630,20153,4477,0
