table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_hierarchy_depth,field_all_citizenship_categories_all_s_e_postdoctoral_fellows,field_all_citizenship_categories_female,field_all_citizenship_categories_male,field_u_s_citizens_and_permanent_residents_all_s_e_postdoctoral_fellows,field_u_s_citizens_and_permanent_residents_female,field_u_s_citizens_and_permanent_residents_male,field_temporary_residents_all_s_e_postdoctoral_fellows,field_temporary_residents_female,field_temporary_residents_male
3265,r001,All S&E postdoctoral fellows,All S&E postdoctoral fellows,,,,1,45478,16683,28795,20103,8512,11591,25375,8171,17204
3265,r002,All S&E postdoctoral fellows -> Science,All S&E postdoctoral fellows,Science,,,2,37564,14815,22749,17447,7755,9692,20117,7060,13057
3265,r003,All S&E postdoctoral fellows -> Science -> Agricultural sciences,All S&E postdoctoral fellows,Science,Agricultural sciences,,3,1072,447,625,480,234,246,592,213,379
3265,r004,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,,3,21533,9536,11997,9768,4707,5061,11765,4829,6936
3265,r005,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biochemistry,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biochemistry,4,1943,725,1218,805,315,490,1138,410,728
3265,r006,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biology ,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biology ,4,2108,911,1197,1126,537,589,982,374,608
3265,r007,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biomedical sciences,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biomedical sciences,4,1941,913,1028,629,304,325,1312,609,703
3265,r008,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biophysics,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biophysics,4,151,48,103,48,14,34,103,34,69
3265,r009,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,699,252,447,297,112,185,402,140,262
3265,r010,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biotechnology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biotechnology,4,86,27,59,34,9,25,52,18,34
3265,r011,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Botany and plant biology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Botany and plant biology,4,620,244,376,337,135,202,283,109,174
3265,r012,"All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All S&E postdoctoral fellows,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,1814,821,993,790,395,395,1024,426,598
3265,r013,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Ecology and population biology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Ecology and population biology,4,446,202,244,295,151,144,151,51,100
3265,r014,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Epidemiology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Epidemiology,4,230,149,81,160,112,48,70,37,33
3265,r015,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Genetics,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Genetics,4,1428,653,775,651,323,328,777,330,447
3265,r016,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,2078,999,1079,930,522,408,1148,477,671
3265,r017,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Molecular biology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Molecular biology,4,521,208,313,216,97,119,305,111,194
3265,r018,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,2103,962,1141,997,480,517,1106,482,624
3265,r019,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Nutrition science,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Nutrition science,4,180,99,81,89,52,37,91,47,44
3265,r020,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,1145,518,627,491,228,263,654,290,364
3265,r021,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,1012,420,592,437,192,245,575,228,347
3265,r022,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Physiology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Physiology,4,1766,833,933,764,394,370,1002,439,563
