table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10104,r001,All R&D fields,All R&D fields,,,,1,23809028,24506142,25586784,27531635,29200310,30673160,32948674,34900243,37163893,39027793,40195723,40578804,43709060
10104,r002,All R&D fields -> Science,All R&D fields,Science,,,2,18270250,18582380,19417860,20844018,22361727,23526510,25143562,26732685,28499704,29869523,30815204,31242239,33439948
10104,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,462704,448206,461891,515569,536901,542399,636087,694698,767621,842714,924747,958517,1040182
10104,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,977987,971968,969612,1100260,1177643,1180177,1091038,1105544,1111248,1118701,1172730,1150327,1211533
10104,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,90667,97535,87634,95765,112147,120219,113396,120136,122304,129922,141786,140314,140850
10104,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,348875,342724,350160,395597,418477,414470,393192,398414,433950,444692,462412,469638,495157
10104,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,354927,343778,351584,389199,408321,402440,432824,441832,412190,402367,423679,395040,425585
10104,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,183518,187931,180234,219699,238698,243048,151626,145162,142804,141720,144853,145335,149941
10104,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,13282124,13674114,14446569,15329592,16668389,17605229,19064204,20348974,21741690,22791200,23385186,23903005,25539490
10104,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,2053440,2074100,2162369,2236681,2296963,2382663,2310427,2296289,2356617,2437010,2551645,2452544,2669754
