table_id,row_id,_b_sex_citizenship_ethnicity_and_race_b_full_path,_b_sex_citizenship_ethnicity_and_race_b_level_1,_b_sex_citizenship_ethnicity_and_race_b_level_2,_b_sex_citizenship_ethnicity_and_race_b_level_3,_b_sex_citizenship_ethnicity_and_race_b_level_4,_b_sex_citizenship_ethnicity_and_race_b_level_5,_b_sex_citizenship_ethnicity_and_race_b_hierarchy_depth,field_full_time_all_full_time_total_number,field_full_time_all_full_time_total_percent,field_full_time_all_full_time_master_s_number,field_full_time_all_full_time_master_s_percent,field_full_time_all_full_time_doctoral_number,field_full_time_all_full_time_doctoral_percent,field_full_time_first_time_full_time_all_first_time_full_time_number,field_full_time_first_time_full_time_all_first_time_full_time_percent,field_full_time_first_time_full_time_master_s_number,field_full_time_first_time_full_time_master_s_percent,field_full_time_first_time_full_time_doctoral_number,field_full_time_first_time_full_time_doctoral_percent,field_part_time_all_part_time_number,field_part_time_all_part_time_percent,field_part_time_master_s_number,field_part_time_master_s_percent,field_part_time_doctoral_number,field_part_time_doctoral_percent
3497,r001,All individuals,All individuals,,,,,1,502442,100.0,254532,100.0,247910,100.0,163032,100.0,116507,100.0,46525,100.0,187675,100.0,153696,100.0,33979,100.0
3497,r002,All individuals -> Male,All individuals,Male,,,,2,263941,52.5,123385,48.5,140556,56.7,81974,50.3,56573,48.6,25401,54.6,101054,53.8,82383,53.6,18671,54.9
3497,r003,All individuals -> Female,All individuals,Female,,,,2,238501,47.5,131147,51.5,107354,43.3,81058,49.7,59934,51.4,21124,45.4,86621,46.2,71313,46.4,15308,45.1
3497,r004,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,,2,297997,59.3,154190,60.6,143807,58.0,96074,58.9,68897,59.1,27177,58.4,158507,84.5,133180,86.7,25327,74.5
3497,r005,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,3,35983,7.2,20595,8.1,15388,6.2,12301,7.5,9034,7.8,3267,7.0,18484,9.8,16182,10.5,2302,6.8
3497,r006,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,,,
3497,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,1359,0.3,746,0.3,613,0.2,429,0.3,314,0.3,115,0.2,718,0.4,581,0.4,137,0.4
3497,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,32316,6.4,16900,6.6,15416,6.2,11495,7.1,8487,7.3,3008,6.5,16528,8.8,14401,9.4,2127,6.3
3497,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,21955,4.4,13983,5.5,7972,3.2,7825,4.8,6188,5.3,1637,3.5,16093,8.6,13615,8.9,2478,7.3
3497,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,444,0.1,285,0.1,159,0.1,160,0.1,136,0.1,24,0.1,300,0.2,257,0.2,43,0.1
3497,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,4,181065,36.0,88477,34.8,92588,37.3,56122,34.4,39055,33.5,17067,36.7,91480,48.7,75359,49.0,16121,47.4
3497,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,4,10827,2.2,5548,2.2,5279,2.1,3545,2.2,2498,2.1,1047,2.3,4786,2.6,4045,2.6,741,2.2
3497,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,,3,14048,2.8,7656,3.0,6392,2.6,4197,2.6,3185,2.7,1012,2.2,10118,5.4,8740,5.7,1378,4.1
3497,r014,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,,2,204445,40.7,100342,39.4,104103,42.0,66958,41.1,47610,40.9,19348,41.6,29168,15.5,20516,13.3,8652,25.5
3497,r015,All individuals -> Male,All individuals,Male,,,,2,,,,,,,,,,,,,,,,,,
3497,r016,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,,,3,135890,27.0,62191,24.4,73699,29.7,41371,25.4,28005,24.0,13366,28.7,82447,43.9,69495,45.2,12952,38.1
3497,r017,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,15240,3.0,7630,3.0,7610,3.1,4952,3.0,3360,2.9,1592,3.4,8824,4.7,7748,5.0,1076,3.2
3497,r018,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,
3497,r019,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,538,0.1,289,0.1,249,0.1,162,0.1,117,0.1,45,0.1,293,0.2,243,0.2,50,0.1
3497,r020,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,15906,3.2,7908,3.1,7998,3.2,5495,3.4,3989,3.4,1506,3.2,9547,5.1,8407,5.5,1140,3.4
3497,r021,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,7761,1.5,4648,1.8,3113,1.3,2640,1.6,2021,1.7,619,1.3,6964,3.7,5945,3.9,1019,3.0
3497,r022,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,196,0.05,125,0.05,71,0.05,72,0.05,58,0.05,14,0.05,148,0.1,129,0.1,19,0.1
3497,r023,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,84915,16.9,36277,14.3,48638,19.6,24721,15.2,16136,13.8,8585,18.5,49312,26.3,40756,26.5,8556,25.2
3497,r024,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,4768,0.9,2215,0.9,2553,1.0,1511,0.9,1017,0.9,494,1.1,2350,1.3,1998,1.3,352,1.0
3497,r025,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,6566,1.3,3099,1.2,3467,1.4,1818,1.1,1307,1.1,511,1.1,5009,2.7,4269,2.8,740,2.2
3497,r026,All individuals -> Male -> Temporary visa holders,All individuals,Male,Temporary visa holders,,,3,128051,25.5,61194,24.0,66857,27.0,40603,24.9,28568,24.5,12035,25.9,18607,9.9,12888,8.4,5719,16.8
3497,r027,All individuals -> Female,All individuals,Female,,,,2,,,,,,,,,,,,,,,,,,
3497,r028,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,,,3,162107,32.3,91999,36.1,70108,28.3,54703,33.6,40892,35.1,13811,29.7,76060,40.5,63685,41.4,12375,36.4
