table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_other_purchased_services_except_r_d_,field_other
730,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['296,677', '&nbsp;']","['171,715', '&nbsp;']","['19,059', '&nbsp;']","['12,711', '&nbsp;']","['4,868', '&nbsp;']","['21,210', '&nbsp;']","['4,829', '&nbsp;']","['11,348', '&nbsp;']","['6,172', '&nbsp;']","['44,764', '&nbsp;']"
730,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['195,792', '&nbsp;']","['107,556', '&nbsp;']","['8,508', '&nbsp;']","['7,232', '&nbsp;']","['3,126', '&nbsp;']","['18,289', '&nbsp;']","['2,618', '&nbsp;']","['8,268', '&nbsp;']","['4,650', '&nbsp;']","['35,545', '&nbsp;']"
730,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,644', '&nbsp;']","['2,814', 'i']","['89', 'i']","['93', 'i']","['21', 'i']","['354', 'i']","['40', 'i']","['207', 'i']","['162', 'i']","['864', 'i']"
730,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['885', '&nbsp;']","['459', '&nbsp;']","['14', '&nbsp;']","['25', '&nbsp;']","['3', '&nbsp;']","['64', '&nbsp;']","['2', '&nbsp;']","['37', '&nbsp;']","['1', '&nbsp;']","['280', '&nbsp;']"
730,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['715', '&nbsp;']","['473', '&nbsp;']","['10', '&nbsp;']","['16', '&nbsp;']","['4', '&nbsp;']","['84', '&nbsp;']","['5', '&nbsp;']","['17', '&nbsp;']","['14', '&nbsp;']","['93', '&nbsp;']"
730,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['188', '&nbsp;']","['124', '&nbsp;']","['0', '&nbsp;']","['9', '&nbsp;']","['2', '&nbsp;']","['40', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']","['7', '&nbsp;']"
730,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['763', '&nbsp;']","['315', 'i']","['*', 'i']","['7', 'i']","['3', 'i']","['351', 'i']","['2', 'i']","['8', 'i']","['5', 'i']","['70', 'i']"
730,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['189', 'i']","['138', 'i']","['2', 'i']","['5', 'i']","['1', 'i']","['13', 'i']","['6', 'i']","['9', 'i']","['*', '&nbsp;']","['15', 'i']"
730,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['200', '&nbsp;']","['129', '&nbsp;']","['*', '&nbsp;']","['11', '&nbsp;']","['1', '&nbsp;']","['18', '&nbsp;']","['4', '&nbsp;']","['7', '&nbsp;']","['7', '&nbsp;']","['22', '&nbsp;']"
730,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['58,769', '&nbsp;']","['27,874', '&nbsp;']","['2,815', '&nbsp;']","['2,895', '&nbsp;']","['300', '&nbsp;']","['5,156', '&nbsp;']","['892', '&nbsp;']","['2,646', '&nbsp;']","['1,430', '&nbsp;']","['14,761', '&nbsp;']"
