table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_median_salary_,field_female_number,field_female_median_salary_,field_male_number,field_male_median_salary_
1634,r132,Non-S&E occupations -> Non-S&E postsecondary teachers -> English,Non-S&E occupations,Non-S&E postsecondary teachers,English,,3,11000,s,s,s,s,s
1634,r133,Non-S&E occupations -> Non-S&E postsecondary teachers -> Foreign language,Non-S&E occupations,Non-S&E postsecondary teachers,Foreign language,,3,6000,69000,2000,67000,4000,70000
1634,r134,Non-S&E occupations -> Non-S&E postsecondary teachers -> History,Non-S&E occupations,Non-S&E postsecondary teachers,History,,3,3000,s,s,s,s,s
1634,r135,Non-S&E occupations -> Non-S&E postsecondary teachers -> Physical education,Non-S&E occupations,Non-S&E postsecondary teachers,Physical education,,3,s,s,s,s,s,s
1634,r136,Non-S&E occupations -> Non-S&E postsecondary teachers -> Other postsecondary fields,Non-S&E occupations,Non-S&E postsecondary teachers,Other postsecondary fields,,3,15000,65000,4000,70000,11000,62000
1634,r137,Non-S&E occupations -> Social services and related occupations,Non-S&E occupations,Social services and related occupations,,,2,394000,43000,289000,42000,105000,43000
1634,r138,Non-S&E occupations -> Social services and related occupations -> Clergy and other religious workers,Non-S&E occupations,Social services and related occupations,Clergy and other religious workers,,3,31000,40000,s,s,26000,39000
1634,r139,"Non-S&E occupations -> Social services and related occupations -> Counselors (e.g., educational, vocational, mental health, substance abuse)",Non-S&E occupations,Social services and related occupations,"Counselors (e.g., educational, vocational, mental health, substance abuse)",,3,174000,46000,137000,47000,37000,45000
1634,r140,Non-S&E occupations -> Social workers,Non-S&E occupations,Social workers,,,2,189000,41000,147000,40000,42000,44000
1634,r141,Non-S&E occupations -> Sales and marketing occupations,Non-S&E occupations,Sales and marketing occupations,,,2,805000,70000,317000,59000,488000,70000
1634,r142,"Non-S&E occupations -> Insurance, securities, real estate, and business services",Non-S&E occupations,"Insurance, securities, real estate, and business services",,,2,210000,80000,102000,68000,107000,102000
1634,r143,"Non-S&E occupations -> Insurance, securities, real estate, and business services -> Sales &#8212; commodities except retail (e.g., industrial, medical, dental machinery, equipment, supplies)",Non-S&E occupations,"Insurance, securities, real estate, and business services","Sales &#8212; commodities except retail (e.g., industrial, medical, dental machinery, equipment, supplies)",,3,150000,96000,29000,71000,121000,99000
1634,r144,"Non-S&E occupations -> Insurance, securities, real estate, and business services -> Sales &#8212; retail (e.g., furnishings, clothing, motor vehicles, cosmetics)",Non-S&E occupations,"Insurance, securities, real estate, and business services","Sales &#8212; retail (e.g., furnishings, clothing, motor vehicles, cosmetics)",,3,188000,38000,62000,30000,126000,39000
1634,r145,"Non-S&E occupations -> Insurance, securities, real estate, and business services -> Other marketing and sales occupations",Non-S&E occupations,"Insurance, securities, real estate, and business services",Other marketing and sales occupations,,3,257000,75000,124000,71000,134000,80000
1634,r146,"Non-S&E occupations -> Art, humanities, and related occupations",Non-S&E occupations,"Art, humanities, and related occupations",,,2,161000,72000,79000,74000,82000,71000
1634,r147,"Non-S&E occupations -> Art, humanities, and related occupations -> Writers, editors, public relations specialists, artists, entertainers, broadcasters",Non-S&E occupations,"Art, humanities, and related occupations","Writers, editors, public relations specialists, artists, entertainers, broadcasters",,3,160000,72000,79000,74000,81000,70000
1634,r148,"Non-S&E occupations -> Art, humanities, and related occupations -> Historians",Non-S&E occupations,"Art, humanities, and related occupations",Historians,,3,s,s,s,s,s,s
1634,r149,Non-S&E occupations -> Other non-S&E occupations,Non-S&E occupations,Other non-S&E occupations,,,2,1794000,45000,875000,40000,919000,50000
1634,r150,Non-S&E occupations -> Other non-S&E occupations -> Accounting clerks and bookkeepers,Non-S&E occupations,Other non-S&E occupations,Accounting clerks and bookkeepers,,3,104000,40000,95000,39000,9000,53000
1634,r151,"Non-S&E occupations -> Other non-S&E occupations -> Secretaries, receptionists, typists",Non-S&E occupations,Other non-S&E occupations,"Secretaries, receptionists, typists",,3,111000,39000,105000,37000,6000,45000
1634,r152,"Non-S&E occupations -> Other non-S&E occupations -> Other administrative (e.g., record clerks, telephone operators)",Non-S&E occupations,Other non-S&E occupations,"Other administrative (e.g., record clerks, telephone operators)",,3,387000,42000,234000,41000,153000,48000
1634,r153,"Non-S&E occupations -> Other non-S&E occupations -> Farmers, foresters, and fishermen",Non-S&E occupations,Other non-S&E occupations,"Farmers, foresters, and fishermen",,3,87000,40000,10000,44000,77000,39000
1634,r154,"Non-S&E occupations -> Other non-S&E occupations -> Lawyers, judges",Non-S&E occupations,Other non-S&E occupations,"Lawyers, judges",,3,41000,93000,15000,93000,26000,s
1634,r155,"Non-S&E occupations -> Other non-S&E occupations -> Librarians, archivists, curators",Non-S&E occupations,Other non-S&E occupations,"Librarians, archivists, curators",,3,22000,47000,16000,s,6000,72000
1634,r156,"Non-S&E occupations -> Other non-S&E occupations -> Food preparation and service (e.g., cooks, waitresses, bartenders)",Non-S&E occupations,Other non-S&E occupations,"Food preparation and service (e.g., cooks, waitresses, bartenders)",,3,92000,25000,48000,24000,44000,26000
1634,r157,"Non-S&E occupations -> Other non-S&E occupations -> Protective services (e.g., firefighters, police, guards, wardens, park rangers)",Non-S&E occupations,Other non-S&E occupations,"Protective services (e.g., firefighters, police, guards, wardens, park rangers)",,3,125000,65000,30000,60000,95000,72000
1634,r158,"Non-S&E occupations -> Other non-S&E occupations -> Other service occupations, except health (e.g., probation officer, human services work)",Non-S&E occupations,Other non-S&E occupations,"Other service occupations, except health (e.g., probation officer, human services work)",,3,216000,43000,108000,41000,108000,45000
1634,r159,"Non-S&E occupations -> Other non-S&E occupations -> Other teachers and instructors (e.g., private tutors, dance, flying, martial arts)",Non-S&E occupations,Other non-S&E occupations,"Other teachers and instructors (e.g., private tutors, dance, flying, martial arts)",,3,62000,43000,40000,39000,22000,64000
1634,r160,Non-S&E occupations -> Other non-S&E occupations -> Construction and extraction occupations,Non-S&E occupations,Other non-S&E occupations,Construction and extraction occupations,,3,31000,59000,4000,76000,28000,55000
1634,r161,"Non-S&E occupations -> Other non-S&E occupations -> Installation, maintenance, and repair occupations",Non-S&E occupations,Other non-S&E occupations,"Installation, maintenance, and repair occupations",,3,100000,50000,2000,s,98000,49000
1634,r162,"Non-S&E occupations -> Other non-S&E occupations -> Precision or production occupations (e.g., metal or wood workers, butchers, bakers, assemblers, tailors)",Non-S&E occupations,Other non-S&E occupations,"Precision or production occupations (e.g., metal or wood workers, butchers, bakers, assemblers, tailors)",,3,60000,47000,13000,33000,47000,48000
1634,r163,Non-S&E occupations -> Other non-S&E occupations -> Transportation and material moving occupations,Non-S&E occupations,Other non-S&E occupations,Transportation and material moving occupations,,3,103000,39000,6000,42000,97000,39000
1634,r164,Non-S&E occupations -> Other non-S&E occupations -> Other occupations,Non-S&E occupations,Other non-S&E occupations,Other occupations,,3,252000,50000,150000,44000,103000,60000
