table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_median_salary_,field_female_number,field_female_median_salary_,field_male_number,field_male_median_salary_
1634,r022,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers &#8212; computer and mathematical sciences -> Computer science,S&E occupations,Computer and mathematical scientists,Postsecondary teachers &#8212; computer and mathematical sciences,Computer science,4,17000,96000,4000,95000,14000,93000
1634,r023,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers &#8212; computer and mathematical sciences -> Mathematics and statistics,S&E occupations,Computer and mathematical scientists,Postsecondary teachers &#8212; computer and mathematical sciences,Mathematics and statistics,4,41000,65000,15000,70000,26000,64000
1634,r024,"S&E occupations -> Biological, agricultural, and environmental life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",,,2,464000,56000,203000,55000,261000,60000
1634,r025,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Agricultural and food scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Agricultural and food scientists,,3,35000,59000,12000,43000,23000,69000
1634,r026,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,,3,344000,55000,155000,55000,190000,55000
1634,r027,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biochemists and biophysicists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Biochemists and biophysicists,4,60000,52000,23000,49000,36000,54000
1634,r028,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biological scientists (e.g., botanists, ecologists, zoologists)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,"Biological scientists (e.g., botanists, ecologists, zoologists)",4,123000,54000,51000,49000,72000,54000
1634,r029,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Medical scientists (excluding practitioners)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Medical scientists (excluding practitioners),4,100000,55000,47000,55000,53000,54000
1634,r030,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Other biological and life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Other biological and life scientists,4,62000,71000,33000,67000,29000,71000
1634,r031,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Forestry and conservation scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Forestry and conservation scientists,,3,21000,60000,5000,59000,16000,61000
1634,r032,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,,3,64000,70000,32000,54000,32000,91000
1634,r033,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences -> Agriculture",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,Agriculture,4,4000,95000,s,s,3000,84000
1634,r034,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences -> Biological sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,Biological sciences,4,53000,62000,29000,50000,25000,90000
