table_id,row_id,occupation_and_age_full_path,occupation_and_age_level_1,occupation_and_age_level_2,occupation_and_age_level_3,occupation_and_age_level_4,occupation_and_age_hierarchy_depth,field_all_degrees_total,field_all_degrees_female,field_all_degrees_male,field_bachelor_s_total,field_bachelor_s_female,field_bachelor_s_male,field_master_s_total,field_master_s_female,field_master_s_male,field_doctorate_total,field_doctorate_female,field_doctorate_male,field_professional_total,field_professional_female,field_professional_male
7776,r001,"All occupations, all ages","All occupations, all ages",,,,1,77000,66000,90000,70000,60000,80000,84000,73000,100000,100000,92000,113000,135000,110000,150000
7776,r002,"All occupations, all ages -> 29 and younger","All occupations, all ages",29 and younger,,,2,55000,51000,60000,52000,48000,60000,60000,58000,69000,75000,73000,79000,64000,58000,81000
7776,r003,"All occupations, all ages -> 30&#8211;39","All occupations, all ages",30&#8211;39,,,2,75000,66000,85000,69000,60000,79000,79000,70000,92000,90000,81000,100000,119000,115000,131000
7776,r004,"All occupations, all ages -> 40&#8211;49","All occupations, all ages",40&#8211;49,,,2,85000,75000,100000,80000,65000,95000,88000,76000,105000,106000,96000,118000,144000,117000,185000
7776,r005,"All occupations, all ages -> 50&#8211;75","All occupations, all ages",50&#8211;75,,,2,89000,75000,101000,80000,66000,94000,94000,83000,115000,113000,100000,120000,165000,139000,174000
7776,r006,"All occupations, all ages -> S&E occupations","All occupations, all ages",S&E occupations,,,2,99000,86000,102000,93000,81000,97000,106000,90000,114000,107000,92000,115000,90000,84000,98000
7776,r007,"All occupations, all ages -> S&E occupations -> 29 and younger","All occupations, all ages",S&E occupations,29 and younger,,3,73000,68000,75000,72000,66000,73000,80000,72000,82000,64000,56000,70000,,S,
7776,r008,"All occupations, all ages -> S&E occupations -> 30&#8211;39","All occupations, all ages",S&E occupations,30&#8211;39,,3,96000,86000,100000,93000,84000,95000,102000,94000,110000,90000,80000,100000,83000,77000,87000
7776,r009,"All occupations, all ages -> S&E occupations -> 40&#8211;49","All occupations, all ages",S&E occupations,40&#8211;49,,3,110000,95000,115000,107000,92000,110000,115000,92000,125000,110000,100000,116000,132000,98000,206000
7776,r010,"All occupations, all ages -> S&E occupations -> 50&#8211;75","All occupations, all ages",S&E occupations,50&#8211;75,,3,115000,100000,120000,110000,92000,113000,120000,107000,126000,125000,111000,130000,100000,100000,100000
7776,r011,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",,3,72000,72000,71000,55000,59000,52000,68000,69000,65000,96000,90000,100000,136000,85000,172000
7776,r012,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 29 and younger","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",29 and younger,4,39000,42000,39000,39000,39000,39000,36000,39000,36000,55000,54000,S,S,,
7776,r013,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",30&#8211;39,4,64000,67000,62000,58000,63000,54000,62000,66000,56000,70000,74000,70000,S,S,63000
7776,r014,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",40&#8211;49,4,90000,92000,89000,80000,94000,70000,80000,79000,80000,108000,105000,109000,213000,S,217000
7776,r015,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",50&#8211;75,4,105000,102000,107000,85000,84000,85000,96000,93000,96000,125000,125000,125000,144000,70000,172000
7776,r016,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists","All occupations, all ages",S&E occupations,Computer and mathematical scientists,,3,104000,92000,109000,98000,88000,100000,114000,100000,120000,139000,120000,145000,96000,S,90000
7776,r017,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 29 and younger","All occupations, all ages",S&E occupations,Computer and mathematical scientists,29 and younger,4,81000,80000,81000,77000,75000,78000,92000,91000,96000,S,S,S,,,
7776,r018,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Computer and mathematical scientists,30&#8211;39,4,102000,95000,105000,97000,89000,100000,110000,104000,119000,143000,106000,147000,,,
7776,r019,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Computer and mathematical scientists,40&#8211;49,4,114000,98000,120000,110000,96000,113000,120000,99000,130000,138000,126000,146000,S,,
7776,r020,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,Computer and mathematical scientists,50&#8211;75,4,112000,97000,120000,106000,90000,110000,120000,108000,130000,139000,131000,140000,98000,,S
7776,r021,"All occupations, all ages -> S&E occupations -> Physical and related scientists","All occupations, all ages",S&E occupations,Physical and related scientists,,3,78000,72000,80000,63000,60000,65000,78000,77000,79000,100000,83000,102000,S,,0.05
7776,r022,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 29 and younger","All occupations, all ages",S&E occupations,Physical and related scientists,29 and younger,4,43000,44000,40000,41000,43000,37000,34000,43000,33000,69000,83000,55000,,,
7776,r023,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Physical and related scientists,30&#8211;39,4,72000,71000,72000,64000,56000,69000,75000,74000,78000,80000,79000,82000,,,
7776,r024,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Physical and related scientists,40&#8211;49,4,92000,91000,92000,79000,74000,80000,98000,106000,92000,105000,102000,104000,,,
7776,r025,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,Physical and related scientists,50&#8211;75,4,105000,88000,110000,90000,85000,100000,99000,82000,102000,118000,101000,119000,,,
7776,r026,"All occupations, all ages -> S&E occupations -> Social and related scientists","All occupations, all ages",S&E occupations,Social and related scientists,,3,78000,75000,87000,71000,64000,79000,72000,72000,72000,91000,87000,98000,79000,78000,85000
7776,r027,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 29 and younger","All occupations, all ages",S&E occupations,Social and related scientists,29 and younger,4,55000,52000,64000,50000,42000,71000,54000,54000,53000,68000,65000,71000,,,
7776,r028,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Social and related scientists,30&#8211;39,4,78000,77000,84000,78000,75000,103000,70000,72000,70000,86000,77000,92000,77000,S,
7776,r029,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Social and related scientists,40&#8211;49,4,80000,75000,98000,74000,72000,100000,78000,77000,92000,85000,83000,93000,94000,95000,0.05
7776,r030,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,Social and related scientists,50&#8211;75,4,100000,93000,100000,S,134000,77000,91000,82000,98000,100000,92000,107000,108000,94000,130000
7776,r031,"All occupations, all ages -> S&E occupations -> Engineers","All occupations, all ages",S&E occupations,Engineers,,3,101000,93000,104000,95000,85000,96000,112000,105000,115000,132000,110000,134000,S,,S
7776,r032,"All occupations, all ages -> S&E occupations -> Engineers -> 29 and younger","All occupations, all ages",S&E occupations,Engineers,29 and younger,4,77000,74000,77000,75000,72000,75000,84000,79000,84000,96000,,100000,,,
7776,r033,"All occupations, all ages -> S&E occupations -> Engineers -> 30&#8211;39","All occupations, all ages",S&E occupations,Engineers,30&#8211;39,4,100000,100000,100000,95000,99000,95000,106000,102000,110000,114000,101000,119000,,,
7776,r034,"All occupations, all ages -> S&E occupations -> Engineers -> 40&#8211;49","All occupations, all ages",S&E occupations,Engineers,40&#8211;49,4,120000,119000,120000,110000,106000,111000,123000,126000,122000,137000,113000,147000,,,
7776,r035,"All occupations, all ages -> S&E occupations -> Engineers -> 50&#8211;75","All occupations, all ages",S&E occupations,Engineers,50&#8211;75,4,125000,121000,126000,119000,112000,119000,133000,131000,133000,154000,147000,156000,,,
7776,r036,"All occupations, all ages -> S&E-related occupations","All occupations, all ages",S&E-related occupations,,,2,83000,75000,100000,70000,66000,80000,88000,81000,100000,100000,94000,115000,150000,127000,194000
7776,r037,"All occupations, all ages -> S&E-related occupations -> 29 and younger","All occupations, all ages",S&E-related occupations,29 and younger,,3,58000,58000,60000,56000,55000,56000,63000,62000,65000,75000,72000,79000,64000,58000,74000
7776,r038,"All occupations, all ages -> S&E-related occupations -> 30&#8211;39","All occupations, all ages",S&E-related occupations,30&#8211;39,,3,79000,74000,88000,67000,65000,74000,85000,80000,96000,90000,89000,95000,139000,135000,150000
7776,r039,"All occupations, all ages -> S&E-related occupations -> 40&#8211;49","All occupations, all ages",S&E-related occupations,40&#8211;49,,3,92000,84000,116000,82000,75000,94000,90000,83000,100000,126000,104000,155000,214000,147000,243000
7776,r040,"All occupations, all ages -> S&E-related occupations -> 50&#8211;75","All occupations, all ages",S&E-related occupations,50&#8211;75,,3,99000,85000,120000,89000,76000,100000,95000,90000,110000,119000,100000,127000,198000,149000,218000
7776,r041,"All occupations, all ages -> Non-S&E occupations","All occupations, all ages",Non-S&E occupations,,,2,70000,62000,80000,64000,55000,75000,75000,69000,92000,95000,90000,100000,119000,100000,143000
7776,r042,"All occupations, all ages -> Non-S&E occupations -> 29 and younger","All occupations, all ages",Non-S&E occupations,29 and younger,,3,50000,47000,52000,47000,45000,52000,55000,55000,59000,S,S,S,65000,55000,86000
7776,r043,"All occupations, all ages -> Non-S&E occupations -> 30&#8211;39","All occupations, all ages",Non-S&E occupations,30&#8211;39,,3,67000,61000,75000,63000,56000,70000,70000,65000,82000,91000,85000,102000,106000,100000,119000
7776,r044,"All occupations, all ages -> Non-S&E occupations -> 40&#8211;49","All occupations, all ages",Non-S&E occupations,40&#8211;49,,3,79000,70000,94000,72000,60000,85000,80000,73000,99000,91000,86000,100000,120000,108000,143000
7776,r045,"All occupations, all ages -> Non-S&E occupations -> 50&#8211;75","All occupations, all ages",Non-S&E occupations,50&#8211;75,,3,80000,68000,94000,72000,60000,80000,88000,79000,110000,96000,95000,103000,149000,116000,150000
