table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states,field_undistributeda
1416,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['37,499', '  ']","['31,239', '  ']","['843', '  ']","['3,322', 'i ']","['116', 'i ']","['5', '  ']","['275', '  ']","['346', '  ']","['163', '  ']","['1,190', 'i']"
1416,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['33,740', '  ']","['28,546', '  ']","['818', '  ']","['3,038', 'i ']","['92', 'i ']","['4', '  ']","['181', '  ']","['232', '  ']","['118', '  ']","['711', 'i']"
1416,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['140', '  ']","['105', '  ']","['*', '  ']","['8', '  ']","['D', '  ']","['0', '  ']","['3', '  ']","['8', '  ']","['4', '  ']","['D', '&nbsp;']"
1416,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['183', '  ']","['173', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['2', '  ']","['*', '  ']","['2', 'i']"
1416,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['12', 'i ']","['7', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['5', 'i']"
1416,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['10', '  ']","['6', '  ']","['0', '  ']","['*', '  ']","['D', '  ']","['0', '  ']","['1', '  ']","['1', '  ']","['0', '  ']","['D', '&nbsp;']"
1416,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['3', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['*', 'i']"
1416,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['2', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', 'i']"
1416,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['56', '  ']","['26', '  ']","['*', 'i ']","['1', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['23', '  ']","['1', '  ']","['4', 'i']"
1416,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['27,193', '  ']","['23,585', '  ']","['241', '  ']","['2,634', 'i ']","['D', '  ']","['1', 'i ']","['122', '  ']","['106', '  ']","['93', 'i ']","['D', '&nbsp;']"
1416,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['109', '  ']","['79', '  ']","['*', 'i ']","['12', '  ']","['D', '  ']","['0', '  ']","['3', '  ']","['D', '  ']","['3', '  ']","['D', '&nbsp;']"
1416,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['17', '  ']","['D', '  ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['D', '&nbsp;']"
1416,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['D', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['*', '  ']","['0', '  ']","['D', '&nbsp;']"
1416,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['26,628', '  ']","['23,105', '  ']","['238', '  ']","['2,612', 'i ']","['D', '&nbsp;']","['1', 'i ']","['117', '  ']","['90', '  ']","['86', 'i ']","['D', '&nbsp;']"
1416,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['372', '  ']","['335', '  ']","['1', 'i ']","['9', 'i ']","['*', 'i ']","['*', 'i ']","['*', '  ']","['9', '  ']","['4', '  ']","['14', 'i']"
1416,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals ",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals ",,4,"3255, 3259","['D', '  ']","['23', '  ']","['2', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']"
