table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_male,field_worldwide_female,field_domestic_total,field_domestic_male,field_domestic_female,field_foreign_total,field_foreign_male,field_foreign_female
6660,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['2,676', '']","['1,931', '']","['745', '']","['1,832', '']","['1,344', '']","['488', '']","['844', '']","['587', '']","['256', '']"
6660,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['1,409', '']","['1,049', '']","['360', '']","['962', '']","['720', '']","['241', '']","['447', '']","['329', '']","['119', '']"
6660,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['35', '']","['19', '']","['16', '']","['23', '']","['13', '']","['10', '']","['12', '']","['6', '']","['6', '']"
6660,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['8', '']","['5', '']","['3', '']","['6', '']","['4', '']","['2', '']","['3', '']","['1', '']","['1', '']"
6660,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['8', '']","['5', '']","['3', '']","['7', '']","['4', '']","['3', '']","['1', '']","['1', '']","['1', '']"
6660,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['3', '']","['3', '']","['*', '']","['3', '']","['2', '']","['*', '']","['*', '']","['*', '']","['*', '']"
6660,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['7', '']","['6', '']","['2', '']","['5', '']","['4', '']","['1', '']","['2', '']","['1', '']","['*', '']"
6660,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['5', 'i']","['3', 'i']","['1', 'i']","['5', 'i']","['3', 'i']","['1', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
6660,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['9', '']","['6', '']","['3', '']","['6', '']","['5', '']","['2', '']","['3', '']","['1', '']","['1', '']"
6660,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['255', '']","['135', '']","['121', '']","['186', '']","['99', '']","['86', '']","['70', '']","['35', '']","['34', '']"
6660,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['17', '']","['11', '']","['6', '']","['12', '']","['8', '']","['3', '']","['6', '']","['3', '']","['2', '']"
6660,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['10', '']","['8', '']","['3', '']","['6', '']","['5', '']","['1', '']","['4', '']","['3', '']","['1', '']"
6660,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['10', '']","['6', '']","['3', '']","['7', '']","['5', '']","['3', '']","['2', '']","['2', '']","['1', '']"
6660,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['184', '']","['88', '']","['96', '']","['139', '']","['68', '']","['71', '']","['45', '']","['20', '']","['25', '']"
6660,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['17', '']","['8', '']","['8', '']","['11', '']","['6', '']","['5', '']","['6', '']","['3', '']","['3', '']"
6660,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['17', '']","['12', '']","['5', '']","['10', '']","['8', '']","['3', '']","['7', '']","['5', '']","['2', '']"
6660,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['31', '']","['25', '']","['6', '']","['25', '']","['20', '']","['5', '']","['6', '']","['5', '']","['1', '']"
6660,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['7', 'i']","['6', 'i']","['1', 'i']","['7', 'i']","['6', '']","['1', 'i']","['1', 'i']","['1', 'i']","['*', 'i']"
6660,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['9', '']","['8', '']","['1', '']","['8', '']","['7', '']","['1', '']","['1', '']","['1', '']","['*', '']"
6660,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['36', '']","['32', '']","['4', '']","['34', '']","['30', '']","['4', '']","['2', '']","['2', '']","['1', '']"
6660,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['138', '']","['118', '']","['20', '']","['95', '']","['82', '']","['13', '']","['43', '']","['36', '']","['7', '']"
6660,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['22', '']","['19', '']","['3', '']","['13', '']","['11', '']","['1', '']","['9', '']","['7', '']","['2', '']"
