table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_obtained_a_certification_or_license_for_work_related_reasons,field_primary_field_of_certification_or_license_computer_applications_and_design,field_primary_field_of_certification_or_license_computer_networking_administration_and_security,field_primary_field_of_certification_or_license_other_information_technologies_and_computers,field_primary_field_of_certification_or_license_mathematics_statistics_and_data_analytics,field_primary_field_of_certification_or_license_life_sciences,field_primary_field_of_certification_or_license_physical_sciences,field_primary_field_of_certification_or_license_social_sciences,field_primary_field_of_certification_or_license_engineering,field_primary_field_of_certification_or_license_s_e_related,field_primary_field_of_certification_or_license_non_s_e,field_primary_field_of_certification_or_license_uncodable_or_missing
7771,r001,All degree levels,All degree levels,,,,1,51764000,19988000,270000,322000,144000,33000,99000,76000,273000,587000,5736000,11713000,737000
7771,r002,All degree levels -> S&E occupations,All degree levels,S&E occupations,,,2,7894000,1649000,159000,208000,83000,2000,32000,36000,129000,373000,114000,422000,92000
7771,r003,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",,3,794000,120000,S,,,,25000,4000,,0.05,47000,37000,5000
7771,r004,All degree levels -> S&E occupations -> Computer and mathematical scientists,All degree levels,S&E occupations,Computer and mathematical scientists,,3,4031000,702000,153000,198000,78000,1000,,1000,,6000,26000,178000,60000
7771,r005,All degree levels -> S&E occupations -> Physical and related scientists,All degree levels,S&E occupations,Physical and related scientists,,3,408000,67000,,,,,4000,26000,,4000,12000,18000,3000
7771,r006,All degree levels -> S&E occupations -> Social and related scientists,All degree levels,S&E occupations,Social and related scientists,,3,712000,256000,,,,,,S,128000,,11000,106000,9000
7771,r007,All degree levels -> S&E occupations -> Engineers,All degree levels,S&E occupations,Engineers,,3,1949000,505000,6000,9000,4000,,S,4000,S,362000,18000,84000,15000
7771,r008,All degree levels -> S&E-related occupations,All degree levels,S&E-related occupations,,,2,9522000,6611000,26000,47000,20000,21000,25000,18000,39000,98000,4939000,1195000,183000
7771,r009,All degree levels -> Non-S&E occupations,All degree levels,Non-S&E occupations,,,2,34349000,11728000,85000,66000,41000,10000,42000,22000,105000,116000,683000,10096000,461000
7771,r010,All degree levels -> Bachelor's,All degree levels,Bachelor's,,,2,31688000,10154000,189000,213000,100000,29000,65000,46000,34000,375000,2845000,5814000,445000
7771,r011,All degree levels -> Bachelor's -> S&E occupations,All degree levels,Bachelor's,S&E occupations,,3,4438000,897000,106000,147000,63000,,17000,17000,7000,240000,60000,191000,49000
7771,r012,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",4,295000,60000,,,,,13000,S,,0.05,21000,22000,S
7771,r013,All degree levels -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,All degree levels,Bachelor's,S&E occupations,Computer and mathematical scientists,4,2574000,446000,102000,143000,59000,,,,,2000,13000,90000,35000
7771,r014,All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists,All degree levels,Bachelor's,S&E occupations,Physical and related scientists,4,177000,36000,,,,,2000,13000,,1000,10000,10000,1000
7771,r015,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,4,170000,32000,,,,,,,7000,,,22000,
7771,r016,All degree levels -> Bachelor's -> S&E occupations -> Engineers,All degree levels,Bachelor's,S&E occupations,Engineers,4,1222000,322000,4000,4000,3000,,S,3000,,236000,14000,47000,10000
7771,r017,All degree levels -> Bachelor's -> S&E-related occupations,All degree levels,Bachelor's,S&E-related occupations,,3,5031000,3225000,15000,28000,14000,19000,19000,10000,10000,68000,2391000,554000,97000
7771,r018,All degree levels -> Bachelor's -> Non-S&E occupations,All degree levels,Bachelor's,Non-S&E occupations,,3,22219000,6032000,67000,38000,23000,10000,28000,19000,17000,67000,394000,5069000,299000
7771,r019,All degree levels -> Master's,All degree levels,Master's,,,2,14688000,6603000,77000,104000,40000,4000,28000,23000,137000,191000,1313000,4480000,206000
7771,r020,All degree levels -> Master's -> S&E occupations,All degree levels,Master's,S&E occupations,,3,2411000,562000,51000,60000,19000,S,10000,13000,39000,119000,29000,184000,36000
7771,r021,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",4,188000,29000,,,,,7000,1000,,,10000,9000,S
7771,r022,All degree levels -> Master's -> S&E occupations -> Computer and mathematical scientists,All degree levels,Master's,S&E occupations,Computer and mathematical scientists,4,1251000,235000,49000,54000,18000,1000,,,,4000,8000,78000,24000
7771,r023,All degree levels -> Master's -> S&E occupations -> Physical and related scientists,All degree levels,Master's,S&E occupations,Physical and related scientists,4,105000,23000,,,,,S,10000,,S,1000,6000,
7771,r024,All degree levels -> Master's -> S&E occupations -> Social and related scientists,All degree levels,Master's,S&E occupations,Social and related scientists,4,283000,110000,,,,,,S,38000,,7000,58000,6000
7771,r025,All degree levels -> Master's -> S&E occupations -> Engineers,All degree levels,Master's,S&E occupations,Engineers,4,584000,165000,2000,5000,0.05,,,1000,S,113000,3000,33000,5000
7771,r026,All degree levels -> Master's -> S&E-related occupations,All degree levels,Master's,S&E-related occupations,,3,2578000,1804000,10000,18000,5000,2000,5000,7000,18000,28000,1054000,609000,47000
7771,r027,All degree levels -> Master's -> Non-S&E occupations,All degree levels,Master's,Non-S&E occupations,,3,9699000,4237000,15000,26000,S,0.05,13000,3000,79000,43000,230000,3687000,123000
7771,r028,All degree levels -> Doctorate,All degree levels,Doctorate,,,2,2141000,591000,4000,2000,3000,,6000,7000,78000,18000,205000,246000,23000
7771,r029,All degree levels -> Doctorate -> S&E occupations,All degree levels,Doctorate,S&E occupations,,3,962000,141000,2000,1000,S,,4000,5000,63000,13000,12000,32000,6000
7771,r030,All degree levels -> Doctorate -> S&E-related occupations,All degree levels,Doctorate,S&E-related occupations,,3,374000,218000,,,,,S,1000,S,1000,173000,22000,S
