table_id,row_id,r_d_activity_full_path,r_d_activity_level_1,r_d_activity_level_2,r_d_activity_hierarchy_depth,field_companies_number_,field_product_innovation_new_to_market_number_yes,field_product_innovation_new_to_market_number_no,field_product_innovation_new_to_market_percent_yes,field_product_innovation_new_to_market_percent_no
5677,r001,All companies,All companies,,1,"['    4,805,151 ', '&nbsp;']","['    183,648 ', '&nbsp;']","['    4,621,503 ', '&nbsp;']","['    3.8 ', '&nbsp;']","['    96.2 ', '&nbsp;']"
5677,r002,All companies -> R&D-active companies,All companies,R&D-active companies,2,"['    300,921 ', '&nbsp;']","['    89,904 ', '&nbsp;']","['    211,017 ', '&nbsp;']","['    29.9 ', '&nbsp;']","['    70.1 ', '&nbsp;']"
5677,r003,All companies -> Non-R&D-active companies,All companies,Non-R&D-active companies,2,"['    4,504,231 ', '&nbsp;']","['    93,744 ', '&nbsp;']","['    4,410,487 ', '&nbsp;']","['    2.1 ', '&nbsp;']","['    97.9 ', '&nbsp;']"
