table_id,row_id,step,all_matches,matches_with_a_common_name,percentage_with_a_common_name
9407,r001,1,8916,405,4.54
9407,r002,2,4892,66,1.35
9407,r003,3–6,1161,41,3.53
9407,r004,Total,14969,512,3.42
