table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_level_5,agency_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10253,r001,All agencies,All agencies,,,,,1,88464235,5876825,6051877,38511237,732546,11112001,3775941,1449146,13860763,7093900
10253,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10253,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,3017477,33439,38158,2289693,11675,124789,15660,230978,125974,147110
10253,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,7484,0,0,7484,0,0,0,0,0,0
10253,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1439100,1871,0,1328433,0,92390,0,3454,12952,0
10253,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,23363,0,0,23363,0,0,0,0,0,0
10253,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,90389,0,0,0,0,0,0,90389,0,0
10253,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,289864,0,5382,226453,0,6202,0,42194,9632,0.05
10253,r009,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,6327,6327,0,0,0,0,0,0,0,0
10253,r010,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,1147558,25242,32476,690866,11675,26196,15660,94942,103390,147110
10253,r011,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,13393,0,300,13093,0,0,0,0,0,0
10253,r012,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1760243,201766,668036,104460,13187,303663,0.05,100956,327521,40615
10253,r013,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,110367,16146,0,0,7139,0,0,87081,0,0
10253,r014,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,817126,181051,8405,40274,3763,273973,0.05,399,308980,240
10253,r015,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,825550,4568,659630,64186,2284,29690,0,13476,11341,40375
10253,r016,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7200,0,0,0,0,0,0,0,7200,0
10253,r017,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,10377359,2822519,613831,1166868,33651,606299,119925,39853,3734924,1239488
10253,r018,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,1996794,1046489,73015,309333,4007,81305,22723,186,349285,110451
10253,r019,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,174400,0,0,172579,0,0,67,0,0,1754
10253,r020,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,2421989,217574,0,104116,0,307967,300,12994,1635112,143926
10253,r021,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,2088619,974535,14807,349389,12379,49760,77655,2809,0,607285
10253,r022,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,2081951,225229,521505,86803,15757,60169,14994,9259,910159,238076
10253,r023,All agencies -> Departments -> Department of Defense -> Space Force,All agencies,Departments,Department of Defense,Space Force,,4,76353,0,0,0,0,0,0,0,76353,0
10253,r024,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,1537252,358691,4505,144648,1508,107099,4186,14605,764015,137995
10253,r025,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,293433,0,0,0,0,0,0,0,0,293433
10253,r026,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,10470369,1619017,336234,579713,53396,5176482,0,0,2230027,475500
10253,r027,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,225000,21888,2262,37489,0,0,0,0,163362,0
10253,r028,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,67762,0,0,0,0,0,0,0,67762,0
10253,r029,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,677946,0,0,0,0,0,0,0,677946,0
10253,r030,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,11550,0,0,0,0,0,0,0,0,11550
10253,r031,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,736176,0,69937,0,0,117052,0,0,549187,0
10253,r032,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,2526955,668235,5983,1520,2538,1401732,0,0,440947,6000
10253,r033,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,2257778,642993,0,0,0,1178976,0,0,435808,0
10253,r034,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,269177,25242,5983,1520,2538,222756,0,0,5138,6000
10253,r035,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,330824,0,0,0,0,0,0,0,330824,0
10253,r036,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,98751,98751,0,0,0,0,0,0,0,0
10253,r037,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,5795405,830142,258053,540704,50858,3657698,0,0,0,457950
10253,r038,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,42670457,51705,498386,30986815,342965,232537,3587720,637392,2831200,3501737
10253,r039,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,4265,0,0,0,0,0,0,4265,0,0
10253,r040,All agencies -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies,Departments,Department of Health and Human Services,Administration for Community Living,,4,110863,0,0,0,0,0,0,110863,0,0
10253,r041,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,314345,49189,0,172974,0,0,7799,20813,803,62767
10253,r042,All agencies -> Departments -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Departments,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,,4,10935,0,10935,0,0,0,0,0,0,0
10253,r043,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,648587,2516,0,534567,452,3764,1025,41513,38224,26526
10253,r044,All agencies -> Departments -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Departments,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,4,420703,0,0,420703,0,0,0,0,0,0
10253,r045,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,669007,0,0,669007,0,0,0,0,0,0
10253,r046,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,38189,0,0,38189,0,0,0,0,0,0
10253,r047,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,40436064,0,487451,29151377,342513,228773,3578896,459939,2792173,3394944
10253,r048,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,17500,0,0,0,0,0,0,0,0,17500
10253,r049,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,17500,0,0,0,0,0,0,0,0,17500
10253,r050,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,315700,85627,11645,10711,0,20319,0,0,107060,80338
10253,r051,All agencies -> Departments -> Department of Homeland Security -> Coast Guard,All agencies,Departments,Department of Homeland Security,Coast Guard,,4,2243,763,0,67,0,0,0,0,1413,0
