table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_4_employees,field_5_9_employees
2577,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    55,083 ', '&nbsp;']","['    32,860 ', '&nbsp;']","['    22,223 ', '&nbsp;']"
2577,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    6,295 ', '&nbsp;']","['    4,147 ', '&nbsp;']","['    2,148 ', '&nbsp;']"
2577,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    67 ', '&nbsp;']","['    59 ', '&nbsp;']","['    7 ', 'r']"
2577,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    35 ', 'r']","['    22 ', 'r']","['S', '&nbsp;']"
2577,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2577,r006,All selected industries -> Manufacturing industries -> Paper ,All selected industries,Manufacturing industries,Paper ,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2577,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2577,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2577,r009,All selected industries -> Manufacturing industries -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Pharmaceuticals and medicines,,3,3254,"['    349 ', '&nbsp;']","['    185 ', '&nbsp;']","['    164 ', '&nbsp;']"
2577,r010,"All selected industries -> Manufacturing industries -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,"Chemicals, excluding pharmaceuticals",,3,325 (excluding 3254),"['    724 ', '&nbsp;']","['    568 ', '&nbsp;']","['    156 ', '&nbsp;']"
2577,r011,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    45 ', '&nbsp;']","['    10 ', '&nbsp;']","['    35 ', '&nbsp;']"
2577,r012,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    14 ', 'r']","['    0 ', '&nbsp;']","['    14 ', 'r']"
2577,r013,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    3 ', 'r']","['    3 ', 'r']","['    0 ', '&nbsp;']"
2577,r014,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    69 ', '&nbsp;']","['    62 ', '&nbsp;']","['S', '&nbsp;']"
2577,r015,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    687 ', '&nbsp;']","['    292 ', '&nbsp;']","['    396 ', '&nbsp;']"
2577,r016,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    2,977 ', '&nbsp;']","['    2,015 ', '&nbsp;']","['    962 ', '&nbsp;']"
2577,r017,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    378 ', '&nbsp;']","['    333 ', '&nbsp;']","['    45 ', 'r']"
2577,r018,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    142 ', '&nbsp;']","['    111 ', '&nbsp;']","['    31 ', '&nbsp;']"
2577,r019,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2577,r020,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    806 ', '&nbsp;']","['    486 ', '&nbsp;']","['    320 ', '&nbsp;']"
2577,r021,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    48,788 ', '&nbsp;']","['    28,713 ', '&nbsp;']","['    20,075 ', '&nbsp;']"
2577,r022,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    517 ', '&nbsp;']","['    206 ', '&nbsp;']","['    311 ', '&nbsp;']"
2577,r023,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    7,209 ', '&nbsp;']","['    4,406 ', '&nbsp;']","['    2,803 ', '&nbsp;']"
2577,r024,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    5,331 ', '&nbsp;']","['    3,235 ', '&nbsp;']","['    2,096 ', '&nbsp;']"
2577,r025,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 (excluding 5112),"['    1,877 ', '&nbsp;']","['    1,171 ', '&nbsp;']","['    706 ', '&nbsp;']"
2577,r026,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    3,297 ', '&nbsp;']","['    1,819 ', '&nbsp;']","['    1,479 ', '&nbsp;']"
2577,r027,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    26,428 ', '&nbsp;']","['    16,584 ', '&nbsp;']","['    9,845 ', '&nbsp;']"
2577,r028,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    11,336 ', '&nbsp;']","['    5,698 ', '&nbsp;']","['    5,638 ', '&nbsp;']"
