table_id,row_id,_b_r_d_field_b_full_path,_b_r_d_field_b_level_1,_b_r_d_field_b_level_2,_b_r_d_field_b_level_3,_b_r_d_field_b_level_4,_b_r_d_field_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
12640,r001,All R&D fields,All R&D fields,,,,1,108681008,86252,0.1,59603993,47204,0.1
12640,r002,All R&D fields -> All science and engineering,All R&D fields,All science and engineering,,,2,101776017,1389829,1.4,57879194,475949,0.8
12640,r003,All R&D fields -> All science and engineering -> Computer and information sciences,All R&D fields,All science and engineering,Computer and information sciences,,3,3617348,19630,0.5,2417938,2787,0.1
12640,r004,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",,3,4032534,27365,0.7,2693891,2918,0.1
12640,r005,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,723727,37424,5.2,583161,32606,5.6
12640,r006,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1488300,110807,7.4,921482,66674,7.2
12640,r007,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1365092,56495,4.1,891194,48360,5.4
12640,r008,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,455415,17152,3.8,298054,9573,3.2
12640,r009,All R&D fields -> All science and engineering -> Life sciences,All R&D fields,All science and engineering,Life sciences,,3,62204360,808168,1.3,33896235,204449,0.6
12640,r010,All R&D fields -> All science and engineering -> Life sciences -> Agricultural sciences,All R&D fields,All science and engineering,Life sciences,Agricultural sciences,4,4285689,3744,0.1,1458868,627,0.0
12640,r011,All R&D fields -> All science and engineering -> Life sciences -> Biological and biomedical sciences,All R&D fields,All science and engineering,Life sciences,Biological and biomedical sciences,4,19526385,245767,1.3,11753581,74695,0.6
12640,r012,All R&D fields -> All science and engineering -> Life sciences -> Health sciences,All R&D fields,All science and engineering,Life sciences,Health sciences,4,35724571,406043,1.1,19390822,64169,0.3
12640,r013,All R&D fields -> All science and engineering -> Life sciences -> Natural resources and conservation,All R&D fields,All science and engineering,Life sciences,Natural resources and conservation,4,1079516,1055,0.1,512675,292,0.1
12640,r014,All R&D fields -> All science and engineering -> Life sciences -> Life sciences nec,All R&D fields,All science and engineering,Life sciences,Life sciences nec,4,1588199,151559,9.5,780289,64666,8.3
12640,r015,All R&D fields -> All science and engineering -> Mathematics and statistics,All R&D fields,All science and engineering,Mathematics and statistics,,3,1060700,8070,0.8,661446,918,0.1
12640,r016,All R&D fields -> All science and engineering -> Physical sciences,All R&D fields,All science and engineering,Physical sciences,,3,6944769,102458,1.5,4621763,10425,0.2
12640,r017,All R&D fields -> All science and engineering -> Physical sciences -> Astronomy and astrophysics,All R&D fields,All science and engineering,Physical sciences,Astronomy and astrophysics,4,967125,11033,1.1,659781,50,0.0
12640,r018,All R&D fields -> All science and engineering -> Physical sciences -> Chemistry,All R&D fields,All science and engineering,Physical sciences,Chemistry,4,2301102,20414,0.9,1413489,3204,0.2
12640,r019,All R&D fields -> All science and engineering -> Physical sciences -> Materials science,All R&D fields,All science and engineering,Physical sciences,Materials science,4,319102,333,0.1,205797,1,0.0
12640,r020,All R&D fields -> All science and engineering -> Physical sciences -> Physics,All R&D fields,All science and engineering,Physical sciences,Physics,4,2966923,46396,1.6,2123118,6987,0.3
12640,r021,All R&D fields -> All science and engineering -> Physical sciences -> Physical sciences nec,All R&D fields,All science and engineering,Physical sciences,Physical sciences nec,4,390517,24282,6.2,219578,183,0.1
12640,r022,All R&D fields -> All science and engineering -> Psychology,All R&D fields,All science and engineering,Psychology,,3,1637829,3678,0.2,978784,1671,0.2
12640,r023,All R&D fields -> All science and engineering -> Social sciences,All R&D fields,All science and engineering,Social sciences,,3,3615227,17389,0.5,1202546,8553,0.7
12640,r024,All R&D fields -> All science and engineering -> Social sciences -> Anthropology,All R&D fields,All science and engineering,Social sciences,Anthropology,4,151778,577,0.4,46631,116,0.2
12640,r025,All R&D fields -> All science and engineering -> Social sciences -> Economics,All R&D fields,All science and engineering,Social sciences,Economics,4,723797,1728,0.2,206477,163,0.1
12640,r026,All R&D fields -> All science and engineering -> Social sciences -> Political science and government,All R&D fields,All science and engineering,Social sciences,Political science and government,4,556983,1298,0.2,111794,250,0.2
12640,r027,"All R&D fields -> All science and engineering -> Social sciences -> Sociology, demography, and population studies",All R&D fields,All science and engineering,Social sciences,"Sociology, demography, and population studies",4,727782,1548,0.2,317113,296,0.1
12640,r028,All R&D fields -> All science and engineering -> Social sciences -> Social sciences nec,All R&D fields,All science and engineering,Social sciences,Social sciences nec,4,1454887,12238,0.8,520531,7728,1.5
12640,r029,All R&D fields -> All science and engineering -> Sciences nec,All R&D fields,All science and engineering,Sciences nec,,3,1194804,17235,1.4,475264,122,0.0
12640,r030,All R&D fields -> All science and engineering -> Engineering,All R&D fields,All science and engineering,Engineering,,3,17468446,98011,0.6,10931327,5552,0.1
12640,r031,"All R&D fields -> All science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,All science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,1913964,18367,1.0,1425681,8349,0.6
12640,r032,All R&D fields -> All science and engineering -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,All science and engineering,Engineering,Bioengineering and biomedical engineering,4,1885216,15422,0.8,1198449,1669,0.1
12640,r033,All R&D fields -> All science and engineering -> Engineering -> Chemical engineering,All R&D fields,All science and engineering,Engineering,Chemical engineering,4,1246882,3896,0.3,713248,81,0.0
12640,r034,All R&D fields -> All science and engineering -> Engineering -> Civil engineering,All R&D fields,All science and engineering,Engineering,Civil engineering,4,1900543,14473,0.8,929044,10329,1.1
12640,r035,"All R&D fields -> All science and engineering -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,All science and engineering,Engineering,"Electrical, electronic, and communications engineering",4,3838675,71953,1.9,2794497,45629,1.6
12640,r036,All R&D fields -> All science and engineering -> Engineering -> Industrial and manufacturing engineering,All R&D fields,All science and engineering,Engineering,Industrial and manufacturing engineering,4,707239,3352,0.5,481861,187,0.0
12640,r037,All R&D fields -> All science and engineering -> Engineering -> Mechanical engineering,All R&D fields,All science and engineering,Engineering,Mechanical engineering,4,2324946,39461,1.7,1551973,23439,1.5
12640,r038,All R&D fields -> All science and engineering -> Engineering -> Metallurgical and materials engineering,All R&D fields,All science and engineering,Engineering,Metallurgical and materials engineering,4,1039160,14199,1.4,693211,268,0.0
12640,r039,All R&D fields -> All science and engineering -> Engineering -> Engineering nec,All R&D fields,All science and engineering,Engineering,Engineering nec,4,2611821,10974,0.4,1143363,254,0.0
12640,r040,All R&D fields -> All non-science and engineering,All R&D fields,All non-science and engineering,,,2,6904991,36417,0.5,1724799,9041,0.5
12640,r041,All R&D fields -> All non-science and engineering -> Business management and business administration,All R&D fields,All non-science and engineering,Business management and business administration,,3,1218052,2414,0.2,109626,211,0.2
12640,r042,All R&D fields -> All non-science and engineering -> Communication and communications technologies,All R&D fields,All non-science and engineering,Communication and communications technologies,,3,253609,1033,0.4,58280,95,0.2
12640,r043,All R&D fields -> All non-science and engineering -> Education,All R&D fields,All non-science and engineering,Education,,3,2042372,12279,0.6,890786,7692,0.9
12640,r044,All R&D fields -> All non-science and engineering -> Humanities,All R&D fields,All non-science and engineering,Humanities,,3,846919,17248,2.0,65170,501,0.8
12640,r045,All R&D fields -> All non-science and engineering -> Law,All R&D fields,All non-science and engineering,Law,,3,430807,351,0.1,35110,64,0.2
12640,r046,All R&D fields -> All non-science and engineering -> Social work,All R&D fields,All non-science and engineering,Social work,,3,416735,259,0.1,205510,169,0.1
12640,r047,All R&D fields -> All non-science and engineering -> Visual and performing arts,All R&D fields,All non-science and engineering,Visual and performing arts,,3,283750,1626,0.6,20717,102,0.5
12640,r048,All R&D fields -> All non-science and engineering -> Non-science and engineering nec,All R&D fields,All non-science and engineering,Non-science and engineering nec,,3,1412747,1207,0.1,339600,207,0.1
