table_id,row_id,_b_source_of_support_and_citizenship_b_full_path,_b_source_of_support_and_citizenship_b_level_1,_b_source_of_support_and_citizenship_b_level_2,_b_source_of_support_and_citizenship_b_level_3,_b_source_of_support_and_citizenship_b_hierarchy_depth,field_total,field_university_administered,field_nonprofit_administered,field_industry_administered
7207,r001,All postdocs,All postdocs,,,1,3637,1405,1029,1203
7207,r002,All postdocs -> Federal support,All postdocs,Federal support,,2,3091,1219,768,1104
7207,r003,All postdocs -> Federal support -> U.S. citizens and permanent residents,All postdocs,Federal support,U.S. citizens and permanent residents,3,1516,444,309,763
7207,r004,All postdocs -> Federal support -> Temporary visa holders,All postdocs,Federal support,Temporary visa holders,3,1575,775,459,341
7207,r005,All postdocs -> Nonfederal support,All postdocs,Nonfederal support,,2,411,111,261,39
7207,r006,All postdocs -> Nonfederal support -> U.S. citizens and permanent residents,All postdocs,Nonfederal support,U.S. citizens and permanent residents,3,205,28,149,28
7207,r007,All postdocs -> Nonfederal support -> Temporary visa holders,All postdocs,Nonfederal support,Temporary visa holders,3,206,83,112,11
7207,r008,All postdocs -> Unknown support,All postdocs,Unknown support,,2,135,75,0,60
